price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,180,660",1180660.0,"607 Railway St, Abbotsford NSW 2163",Abbotsford,3,2,0,Townhouse,https://www.rent.com.au/property/abbotsford/townhouse-0,rent.com.au
"$2,363,310 - $2,610,938",2363310.0,"964 Market St, Abbotsford NSW 2736",Abbotsford,4,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/abbotsford/apartment--unit--flat-1,realestate.com.au
"Guide $1,378,579",1378579.0,"328 Main St, Abbotsford NSW 2968",Abbotsford,5,1,2,House,https://www.domain.com.au/property/abbotsford/house-2,domain.com.au
"$2,030,089 - $2,088,949",2030089.0,"351 Elizabeth St, Abbotsford NSW 2896",Abbotsford,1,2,0,Townhouse,https://www.domain.com.au/property/abbotsford/townhouse-3,domain.com.au
"From $2,487,283",2487283.0,"585 Albert St, Abbotsford NSW 2172",Abbotsford,2,1,0,House,https://www.realestateview.com.au/property/abbotsford/house-4,realestateview.com.au
"From $1,953,500",1953500.0,"939 Victoria St, Abbotsford NSW 2077",Abbotsford,6,2,0,Penthouse,https://www.realestate.com.au/property/abbotsford/penthouse-5,realestate.com.au
"Guide $2,354,417",2354417.0,"676 Church St, Abbotsford NSW 2111",Abbotsford,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/abbotsford/apartment--unit--flat-6,rent.com.au
"$2,291,104 ONO",2291104.0,"872 Beach Rd, Abbotsford NSW 2623",Abbotsford,4,4,4,House,https://www.domain.com.au/property/abbotsford/house-7,domain.com.au
"$1,046,121",1046121.0,"419 Victoria St, Abbotsford NSW 2778",Abbotsford,1,1,0,Villa,https://www.realestate.com.au/property/abbotsford/villa-8,realestate.com.au
"$2,037,683",2037683.0,"152 King St, Abbotsford NSW 2826",Abbotsford,4,3,0,Villa,https://www.domain.com.au/property/abbotsford/villa-9,domain.com.au
"$924,188",924188.0,"711 High St, Abbotsford NSW 2046",Abbotsford,4,4,2,Penthouse,https://www.rent.com.au/property/abbotsford/penthouse-10,rent.com.au
"$2,258,536 ONO",2258536.0,"585 James St, Abbotsford NSW 2163",Abbotsford,4,3,0,House,https://www.realestate.com.au/property/abbotsford/house-12,realestate.com.au
"$1,814,275 - $1,976,414",1814275.0,"494 Market St, Abbotsford NSW 2931",Abbotsford,4,1,2,Townhouse,https://www.rent.com.au/property/abbotsford/townhouse-14,rent.com.au
"$2,083,992",2083992.0,"53 Military Rd, Abbotsford NSW 2241",Abbotsford,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/abbotsford/apartment--unit--flat-15,realestateview.com.au
"$1,061,597 ONO",1061597.0,"144 George St, Abbotsford NSW 2626",Abbotsford,0,1,1,Studio,https://www.rent.com.au/property/abbotsford/studio-16,rent.com.au
"$849,204",849204.0,"163 Queen St, Abbotsford NSW 2866",Abbotsford,3,2,3,Townhouse,https://www.domain.com.au/property/abbotsford/townhouse-17,domain.com.au
"$1,722,524 - $1,981,189",1722524.0,"359 Queen St, Abbotsford NSW 2925",Abbotsford,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/abbotsford/apartment--unit--flat-19,realestate.com.au
"$708,008",708008.0,"898 Princes Highway, Abbotsford NSW 2100",Abbotsford,5,4,3,Penthouse,https://www.rent.com.au/property/abbotsford/penthouse-20,rent.com.au
"$522,097 ONO",522097.0,"471 Pacific Highway, Abbotsford NSW 2551",Abbotsford,4,4,3,Penthouse,https://www.rent.com.au/property/abbotsford/penthouse-21,rent.com.au
"$957,889 ONO",957889.0,"660 King St, Abbotsford NSW 2864",Abbotsford,1,1,2,House,https://www.realestate.com.au/property/abbotsford/house-22,realestate.com.au
"$2,232,693",2232693.0,"912 Main St, Abbotsford NSW 2657",Abbotsford,2,2,1,Townhouse,https://www.realestate.com.au/property/abbotsford/townhouse-23,realestate.com.au
"$1,412,682",1412682.0,"542 Ocean Rd, Abbotsford NSW 2559",Abbotsford,3,4,3,Villa,https://www.realestateview.com.au/property/abbotsford/villa-24,realestateview.com.au
