price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,948,869",1948869.0,"897 Edward St, Alexandria NSW 2506",Alexandria,1,1,0,Townhouse,https://www.realestateview.com.au/property/alexandria/townhouse-0,realestateview.com.au
"$2,359,243",2359243.0,"467 King St, Alexandria NSW 2527",Alexandria,3,3,1,House,https://www.domain.com.au/property/alexandria/house-1,domain.com.au
"$1,643,504 ONO",1643504.0,"109 Victoria St, Alexandria NSW 2055",Alexandria,4,1,1,Villa,https://www.realestate.com.au/property/alexandria/villa-2,realestate.com.au
"$1,605,906 - $1,746,101",1605906.0,"992 Main St, Alexandria NSW 2753",Alexandria,4,2,3,Penthouse,https://www.rent.com.au/property/alexandria/penthouse-4,rent.com.au
"$1,279,400",1279400.0,"175 Military Rd, Alexandria NSW 2667",Alexandria,3,4,4,Apartment / Unit / Flat,https://www.rent.com.au/property/alexandria/apartment--unit--flat-6,rent.com.au
"$1,635,757 ONO",1635757.0,"340 High St, Alexandria NSW 2799",Alexandria,3,2,1,Townhouse,https://www.rent.com.au/property/alexandria/townhouse-7,rent.com.au
"$1,640,292 - $1,869,137",1640292.0,"122 Military Rd, Alexandria NSW 2131",Alexandria,4,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/alexandria/apartment--unit--flat-8,rent.com.au
"Guide $2,139,373",2139373.0,"149 James St, Alexandria NSW 2139",Alexandria,0,1,1,Studio,https://www.realestate.com.au/property/alexandria/studio-9,realestate.com.au
"$1,225,016 ONO",1225016.0,"473 Queen St, Alexandria NSW 2842",Alexandria,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/alexandria/apartment--unit--flat-10,rent.com.au
"$1,711,861",1711861.0,"118 Park Ave, Alexandria NSW 2694",Alexandria,4,4,1,Penthouse,https://www.rent.com.au/property/alexandria/penthouse-11,rent.com.au
"$1,161,558 ONO",1161558.0,"914 King St, Alexandria NSW 2994",Alexandria,0,1,1,Studio,https://www.realestate.com.au/property/alexandria/studio-12,realestate.com.au
"From $2,035,327",2035327.0,"894 Main St, Alexandria NSW 2025",Alexandria,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/alexandria/apartment--unit--flat-13,rent.com.au
"$2,358,528 ONO",2358528.0,"382 James St, Alexandria NSW 2616",Alexandria,0,1,1,Studio,https://www.rent.com.au/property/alexandria/studio-14,rent.com.au
"$665,314 ONO",665314.0,"75 Elizabeth St, Alexandria NSW 2034",Alexandria,4,2,1,House,https://www.rent.com.au/property/alexandria/house-15,rent.com.au
"From $1,833,611",1833611.0,"61 Main St, Alexandria NSW 2523",Alexandria,2,2,1,House,https://www.rent.com.au/property/alexandria/house-16,rent.com.au
"From $815,814",815814.0,"745 Albert St, Alexandria NSW 2374",Alexandria,1,1,0,House,https://www.realestate.com.au/property/alexandria/house-17,realestate.com.au
"$2,248,102",2248102.0,"424 The Boulevarde, Alexandria NSW 2545",Alexandria,2,3,0,House,https://www.rent.com.au/property/alexandria/house-18,rent.com.au
"$2,462,191 - $2,743,234",2462191.0,"437 Elizabeth St, Alexandria NSW 2179",Alexandria,0,1,1,Studio,https://www.realestateview.com.au/property/alexandria/studio-19,realestateview.com.au
"$2,033,146",2033146.0,"263 Church St, Alexandria NSW 2967",Alexandria,3,3,3,Villa,https://www.rent.com.au/property/alexandria/villa-20,rent.com.au
"$2,298,829 ONO",2298829.0,"328 Elizabeth St, Alexandria NSW 2525",Alexandria,0,1,1,Studio,https://www.rent.com.au/property/alexandria/studio-21,rent.com.au
"Guide $856,793",856793.0,"459 Railway St, Alexandria NSW 2777",Alexandria,0,1,0,Studio,https://www.domain.com.au/property/alexandria/studio-22,domain.com.au
"Guide $747,970",747970.0,"509 Market St, Alexandria NSW 2648",Alexandria,3,2,3,Penthouse,https://www.rent.com.au/property/alexandria/penthouse-23,rent.com.au
