price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$755,737",755737.0,"885 Albert St, Alfords Point NSW 2692",Alfords Point,5,3,1,Penthouse,https://www.realestate.com.au/property/alfords-point/penthouse-0,realestate.com.au
"$2,416,100",2416100.0,"242 Church St, Alfords Point NSW 2249",Alfords Point,4,4,0,House,https://www.realestate.com.au/property/alfords-point/house-1,realestate.com.au
"From $1,371,725",1371725.0,"210 Edward St, Alfords Point NSW 2008",Alfords Point,2,3,3,Villa,https://www.realestate.com.au/property/alfords-point/villa-2,realestate.com.au
"$762,723 ONO",762723.0,"895 George St, Alfords Point NSW 2603",Alfords Point,0,1,0,Studio,https://www.realestateview.com.au/property/alfords-point/studio-3,realestateview.com.au
"$2,175,461 ONO",2175461.0,"865 Beach Rd, Alfords Point NSW 2327",Alfords Point,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/alfords-point/apartment--unit--flat-4,rent.com.au
"$1,541,102",1541102.0,"48 Park Ave, Alfords Point NSW 2008",Alfords Point,0,1,3,Studio,https://www.realestateview.com.au/property/alfords-point/studio-5,realestateview.com.au
"$1,438,859 - $1,609,743",1438859.0,"72 Railway St, Alfords Point NSW 2355",Alfords Point,3,4,1,Townhouse,https://www.rent.com.au/property/alfords-point/townhouse-6,rent.com.au
"$833,174 ONO",833174.0,"755 Queen St, Alfords Point NSW 2836",Alfords Point,3,1,0,Townhouse,https://www.domain.com.au/property/alfords-point/townhouse-7,domain.com.au
"$1,766,828 ONO",1766828.0,"29 Church St, Alfords Point NSW 2237",Alfords Point,4,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/alfords-point/apartment--unit--flat-8,rent.com.au
"From $908,255",908255.0,"185 George St, Alfords Point NSW 2165",Alfords Point,3,4,4,Villa,https://www.realestateview.com.au/property/alfords-point/villa-9,realestateview.com.au
"Guide $1,313,725",1313725.0,"364 Market St, Alfords Point NSW 2478",Alfords Point,0,1,3,Studio,https://www.domain.com.au/property/alfords-point/studio-10,domain.com.au
"$1,831,930 ONO",1831930.0,"92 King St, Alfords Point NSW 2169",Alfords Point,0,1,0,Studio,https://www.domain.com.au/property/alfords-point/studio-11,domain.com.au
"$1,355,348 - $1,567,590",1355348.0,"743 William St, Alfords Point NSW 2036",Alfords Point,0,1,4,Studio,https://www.domain.com.au/property/alfords-point/studio-12,domain.com.au
"Guide $1,226,798",1226798.0,"905 Market St, Alfords Point NSW 2983",Alfords Point,3,4,1,House,https://www.realestateview.com.au/property/alfords-point/house-13,realestateview.com.au
"$594,099 ONO",594099.0,"658 Main St, Alfords Point NSW 2333",Alfords Point,2,2,3,House,https://www.rent.com.au/property/alfords-point/house-14,rent.com.au
"Guide $654,235",654235.0,"50 Princes Highway, Alfords Point NSW 2034",Alfords Point,4,4,2,Villa,https://www.domain.com.au/property/alfords-point/villa-15,domain.com.au
"Guide $842,086",842086.0,"753 High St, Alfords Point NSW 2761",Alfords Point,3,2,0,Penthouse,https://www.realestate.com.au/property/alfords-point/penthouse-16,realestate.com.au
"$2,347,970",2347970.0,"20 Pacific Highway, Alfords Point NSW 2337",Alfords Point,3,3,0,Townhouse,https://www.rent.com.au/property/alfords-point/townhouse-19,rent.com.au
"$2,213,941 ONO",2213941.0,"274 The Boulevarde, Alfords Point NSW 2094",Alfords Point,3,3,2,Townhouse,https://www.realestate.com.au/property/alfords-point/townhouse-20,realestate.com.au
"$2,064,693 - $2,311,330",2064693.0,"550 Albert St, Alfords Point NSW 2066",Alfords Point,3,1,2,Townhouse,https://www.realestate.com.au/property/alfords-point/townhouse-21,realestate.com.au
"From $2,246,964",2246964.0,"881 Church St, Alfords Point NSW 2909",Alfords Point,2,2,0,Villa,https://www.rent.com.au/property/alfords-point/villa-22,rent.com.au
"$1,442,643",1442643.0,"228 King St, Alfords Point NSW 2460",Alfords Point,0,1,1,Studio,https://www.domain.com.au/property/alfords-point/studio-23,domain.com.au
"$533,346 - $831,334",533346.0,"792 Market St, Alfords Point NSW 2981",Alfords Point,0,1,0,Studio,https://www.rent.com.au/property/alfords-point/studio-24,rent.com.au
