price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,380,228 ONO",2380228.0,"233 Queen St, Allawah NSW 2431",Allawah,5,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/allawah/apartment--unit--flat-0,realestateview.com.au
"Guide $2,131,567",2131567.0,"816 James St, Allawah NSW 2265",Allawah,3,2,2,Townhouse,https://www.rent.com.au/property/allawah/townhouse-1,rent.com.au
"$2,075,296 - $2,360,283",2075296.0,"765 Church St, Allawah NSW 2665",Allawah,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/allawah/apartment--unit--flat-2,rent.com.au
"Guide $2,015,161",2015161.0,"302 Princes Highway, Allawah NSW 2196",Allawah,3,2,1,House,https://www.domain.com.au/property/allawah/house-3,domain.com.au
"Guide $2,107,928",2107928.0,"845 King St, Allawah NSW 2099",Allawah,2,1,0,Villa,https://www.domain.com.au/property/allawah/villa-4,domain.com.au
"Guide $2,180,579",2180579.0,"751 Military Rd, Allawah NSW 2029",Allawah,0,1,0,Studio,https://www.realestate.com.au/property/allawah/studio-5,realestate.com.au
"$1,661,272 ONO",1661272.0,"372 Albert St, Allawah NSW 2184",Allawah,1,1,0,House,https://www.realestate.com.au/property/allawah/house-7,realestate.com.au
"Guide $653,231",653231.0,"474 The Boulevarde, Allawah NSW 2686",Allawah,0,1,1,Studio,https://www.domain.com.au/property/allawah/studio-8,domain.com.au
"From $1,742,722",1742722.0,"467 Edward St, Allawah NSW 2981",Allawah,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/allawah/apartment--unit--flat-9,realestate.com.au
"$2,468,064 - $2,703,190",2468064.0,"800 Market St, Allawah NSW 2814",Allawah,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/allawah/apartment--unit--flat-10,realestate.com.au
"Guide $2,417,633",2417633.0,"672 James St, Allawah NSW 2903",Allawah,0,1,1,Studio,https://www.realestateview.com.au/property/allawah/studio-11,realestateview.com.au
"Guide $601,688",601688.0,"455 Beach Rd, Allawah NSW 2094",Allawah,0,1,1,Studio,https://www.domain.com.au/property/allawah/studio-12,domain.com.au
"$517,639 - $621,177",517639.0,"163 Church St, Allawah NSW 2974",Allawah,5,2,1,Penthouse,https://www.realestate.com.au/property/allawah/penthouse-13,realestate.com.au
"$2,095,048",2095048.0,"416 Church St, Allawah NSW 2664",Allawah,3,1,0,House,https://www.rent.com.au/property/allawah/house-14,rent.com.au
"From $2,416,557",2416557.0,"512 Market St, Allawah NSW 2398",Allawah,0,1,0,Studio,https://www.domain.com.au/property/allawah/studio-15,domain.com.au
"$551,382",551382.0,"547 Ocean Rd, Allawah NSW 2920",Allawah,3,4,1,Penthouse,https://www.rent.com.au/property/allawah/penthouse-16,rent.com.au
"$1,133,259",1133259.0,"837 Victoria St, Allawah NSW 2324",Allawah,5,3,1,Penthouse,https://www.rent.com.au/property/allawah/penthouse-17,rent.com.au
"$2,168,068",2168068.0,"640 Park Ave, Allawah NSW 2779",Allawah,1,2,2,House,https://www.domain.com.au/property/allawah/house-18,domain.com.au
"$2,313,748 - $2,462,927",2313748.0,"471 Queen St, Allawah NSW 2773",Allawah,5,4,2,Penthouse,https://www.realestate.com.au/property/allawah/penthouse-19,realestate.com.au
"$559,819 - $830,104",559819.0,"525 James St, Allawah NSW 2390",Allawah,4,1,2,Townhouse,https://www.realestateview.com.au/property/allawah/townhouse-20,realestateview.com.au
"From $2,457,199",2457199.0,"732 James St, Allawah NSW 2035",Allawah,0,1,0,Studio,https://www.realestate.com.au/property/allawah/studio-21,realestate.com.au
"Guide $678,692",678692.0,"264 High St, Allawah NSW 2315",Allawah,3,3,2,Villa,https://www.realestate.com.au/property/allawah/villa-22,realestate.com.au
"$2,446,042",2446042.0,"914 Market St, Allawah NSW 2128",Allawah,6,3,1,Penthouse,https://www.realestate.com.au/property/allawah/penthouse-23,realestate.com.au
"$627,045",627045.0,"444 Military Rd, Allawah NSW 2994",Allawah,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/allawah/apartment--unit--flat-24,rent.com.au
