price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$739,118 ONO",739118.0,"160 High St, Annandale NSW 2302",Annandale,3,4,0,Penthouse,https://www.domain.com.au/property/annandale/penthouse-0,domain.com.au
"Guide $649,902",649902.0,"549 Beach Rd, Annandale NSW 2681",Annandale,2,2,0,Villa,https://www.domain.com.au/property/annandale/villa-2,domain.com.au
"$817,144",817144.0,"671 King St, Annandale NSW 2208",Annandale,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/annandale/apartment--unit--flat-3,rent.com.au
"$1,795,054 - $2,072,074",1795054.0,"970 Military Rd, Annandale NSW 2214",Annandale,3,2,1,Penthouse,https://www.realestate.com.au/property/annandale/penthouse-4,realestate.com.au
"Guide $1,737,625",1737625.0,"403 Albert St, Annandale NSW 2798",Annandale,0,1,0,Studio,https://www.domain.com.au/property/annandale/studio-5,domain.com.au
"$2,129,408",2129408.0,"379 Albert St, Annandale NSW 2035",Annandale,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/annandale/apartment--unit--flat-6,realestate.com.au
"Guide $1,473,110",1473110.0,"382 Railway St, Annandale NSW 2841",Annandale,6,4,1,Penthouse,https://www.rent.com.au/property/annandale/penthouse-7,rent.com.au
"From $791,509",791509.0,"89 Victoria St, Annandale NSW 2180",Annandale,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/annandale/apartment--unit--flat-8,realestateview.com.au
"$1,991,426 ONO",1991426.0,"712 Military Rd, Annandale NSW 2828",Annandale,0,1,2,Studio,https://www.domain.com.au/property/annandale/studio-9,domain.com.au
"$1,461,188 ONO",1461188.0,"299 Park Ave, Annandale NSW 2185",Annandale,3,2,1,Penthouse,https://www.rent.com.au/property/annandale/penthouse-10,rent.com.au
"Guide $1,442,354",1442354.0,"197 Princes Highway, Annandale NSW 2922",Annandale,3,3,3,House,https://www.realestateview.com.au/property/annandale/house-12,realestateview.com.au
"$1,514,723 ONO",1514723.0,"376 William St, Annandale NSW 2860",Annandale,2,3,2,House,https://www.realestateview.com.au/property/annandale/house-13,realestateview.com.au
"$1,310,449",1310449.0,"352 Princes Highway, Annandale NSW 2000",Annandale,2,1,1,Townhouse,https://www.rent.com.au/property/annandale/townhouse-14,rent.com.au
"From $1,409,994",1409994.0,"717 Pacific Highway, Annandale NSW 2306",Annandale,3,2,0,House,https://www.domain.com.au/property/annandale/house-15,domain.com.au
"$1,088,767",1088767.0,"912 Pacific Highway, Annandale NSW 2371",Annandale,0,1,2,Studio,https://www.rent.com.au/property/annandale/studio-16,rent.com.au
"$1,615,531 - $1,693,199",1615531.0,"978 Park Ave, Annandale NSW 2841",Annandale,3,4,0,House,https://www.realestate.com.au/property/annandale/house-17,realestate.com.au
"$2,397,830 - $2,665,555",2397830.0,"821 Church St, Annandale NSW 2022",Annandale,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/annandale/apartment--unit--flat-18,domain.com.au
"$1,956,182 - $2,033,245",1956182.0,"115 William St, Annandale NSW 2952",Annandale,1,2,0,Villa,https://www.realestate.com.au/property/annandale/villa-19,realestate.com.au
"From $1,226,379",1226379.0,"265 Railway St, Annandale NSW 2555",Annandale,3,1,3,Villa,https://www.rent.com.au/property/annandale/villa-20,rent.com.au
"$2,047,035 - $2,098,844",2047035.0,"201 Church St, Annandale NSW 2644",Annandale,4,3,3,Penthouse,https://www.realestate.com.au/property/annandale/penthouse-22,realestate.com.au
"$1,392,271 - $1,467,952",1392271.0,"253 Princes Highway, Annandale NSW 2663",Annandale,0,1,1,Studio,https://www.realestate.com.au/property/annandale/studio-23,realestate.com.au
"$2,014,654",2014654.0,"720 Edward St, Annandale NSW 2631",Annandale,3,1,1,Townhouse,https://www.realestateview.com.au/property/annandale/townhouse-24,realestateview.com.au
