price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,532,777",1532777.0,"209 Church St, Annangrove NSW 2159",Annangrove,6,3,2,Penthouse,https://www.realestateview.com.au/property/annangrove/penthouse-1,realestateview.com.au
"$611,879 - $858,521",611879.0,"597 Market St, Annangrove NSW 2990",Annangrove,6,4,3,Penthouse,https://www.rent.com.au/property/annangrove/penthouse-2,rent.com.au
"$1,861,398 ONO",1861398.0,"700 Pacific Highway, Annangrove NSW 2540",Annangrove,3,1,1,House,https://www.realestateview.com.au/property/annangrove/house-4,realestateview.com.au
"$2,167,907",2167907.0,"685 Railway St, Annangrove NSW 2949",Annangrove,3,4,0,House,https://www.domain.com.au/property/annangrove/house-5,domain.com.au
"$1,503,345 ONO",1503345.0,"884 Railway St, Annangrove NSW 2310",Annangrove,1,2,1,Villa,https://www.rent.com.au/property/annangrove/villa-6,rent.com.au
"$1,252,574 ONO",1252574.0,"258 Albert St, Annangrove NSW 2841",Annangrove,4,3,1,Townhouse,https://www.realestate.com.au/property/annangrove/townhouse-8,realestate.com.au
"Guide $533,803",533803.0,"481 Elizabeth St, Annangrove NSW 2827",Annangrove,0,1,2,Studio,https://www.realestate.com.au/property/annangrove/studio-9,realestate.com.au
"$2,052,302 - $2,111,936",2052302.0,"910 Princes Highway, Annangrove NSW 2097",Annangrove,5,4,2,Penthouse,https://www.rent.com.au/property/annangrove/penthouse-10,rent.com.au
"From $2,099,672",2099672.0,"797 Queen St, Annangrove NSW 2644",Annangrove,4,2,2,Penthouse,https://www.rent.com.au/property/annangrove/penthouse-11,rent.com.au
"$1,373,670",1373670.0,"35 Park Ave, Annangrove NSW 2447",Annangrove,5,2,0,Townhouse,https://www.domain.com.au/property/annangrove/townhouse-12,domain.com.au
"From $2,282,578",2282578.0,"241 Albert St, Annangrove NSW 2755",Annangrove,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/annangrove/apartment--unit--flat-13,realestate.com.au
"$1,923,498",1923498.0,"408 Main St, Annangrove NSW 2083",Annangrove,2,1,1,Townhouse,https://www.domain.com.au/property/annangrove/townhouse-15,domain.com.au
"$2,213,339 ONO",2213339.0,"665 King St, Annangrove NSW 2872",Annangrove,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/annangrove/apartment--unit--flat-17,domain.com.au
"$1,769,018 ONO",1769018.0,"31 Military Rd, Annangrove NSW 2907",Annangrove,3,2,1,Villa,https://www.realestateview.com.au/property/annangrove/villa-18,realestateview.com.au
"From $641,713",641713.0,"772 The Boulevarde, Annangrove NSW 2066",Annangrove,0,1,1,Studio,https://www.rent.com.au/property/annangrove/studio-19,rent.com.au
"$1,705,423 ONO",1705423.0,"851 James St, Annangrove NSW 2586",Annangrove,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/annangrove/apartment--unit--flat-20,domain.com.au
"$627,729 - $908,444",627729.0,"96 Pacific Highway, Annangrove NSW 2792",Annangrove,3,1,3,Villa,https://www.realestate.com.au/property/annangrove/villa-21,realestate.com.au
"From $1,656,329",1656329.0,"966 Market St, Annangrove NSW 2296",Annangrove,1,1,2,Villa,https://www.realestateview.com.au/property/annangrove/villa-22,realestateview.com.au
"Guide $2,120,575",2120575.0,"543 Queen St, Annangrove NSW 2668",Annangrove,4,4,2,Villa,https://www.rent.com.au/property/annangrove/villa-23,rent.com.au
"$742,819 ONO",742819.0,"930 Pacific Highway, Annangrove NSW 2424",Annangrove,5,2,1,Townhouse,https://www.realestate.com.au/property/annangrove/townhouse-24,realestate.com.au
