price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,130,872 ONO",2130872.0,"10 Ocean Rd, Arncliffe NSW 2866",Arncliffe,4,3,1,Townhouse,https://www.domain.com.au/property/arncliffe/townhouse-0,domain.com.au
"From $2,432,002",2432002.0,"643 George St, Arncliffe NSW 2989",Arncliffe,0,1,2,Studio,https://www.domain.com.au/property/arncliffe/studio-1,domain.com.au
"$2,351,759 ONO",2351759.0,"894 Elizabeth St, Arncliffe NSW 2039",Arncliffe,1,2,1,Villa,https://www.realestate.com.au/property/arncliffe/villa-3,realestate.com.au
"$1,388,247 - $1,554,862",1388247.0,"203 Military Rd, Arncliffe NSW 2347",Arncliffe,3,4,0,Villa,https://www.rent.com.au/property/arncliffe/villa-4,rent.com.au
"Guide $1,940,896",1940896.0,"725 Park Ave, Arncliffe NSW 2206",Arncliffe,1,2,0,House,https://www.domain.com.au/property/arncliffe/house-5,domain.com.au
"From $2,369,424",2369424.0,"286 The Boulevarde, Arncliffe NSW 2905",Arncliffe,3,3,0,Villa,https://www.domain.com.au/property/arncliffe/villa-6,domain.com.au
"$906,129",906129.0,"710 Queen St, Arncliffe NSW 2457",Arncliffe,5,3,1,Penthouse,https://www.domain.com.au/property/arncliffe/penthouse-7,domain.com.au
"$1,005,888 ONO",1005888.0,"540 High St, Arncliffe NSW 2515",Arncliffe,2,1,1,Townhouse,https://www.rent.com.au/property/arncliffe/townhouse-8,rent.com.au
"$1,888,863",1888863.0,"327 High St, Arncliffe NSW 2953",Arncliffe,4,2,3,Townhouse,https://www.domain.com.au/property/arncliffe/townhouse-9,domain.com.au
"From $2,286,421",2286421.0,"499 Victoria St, Arncliffe NSW 2467",Arncliffe,0,1,3,Studio,https://www.rent.com.au/property/arncliffe/studio-10,rent.com.au
"From $1,101,877",1101877.0,"881 Beach Rd, Arncliffe NSW 2976",Arncliffe,4,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/arncliffe/apartment--unit--flat-11,realestate.com.au
"$2,430,349",2430349.0,"955 Albert St, Arncliffe NSW 2638",Arncliffe,2,3,0,House,https://www.domain.com.au/property/arncliffe/house-12,domain.com.au
"$1,766,821 - $2,033,475",1766821.0,"543 Queen St, Arncliffe NSW 2021",Arncliffe,4,1,1,House,https://www.realestateview.com.au/property/arncliffe/house-13,realestateview.com.au
"From $2,227,021",2227021.0,"762 William St, Arncliffe NSW 2340",Arncliffe,3,3,1,Townhouse,https://www.domain.com.au/property/arncliffe/townhouse-14,domain.com.au
"From $822,520",822520.0,"660 Beach Rd, Arncliffe NSW 2813",Arncliffe,2,3,3,Villa,https://www.realestate.com.au/property/arncliffe/villa-15,realestate.com.au
"Guide $558,722",558722.0,"758 George St, Arncliffe NSW 2166",Arncliffe,0,1,2,Studio,https://www.realestateview.com.au/property/arncliffe/studio-17,realestateview.com.au
"$2,451,079",2451079.0,"74 The Boulevarde, Arncliffe NSW 2894",Arncliffe,3,2,2,Villa,https://www.domain.com.au/property/arncliffe/villa-18,domain.com.au
"From $2,440,341",2440341.0,"984 Ocean Rd, Arncliffe NSW 2168",Arncliffe,1,2,0,Townhouse,https://www.rent.com.au/property/arncliffe/townhouse-19,rent.com.au
"$2,326,110",2326110.0,"665 King St, Arncliffe NSW 2067",Arncliffe,3,2,1,Townhouse,https://www.realestate.com.au/property/arncliffe/townhouse-20,realestate.com.au
"$553,955",553955.0,"768 Main St, Arncliffe NSW 2848",Arncliffe,2,3,3,Townhouse,https://www.realestate.com.au/property/arncliffe/townhouse-21,realestate.com.au
"$2,109,447 ONO",2109447.0,"284 Edward St, Arncliffe NSW 2575",Arncliffe,2,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/arncliffe/apartment--unit--flat-22,realestate.com.au
"$1,811,544",1811544.0,"448 Ocean Rd, Arncliffe NSW 2755",Arncliffe,0,1,0,Studio,https://www.domain.com.au/property/arncliffe/studio-23,domain.com.au
