price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,656,516 ONO",1656516.0,"621 Ocean Rd, Ashfield NSW 2374",Ashfield,3,2,0,House,https://www.realestateview.com.au/property/ashfield/house-0,realestateview.com.au
"$1,902,516 ONO",1902516.0,"181 Queen St, Ashfield NSW 2958",Ashfield,5,2,0,Penthouse,https://www.rent.com.au/property/ashfield/penthouse-1,rent.com.au
"$1,529,030",1529030.0,"982 James St, Ashfield NSW 2374",Ashfield,3,1,3,Villa,https://www.realestate.com.au/property/ashfield/villa-3,realestate.com.au
"From $1,366,346",1366346.0,"451 Pacific Highway, Ashfield NSW 2595",Ashfield,0,1,0,Studio,https://www.domain.com.au/property/ashfield/studio-4,domain.com.au
"$623,032",623032.0,"271 George St, Ashfield NSW 2420",Ashfield,0,1,1,Studio,https://www.rent.com.au/property/ashfield/studio-5,rent.com.au
"$537,362 - $792,928",537362.0,"437 Ocean Rd, Ashfield NSW 2888",Ashfield,0,1,0,Studio,https://www.domain.com.au/property/ashfield/studio-6,domain.com.au
"Guide $1,537,791",1537791.0,"390 Princes Highway, Ashfield NSW 2104",Ashfield,1,2,3,House,https://www.domain.com.au/property/ashfield/house-7,domain.com.au
"$2,368,888",2368888.0,"737 Queen St, Ashfield NSW 2275",Ashfield,3,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ashfield/apartment--unit--flat-8,realestateview.com.au
"$578,311",578311.0,"380 Railway St, Ashfield NSW 2800",Ashfield,4,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/ashfield/apartment--unit--flat-9,rent.com.au
"Guide $1,054,475",1054475.0,"757 Queen St, Ashfield NSW 2075",Ashfield,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/ashfield/apartment--unit--flat-10,rent.com.au
"$1,184,252",1184252.0,"839 Church St, Ashfield NSW 2841",Ashfield,0,1,1,Studio,https://www.rent.com.au/property/ashfield/studio-11,rent.com.au
"From $2,371,407",2371407.0,"386 Ocean Rd, Ashfield NSW 2592",Ashfield,4,4,0,Townhouse,https://www.domain.com.au/property/ashfield/townhouse-12,domain.com.au
"From $2,462,956",2462956.0,"368 George St, Ashfield NSW 2898",Ashfield,1,2,3,Townhouse,https://www.realestateview.com.au/property/ashfield/townhouse-13,realestateview.com.au
"$2,064,707 - $2,119,697",2064707.0,"96 Pacific Highway, Ashfield NSW 2087",Ashfield,5,3,1,Penthouse,https://www.domain.com.au/property/ashfield/penthouse-14,domain.com.au
"$951,623 - $1,238,523",951623.0,"62 The Boulevarde, Ashfield NSW 2152",Ashfield,3,3,2,Villa,https://www.rent.com.au/property/ashfield/villa-15,rent.com.au
"$2,182,025 ONO",2182025.0,"990 King St, Ashfield NSW 2163",Ashfield,3,4,1,House,https://www.domain.com.au/property/ashfield/house-17,domain.com.au
"From $2,118,162",2118162.0,"687 Railway St, Ashfield NSW 2072",Ashfield,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/ashfield/apartment--unit--flat-18,realestate.com.au
"$904,941 ONO",904941.0,"614 High St, Ashfield NSW 2146",Ashfield,3,3,1,Villa,https://www.domain.com.au/property/ashfield/villa-19,domain.com.au
"$1,566,328 ONO",1566328.0,"528 The Boulevarde, Ashfield NSW 2209",Ashfield,3,4,0,Villa,https://www.realestate.com.au/property/ashfield/villa-20,realestate.com.au
"$1,256,278 - $1,532,656",1256278.0,"379 Church St, Ashfield NSW 2628",Ashfield,3,4,0,House,https://www.domain.com.au/property/ashfield/house-21,domain.com.au
"$2,197,878 - $2,323,748",2197878.0,"647 King St, Ashfield NSW 2420",Ashfield,0,1,0,Studio,https://www.rent.com.au/property/ashfield/studio-22,rent.com.au
"From $631,760",631760.0,"989 The Boulevarde, Ashfield NSW 2234",Ashfield,5,3,1,Penthouse,https://www.realestate.com.au/property/ashfield/penthouse-23,realestate.com.au
"$2,283,304 ONO",2283304.0,"451 Park Ave, Ashfield NSW 2885",Ashfield,3,4,3,Villa,https://www.domain.com.au/property/ashfield/villa-24,domain.com.au
