price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,026,347",1026347.0,"419 Park Ave, Auburn NSW 2842",Auburn,4,1,0,House,https://www.realestate.com.au/property/auburn/house-0,realestate.com.au
"Guide $927,951",927951.0,"466 Pacific Highway, Auburn NSW 2952",Auburn,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/auburn/apartment--unit--flat-1,domain.com.au
"$989,046",989046.0,"493 Market St, Auburn NSW 2218",Auburn,6,4,2,Penthouse,https://www.realestate.com.au/property/auburn/penthouse-4,realestate.com.au
"From $1,165,102",1165102.0,"389 Ocean Rd, Auburn NSW 2074",Auburn,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/auburn/apartment--unit--flat-5,realestateview.com.au
"From $585,377",585377.0,"662 James St, Auburn NSW 2375",Auburn,0,1,1,Studio,https://www.realestateview.com.au/property/auburn/studio-7,realestateview.com.au
"From $813,174",813174.0,"174 James St, Auburn NSW 2539",Auburn,2,1,0,Townhouse,https://www.realestateview.com.au/property/auburn/townhouse-8,realestateview.com.au
"Guide $985,254",985254.0,"121 Victoria St, Auburn NSW 2589",Auburn,3,4,0,Villa,https://www.realestate.com.au/property/auburn/villa-9,realestate.com.au
"Guide $544,324",544324.0,"357 Edward St, Auburn NSW 2860",Auburn,3,2,1,Villa,https://www.domain.com.au/property/auburn/villa-10,domain.com.au
"$620,476",620476.0,"966 Church St, Auburn NSW 2595",Auburn,3,4,1,Townhouse,https://www.domain.com.au/property/auburn/townhouse-12,domain.com.au
"$561,198",561198.0,"620 Park Ave, Auburn NSW 2142",Auburn,3,4,0,Villa,https://www.realestate.com.au/property/auburn/villa-13,realestate.com.au
"$821,648 ONO",821648.0,"647 Queen St, Auburn NSW 2758",Auburn,2,2,1,Villa,https://www.domain.com.au/property/auburn/villa-14,domain.com.au
"$1,083,925 - $1,330,887",1083925.0,"953 Market St, Auburn NSW 2449",Auburn,3,1,0,Villa,https://www.rent.com.au/property/auburn/villa-16,rent.com.au
"$700,849 ONO",700849.0,"331 Ocean Rd, Auburn NSW 2040",Auburn,3,1,0,Villa,https://www.realestateview.com.au/property/auburn/villa-17,realestateview.com.au
"From $543,880",543880.0,"65 William St, Auburn NSW 2130",Auburn,2,3,0,Townhouse,https://www.domain.com.au/property/auburn/townhouse-19,domain.com.au
"$660,970 - $788,150",660970.0,"131 Military Rd, Auburn NSW 2345",Auburn,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/auburn/apartment--unit--flat-20,realestateview.com.au
"$898,299 ONO",898299.0,"661 Queen St, Auburn NSW 2840",Auburn,0,1,0,Studio,https://www.realestate.com.au/property/auburn/studio-21,realestate.com.au
"$1,175,342 - $1,366,621",1175342.0,"649 Park Ave, Auburn NSW 2594",Auburn,0,1,3,Studio,https://www.realestateview.com.au/property/auburn/studio-23,realestateview.com.au
"Guide $1,095,108",1095108.0,"28 The Boulevarde, Auburn NSW 2847",Auburn,3,2,2,Penthouse,https://www.realestate.com.au/property/auburn/penthouse-24,realestate.com.au
