price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,419,345",2419345.0,"697 Edward St, Avalon NSW 2878",Avalon,1,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/avalon/apartment--unit--flat-0,rent.com.au
"Guide $1,797,041",1797041.0,"317 Main St, Avalon NSW 2963",Avalon,0,1,0,Studio,https://www.rent.com.au/property/avalon/studio-1,rent.com.au
"$893,353",893353.0,"817 King St, Avalon NSW 2912",Avalon,1,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/avalon/apartment--unit--flat-2,rent.com.au
"From $3,501,410",3501410.0,"497 Railway St, Avalon NSW 2367",Avalon,0,1,1,Studio,https://www.realestate.com.au/property/avalon/studio-3,realestate.com.au
"$1,559,528 ONO",1559528.0,"641 James St, Avalon NSW 2790",Avalon,4,2,2,Villa,https://www.rent.com.au/property/avalon/villa-4,rent.com.au
"$3,047,214",3047214.0,"629 Queen St, Avalon NSW 2764",Avalon,6,4,2,Penthouse,https://www.realestate.com.au/property/avalon/penthouse-5,realestate.com.au
"$2,723,737 - $2,895,401",2723737.0,"860 Edward St, Avalon NSW 2457",Avalon,1,2,1,Villa,https://www.domain.com.au/property/avalon/villa-7,domain.com.au
"From $1,797,817",1797817.0,"264 Main St, Avalon NSW 2103",Avalon,2,3,2,Villa,https://www.domain.com.au/property/avalon/villa-8,domain.com.au
"Guide $3,104,733",3104733.0,"27 Market St, Avalon NSW 2334",Avalon,0,1,3,Studio,https://www.domain.com.au/property/avalon/studio-11,domain.com.au
"From $1,897,947",1897947.0,"950 Beach Rd, Avalon NSW 2522",Avalon,3,2,1,Penthouse,https://www.realestate.com.au/property/avalon/penthouse-12,realestate.com.au
"$2,308,918 ONO",2308918.0,"999 Military Rd, Avalon NSW 2137",Avalon,1,2,1,Villa,https://www.domain.com.au/property/avalon/villa-13,domain.com.au
"From $1,262,765",1262765.0,"966 High St, Avalon NSW 2534",Avalon,0,1,1,Studio,https://www.realestate.com.au/property/avalon/studio-14,realestate.com.au
"$3,253,033 ONO",3253033.0,"780 Ocean Rd, Avalon NSW 2933",Avalon,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/avalon/apartment--unit--flat-15,domain.com.au
"$2,210,513 ONO",2210513.0,"377 The Boulevarde, Avalon NSW 2014",Avalon,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/avalon/apartment--unit--flat-16,domain.com.au
"From $1,480,859",1480859.0,"555 Market St, Avalon NSW 2037",Avalon,3,2,3,House,https://www.domain.com.au/property/avalon/house-17,domain.com.au
"From $1,714,468",1714468.0,"768 Park Ave, Avalon NSW 2364",Avalon,6,2,2,Penthouse,https://www.domain.com.au/property/avalon/penthouse-18,domain.com.au
"Guide $3,613,093",3613093.0,"54 Edward St, Avalon NSW 2601",Avalon,0,1,0,Studio,https://www.domain.com.au/property/avalon/studio-19,domain.com.au
"From $2,466,333",2466333.0,"987 Military Rd, Avalon NSW 2158",Avalon,4,3,0,Penthouse,https://www.realestate.com.au/property/avalon/penthouse-20,realestate.com.au
"$2,437,500 - $2,535,845",2437500.0,"281 Park Ave, Avalon NSW 2357",Avalon,4,4,1,Penthouse,https://www.domain.com.au/property/avalon/penthouse-21,domain.com.au
"$3,900,412 - $4,009,282",3900412.0,"146 Military Rd, Avalon NSW 2757",Avalon,4,2,2,Penthouse,https://www.realestate.com.au/property/avalon/penthouse-22,realestate.com.au
"$3,898,107 - $3,974,987",3898107.0,"224 Victoria St, Avalon NSW 2067",Avalon,0,1,1,Studio,https://www.realestate.com.au/property/avalon/studio-23,realestate.com.au
"$2,201,673 ONO",2201673.0,"835 The Boulevarde, Avalon NSW 2590",Avalon,2,3,2,Villa,https://www.rent.com.au/property/avalon/villa-24,rent.com.au
