price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,254,120",1254120.0,"731 Pacific Highway, Avalon Beach NSW 2288",Avalon Beach,2,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/avalon-beach/apartment--unit--flat-0,rent.com.au
"$787,902 - $992,101",787902.0,"120 Park Ave, Avalon Beach NSW 2875",Avalon Beach,2,3,0,Townhouse,https://www.rent.com.au/property/avalon-beach/townhouse-1,rent.com.au
"From $1,755,045",1755045.0,"302 High St, Avalon Beach NSW 2197",Avalon Beach,1,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/avalon-beach/apartment--unit--flat-2,domain.com.au
"Guide $1,210,443",1210443.0,"286 The Boulevarde, Avalon Beach NSW 2346",Avalon Beach,3,1,0,Townhouse,https://www.domain.com.au/property/avalon-beach/townhouse-3,domain.com.au
"$1,681,651 ONO",1681651.0,"650 George St, Avalon Beach NSW 2574",Avalon Beach,3,3,1,House,https://www.rent.com.au/property/avalon-beach/house-4,rent.com.au
"Guide $876,354",876354.0,"367 Beach Rd, Avalon Beach NSW 2591",Avalon Beach,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/avalon-beach/apartment--unit--flat-5,rent.com.au
"$1,426,580",1426580.0,"93 Victoria St, Avalon Beach NSW 2544",Avalon Beach,2,2,2,Townhouse,https://www.realestateview.com.au/property/avalon-beach/townhouse-7,realestateview.com.au
"Guide $2,203,233",2203233.0,"266 King St, Avalon Beach NSW 2473",Avalon Beach,3,3,3,Penthouse,https://www.realestateview.com.au/property/avalon-beach/penthouse-8,realestateview.com.au
"$2,159,260",2159260.0,"525 King St, Avalon Beach NSW 2114",Avalon Beach,0,1,1,Studio,https://www.realestateview.com.au/property/avalon-beach/studio-9,realestateview.com.au
"$1,880,133 - $1,993,692",1880133.0,"892 Military Rd, Avalon Beach NSW 2286",Avalon Beach,1,1,3,House,https://www.realestateview.com.au/property/avalon-beach/house-11,realestateview.com.au
"Guide $1,813,651",1813651.0,"70 Victoria St, Avalon Beach NSW 2212",Avalon Beach,0,1,2,Studio,https://www.realestateview.com.au/property/avalon-beach/studio-12,realestateview.com.au
"$1,524,470 ONO",1524470.0,"833 James St, Avalon Beach NSW 2221",Avalon Beach,4,3,1,Townhouse,https://www.realestate.com.au/property/avalon-beach/townhouse-13,realestate.com.au
"$1,142,816 ONO",1142816.0,"825 Market St, Avalon Beach NSW 2768",Avalon Beach,0,1,0,Studio,https://www.realestateview.com.au/property/avalon-beach/studio-14,realestateview.com.au
"$2,281,017",2281017.0,"603 Ocean Rd, Avalon Beach NSW 2119",Avalon Beach,1,1,2,Villa,https://www.realestate.com.au/property/avalon-beach/villa-15,realestate.com.au
"$962,260 ONO",962260.0,"133 Railway St, Avalon Beach NSW 2634",Avalon Beach,3,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/avalon-beach/apartment--unit--flat-16,rent.com.au
"Guide $1,355,130",1355130.0,"223 Church St, Avalon Beach NSW 2221",Avalon Beach,0,1,0,Studio,https://www.domain.com.au/property/avalon-beach/studio-18,domain.com.au
"$1,980,052 ONO",1980052.0,"360 Pacific Highway, Avalon Beach NSW 2456",Avalon Beach,3,3,2,Townhouse,https://www.rent.com.au/property/avalon-beach/townhouse-19,rent.com.au
"From $1,318,959",1318959.0,"967 High St, Avalon Beach NSW 2615",Avalon Beach,2,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/avalon-beach/apartment--unit--flat-20,realestateview.com.au
"Guide $1,273,046",1273046.0,"23 Church St, Avalon Beach NSW 2704",Avalon Beach,4,1,3,Townhouse,https://www.realestate.com.au/property/avalon-beach/townhouse-21,realestate.com.au
"Guide $1,631,274",1631274.0,"919 Main St, Avalon Beach NSW 2505",Avalon Beach,3,2,2,Townhouse,https://www.realestate.com.au/property/avalon-beach/townhouse-22,realestate.com.au
"From $2,206,541",2206541.0,"164 Market St, Avalon Beach NSW 2247",Avalon Beach,0,1,2,Studio,https://www.realestateview.com.au/property/avalon-beach/studio-23,realestateview.com.au
"$1,211,898 ONO",1211898.0,"104 William St, Avalon Beach NSW 2844",Avalon Beach,0,1,0,Studio,https://www.rent.com.au/property/avalon-beach/studio-24,rent.com.au
