price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$724,926",724926.0,"476 Church St, Balgowlah NSW 2304",Balgowlah,6,4,0,Penthouse,https://www.realestate.com.au/property/balgowlah/penthouse-0,realestate.com.au
"Guide $2,174,936",2174936.0,"277 Elizabeth St, Balgowlah NSW 2833",Balgowlah,2,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balgowlah/apartment--unit--flat-1,realestateview.com.au
"Guide $879,107",879107.0,"820 Beach Rd, Balgowlah NSW 2368",Balgowlah,0,1,3,Studio,https://www.domain.com.au/property/balgowlah/studio-2,domain.com.au
"$1,401,327",1401327.0,"785 Ocean Rd, Balgowlah NSW 2701",Balgowlah,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/balgowlah/apartment--unit--flat-3,domain.com.au
"From $1,469,799",1469799.0,"126 Park Ave, Balgowlah NSW 2997",Balgowlah,2,2,0,Townhouse,https://www.realestateview.com.au/property/balgowlah/townhouse-4,realestateview.com.au
"$2,442,446 - $2,546,828",2442446.0,"60 George St, Balgowlah NSW 2277",Balgowlah,4,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/balgowlah/apartment--unit--flat-5,realestate.com.au
"$1,377,628",1377628.0,"125 The Boulevarde, Balgowlah NSW 2653",Balgowlah,0,1,3,Studio,https://www.rent.com.au/property/balgowlah/studio-6,rent.com.au
"$1,058,146 - $1,228,434",1058146.0,"257 Queen St, Balgowlah NSW 2989",Balgowlah,2,3,1,House,https://www.domain.com.au/property/balgowlah/house-7,domain.com.au
"$1,056,234",1056234.0,"705 Beach Rd, Balgowlah NSW 2943",Balgowlah,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/balgowlah/apartment--unit--flat-8,rent.com.au
"Guide $1,179,332",1179332.0,"268 King St, Balgowlah NSW 2564",Balgowlah,4,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/balgowlah/apartment--unit--flat-10,domain.com.au
"Guide $2,199,362",2199362.0,"753 Victoria St, Balgowlah NSW 2532",Balgowlah,2,3,1,Villa,https://www.realestate.com.au/property/balgowlah/villa-11,realestate.com.au
"Guide $2,182,607",2182607.0,"430 Queen St, Balgowlah NSW 2796",Balgowlah,4,1,1,House,https://www.realestateview.com.au/property/balgowlah/house-12,realestateview.com.au
"From $1,364,929",1364929.0,"435 James St, Balgowlah NSW 2020",Balgowlah,3,2,0,Townhouse,https://www.rent.com.au/property/balgowlah/townhouse-13,rent.com.au
"Guide $2,207,976",2207976.0,"32 The Boulevarde, Balgowlah NSW 2928",Balgowlah,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/balgowlah/apartment--unit--flat-14,realestate.com.au
"Guide $743,608",743608.0,"908 Edward St, Balgowlah NSW 2924",Balgowlah,3,4,0,House,https://www.rent.com.au/property/balgowlah/house-16,rent.com.au
"$2,066,974 ONO",2066974.0,"646 Market St, Balgowlah NSW 2343",Balgowlah,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balgowlah/apartment--unit--flat-17,realestateview.com.au
"Guide $1,857,052",1857052.0,"2 Princes Highway, Balgowlah NSW 2824",Balgowlah,1,2,2,Townhouse,https://www.realestate.com.au/property/balgowlah/townhouse-18,realestate.com.au
"$1,224,489 - $1,451,601",1224489.0,"620 George St, Balgowlah NSW 2767",Balgowlah,4,3,1,Townhouse,https://www.domain.com.au/property/balgowlah/townhouse-19,domain.com.au
"Guide $1,898,881",1898881.0,"662 Beach Rd, Balgowlah NSW 2191",Balgowlah,0,1,4,Studio,https://www.domain.com.au/property/balgowlah/studio-20,domain.com.au
"From $607,074",607074.0,"798 Queen St, Balgowlah NSW 2839",Balgowlah,3,2,2,Townhouse,https://www.realestate.com.au/property/balgowlah/townhouse-21,realestate.com.au
"$1,658,839 - $1,750,220",1658839.0,"451 Victoria St, Balgowlah NSW 2860",Balgowlah,2,3,2,Villa,https://www.realestate.com.au/property/balgowlah/villa-23,realestate.com.au
"$2,354,207 - $2,574,635",2354207.0,"586 Queen St, Balgowlah NSW 2252",Balgowlah,0,1,1,Studio,https://www.realestate.com.au/property/balgowlah/studio-24,realestate.com.au
