price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,589,593",1589593.0,"364 The Boulevarde, Balgowlah Heights NSW 2564",Balgowlah Heights,3,2,4,Villa,https://www.realestate.com.au/property/balgowlah-heights/villa-0,realestate.com.au
"$1,640,489 - $1,718,776",1640489.0,"55 Elizabeth St, Balgowlah Heights NSW 2220",Balgowlah Heights,2,1,1,Villa,https://www.realestateview.com.au/property/balgowlah-heights/villa-1,realestateview.com.au
"From $862,522",862522.0,"918 High St, Balgowlah Heights NSW 2962",Balgowlah Heights,4,1,4,Townhouse,https://www.rent.com.au/property/balgowlah-heights/townhouse-2,rent.com.au
"$2,210,066 - $2,304,103",2210066.0,"560 Albert St, Balgowlah Heights NSW 2759",Balgowlah Heights,4,1,1,Townhouse,https://www.realestateview.com.au/property/balgowlah-heights/townhouse-4,realestateview.com.au
"$1,462,749 ONO",1462749.0,"954 Market St, Balgowlah Heights NSW 2132",Balgowlah Heights,2,2,1,Villa,https://www.realestate.com.au/property/balgowlah-heights/villa-5,realestate.com.au
"From $1,946,883",1946883.0,"979 Railway St, Balgowlah Heights NSW 2463",Balgowlah Heights,0,1,1,Studio,https://www.realestateview.com.au/property/balgowlah-heights/studio-6,realestateview.com.au
"From $860,646",860646.0,"985 Military Rd, Balgowlah Heights NSW 2410",Balgowlah Heights,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/balgowlah-heights/apartment--unit--flat-7,domain.com.au
"$1,535,614",1535614.0,"334 Church St, Balgowlah Heights NSW 2084",Balgowlah Heights,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/balgowlah-heights/apartment--unit--flat-8,domain.com.au
"$819,078 ONO",819078.0,"139 Ocean Rd, Balgowlah Heights NSW 2157",Balgowlah Heights,3,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/balgowlah-heights/apartment--unit--flat-10,realestate.com.au
"From $1,999,135",1999135.0,"422 Park Ave, Balgowlah Heights NSW 2991",Balgowlah Heights,3,3,1,House,https://www.domain.com.au/property/balgowlah-heights/house-11,domain.com.au
"From $1,418,427",1418427.0,"276 Albert St, Balgowlah Heights NSW 2679",Balgowlah Heights,3,3,1,Penthouse,https://www.rent.com.au/property/balgowlah-heights/penthouse-12,rent.com.au
"$1,967,815 - $2,031,297",1967815.0,"151 Albert St, Balgowlah Heights NSW 2670",Balgowlah Heights,5,1,3,Townhouse,https://www.realestate.com.au/property/balgowlah-heights/townhouse-13,realestate.com.au
"$828,890",828890.0,"445 Princes Highway, Balgowlah Heights NSW 2029",Balgowlah Heights,0,1,0,Studio,https://www.realestateview.com.au/property/balgowlah-heights/studio-14,realestateview.com.au
"From $1,261,058",1261058.0,"576 Beach Rd, Balgowlah Heights NSW 2853",Balgowlah Heights,1,2,2,Townhouse,https://www.domain.com.au/property/balgowlah-heights/townhouse-15,domain.com.au
"Guide $1,589,178",1589178.0,"26 Elizabeth St, Balgowlah Heights NSW 2638",Balgowlah Heights,5,2,3,Penthouse,https://www.domain.com.au/property/balgowlah-heights/penthouse-16,domain.com.au
"Guide $1,595,480",1595480.0,"441 Railway St, Balgowlah Heights NSW 2243",Balgowlah Heights,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/balgowlah-heights/apartment--unit--flat-17,rent.com.au
"Guide $1,861,709",1861709.0,"596 Military Rd, Balgowlah Heights NSW 2766",Balgowlah Heights,2,3,1,House,https://www.rent.com.au/property/balgowlah-heights/house-18,rent.com.au
"From $2,134,040",2134040.0,"718 Railway St, Balgowlah Heights NSW 2324",Balgowlah Heights,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balgowlah-heights/apartment--unit--flat-19,realestateview.com.au
"$654,116 ONO",654116.0,"218 The Boulevarde, Balgowlah Heights NSW 2788",Balgowlah Heights,6,3,1,Penthouse,https://www.realestateview.com.au/property/balgowlah-heights/penthouse-20,realestateview.com.au
"From $1,722,587",1722587.0,"748 Church St, Balgowlah Heights NSW 2187",Balgowlah Heights,2,2,0,Townhouse,https://www.realestate.com.au/property/balgowlah-heights/townhouse-21,realestate.com.au
"From $1,970,941",1970941.0,"392 King St, Balgowlah Heights NSW 2172",Balgowlah Heights,0,1,0,Studio,https://www.realestateview.com.au/property/balgowlah-heights/studio-22,realestateview.com.au
"Guide $1,957,436",1957436.0,"167 Edward St, Balgowlah Heights NSW 2916",Balgowlah Heights,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balgowlah-heights/apartment--unit--flat-24,realestateview.com.au
