price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,557,780 ONO",1557780.0,"559 Church St, Balmain NSW 2170",Balmain,3,2,0,Townhouse,https://www.realestateview.com.au/property/balmain/townhouse-0,realestateview.com.au
"Guide $552,276",552276.0,"837 Princes Highway, Balmain NSW 2042",Balmain,0,1,1,Studio,https://www.rent.com.au/property/balmain/studio-1,rent.com.au
"From $2,429,114",2429114.0,"196 Queen St, Balmain NSW 2603",Balmain,2,3,1,House,https://www.realestateview.com.au/property/balmain/house-2,realestateview.com.au
"$601,002",601002.0,"698 Park Ave, Balmain NSW 2133",Balmain,0,1,1,Studio,https://www.rent.com.au/property/balmain/studio-4,rent.com.au
"$2,149,483",2149483.0,"539 Victoria St, Balmain NSW 2940",Balmain,6,4,1,Penthouse,https://www.realestateview.com.au/property/balmain/penthouse-5,realestateview.com.au
"$571,776 ONO",571776.0,"76 Elizabeth St, Balmain NSW 2469",Balmain,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/balmain/apartment--unit--flat-6,realestate.com.au
"From $1,152,267",1152267.0,"355 Market St, Balmain NSW 2478",Balmain,2,2,0,House,https://www.rent.com.au/property/balmain/house-7,rent.com.au
"Guide $2,223,484",2223484.0,"613 Church St, Balmain NSW 2389",Balmain,6,4,0,Penthouse,https://www.realestate.com.au/property/balmain/penthouse-8,realestate.com.au
"From $2,155,368",2155368.0,"253 William St, Balmain NSW 2724",Balmain,3,4,0,Townhouse,https://www.realestateview.com.au/property/balmain/townhouse-9,realestateview.com.au
"Guide $569,744",569744.0,"565 King St, Balmain NSW 2565",Balmain,5,4,1,Penthouse,https://www.realestate.com.au/property/balmain/penthouse-10,realestate.com.au
"From $1,081,767",1081767.0,"487 George St, Balmain NSW 2785",Balmain,4,3,0,House,https://www.realestateview.com.au/property/balmain/house-12,realestateview.com.au
"$1,573,276 ONO",1573276.0,"545 Main St, Balmain NSW 2453",Balmain,2,1,1,Villa,https://www.domain.com.au/property/balmain/villa-13,domain.com.au
"$828,041 - $1,021,627",828041.0,"82 Pacific Highway, Balmain NSW 2382",Balmain,6,3,0,Villa,https://www.domain.com.au/property/balmain/villa-14,domain.com.au
"$1,126,129 - $1,307,216",1126129.0,"486 Albert St, Balmain NSW 2727",Balmain,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/balmain/apartment--unit--flat-15,rent.com.au
"From $1,598,720",1598720.0,"226 Church St, Balmain NSW 2920",Balmain,0,1,3,Studio,https://www.domain.com.au/property/balmain/studio-16,domain.com.au
"Guide $891,150",891150.0,"940 Queen St, Balmain NSW 2692",Balmain,0,1,2,Studio,https://www.domain.com.au/property/balmain/studio-17,domain.com.au
"Guide $557,349",557349.0,"389 Beach Rd, Balmain NSW 2910",Balmain,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/balmain/apartment--unit--flat-18,domain.com.au
"$681,888 - $852,077",681888.0,"400 Edward St, Balmain NSW 2783",Balmain,1,1,0,House,https://www.domain.com.au/property/balmain/house-19,domain.com.au
"$1,386,615 ONO",1386615.0,"365 Market St, Balmain NSW 2569",Balmain,1,2,1,Villa,https://www.realestate.com.au/property/balmain/villa-20,realestate.com.au
"$2,434,442",2434442.0,"149 Victoria St, Balmain NSW 2505",Balmain,3,1,2,House,https://www.domain.com.au/property/balmain/house-21,domain.com.au
"$1,356,749",1356749.0,"230 Pacific Highway, Balmain NSW 2770",Balmain,3,1,2,House,https://www.realestateview.com.au/property/balmain/house-22,realestateview.com.au
"Guide $1,891,873",1891873.0,"118 Market St, Balmain NSW 2832",Balmain,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balmain/apartment--unit--flat-23,realestateview.com.au
"$929,946",929946.0,"737 Queen St, Balmain NSW 2130",Balmain,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/balmain/apartment--unit--flat-24,domain.com.au
