price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,727,732",1727732.0,"419 Park Ave, Balmoral NSW 2613",Balmoral,2,1,0,Villa,https://www.realestateview.com.au/property/balmoral/villa-0,realestateview.com.au
"$785,790",785790.0,"518 King St, Balmoral NSW 2589",Balmoral,5,3,3,Townhouse,https://www.realestate.com.au/property/balmoral/townhouse-1,realestate.com.au
"Guide $575,619",575619.0,"534 Princes Highway, Balmoral NSW 2520",Balmoral,3,2,0,Villa,https://www.realestateview.com.au/property/balmoral/villa-2,realestateview.com.au
"Guide $2,032,539",2032539.0,"665 Victoria St, Balmoral NSW 2635",Balmoral,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/balmoral/apartment--unit--flat-3,domain.com.au
"Guide $1,299,393",1299393.0,"511 Military Rd, Balmoral NSW 2334",Balmoral,3,4,2,House,https://www.realestateview.com.au/property/balmoral/house-4,realestateview.com.au
"$1,995,324",1995324.0,"831 Pacific Highway, Balmoral NSW 2538",Balmoral,1,1,2,House,https://www.rent.com.au/property/balmoral/house-5,rent.com.au
"$1,026,938 ONO",1026938.0,"189 King St, Balmoral NSW 2873",Balmoral,2,2,3,Villa,https://www.domain.com.au/property/balmoral/villa-6,domain.com.au
"$2,106,593",2106593.0,"208 Military Rd, Balmoral NSW 2440",Balmoral,0,1,0,Studio,https://www.rent.com.au/property/balmoral/studio-7,rent.com.au
"$1,857,470",1857470.0,"820 Victoria St, Balmoral NSW 2564",Balmoral,5,4,1,Penthouse,https://www.rent.com.au/property/balmoral/penthouse-9,rent.com.au
"From $2,240,350",2240350.0,"289 Railway St, Balmoral NSW 2215",Balmoral,6,2,0,Penthouse,https://www.realestateview.com.au/property/balmoral/penthouse-10,realestateview.com.au
"$614,056 - $665,649",614056.0,"932 Princes Highway, Balmoral NSW 2140",Balmoral,3,2,2,Townhouse,https://www.domain.com.au/property/balmoral/townhouse-11,domain.com.au
"From $534,082",534082.0,"629 Albert St, Balmoral NSW 2360",Balmoral,4,4,3,Penthouse,https://www.domain.com.au/property/balmoral/penthouse-12,domain.com.au
"$751,223 ONO",751223.0,"393 Market St, Balmoral NSW 2804",Balmoral,2,3,3,Villa,https://www.realestate.com.au/property/balmoral/villa-13,realestate.com.au
"$1,951,833 - $2,005,294",1951833.0,"97 Beach Rd, Balmoral NSW 2790",Balmoral,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/balmoral/apartment--unit--flat-14,realestateview.com.au
"$850,228",850228.0,"951 Ocean Rd, Balmoral NSW 2287",Balmoral,3,4,3,Villa,https://www.rent.com.au/property/balmoral/villa-15,rent.com.au
"$584,649 ONO",584649.0,"535 Elizabeth St, Balmoral NSW 2718",Balmoral,3,3,0,Villa,https://www.rent.com.au/property/balmoral/villa-16,rent.com.au
"$1,013,144 - $1,244,500",1013144.0,"873 Albert St, Balmoral NSW 2534",Balmoral,1,1,1,House,https://www.realestate.com.au/property/balmoral/house-18,realestate.com.au
"$676,436 ONO",676436.0,"232 James St, Balmoral NSW 2886",Balmoral,4,4,1,Townhouse,https://www.realestate.com.au/property/balmoral/townhouse-19,realestate.com.au
"$1,643,390 - $1,746,766",1643390.0,"322 Albert St, Balmoral NSW 2509",Balmoral,3,4,1,Villa,https://www.realestateview.com.au/property/balmoral/villa-20,realestateview.com.au
"$2,136,012 - $2,285,027",2136012.0,"852 George St, Balmoral NSW 2590",Balmoral,2,2,1,House,https://www.realestate.com.au/property/balmoral/house-21,realestate.com.au
"Guide $1,337,003",1337003.0,"262 William St, Balmoral NSW 2067",Balmoral,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/balmoral/apartment--unit--flat-22,realestate.com.au
"$1,594,887 - $1,725,341",1594887.0,"502 The Boulevarde, Balmoral NSW 2852",Balmoral,2,3,2,House,https://www.realestateview.com.au/property/balmoral/house-23,realestateview.com.au
"$2,454,939 - $2,545,558",2454939.0,"857 Princes Highway, Balmoral NSW 2264",Balmoral,3,4,0,Penthouse,https://www.rent.com.au/property/balmoral/penthouse-24,rent.com.au
