price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$997,618",997618.0,"552 The Boulevarde, Bangor NSW 2746",Bangor,4,4,4,House,https://www.realestateview.com.au/property/bangor/house-0,realestateview.com.au
"$1,117,896 - $1,219,775",1117896.0,"865 The Boulevarde, Bangor NSW 2333",Bangor,1,1,3,Villa,https://www.rent.com.au/property/bangor/villa-1,rent.com.au
"$1,042,004",1042004.0,"358 Elizabeth St, Bangor NSW 2126",Bangor,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/bangor/apartment--unit--flat-2,rent.com.au
"Guide $2,162,154",2162154.0,"667 Main St, Bangor NSW 2461",Bangor,0,1,1,Studio,https://www.realestateview.com.au/property/bangor/studio-4,realestateview.com.au
"$849,087 ONO",849087.0,"340 Victoria St, Bangor NSW 2283",Bangor,4,3,1,House,https://www.realestateview.com.au/property/bangor/house-5,realestateview.com.au
"$1,972,691",1972691.0,"551 Railway St, Bangor NSW 2634",Bangor,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bangor/apartment--unit--flat-6,domain.com.au
"Guide $1,313,830",1313830.0,"792 Church St, Bangor NSW 2056",Bangor,5,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bangor/apartment--unit--flat-7,realestateview.com.au
"Guide $722,285",722285.0,"28 Queen St, Bangor NSW 2132",Bangor,6,4,3,Penthouse,https://www.realestateview.com.au/property/bangor/penthouse-8,realestateview.com.au
"$1,086,661 - $1,201,878",1086661.0,"860 Victoria St, Bangor NSW 2556",Bangor,0,1,2,Studio,https://www.rent.com.au/property/bangor/studio-9,rent.com.au
"From $1,305,476",1305476.0,"152 James St, Bangor NSW 2114",Bangor,4,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/bangor/apartment--unit--flat-10,rent.com.au
"$1,227,792 - $1,437,244",1227792.0,"36 William St, Bangor NSW 2828",Bangor,4,4,2,House,https://www.realestate.com.au/property/bangor/house-11,realestate.com.au
"$1,506,885",1506885.0,"619 Edward St, Bangor NSW 2071",Bangor,0,1,2,Studio,https://www.rent.com.au/property/bangor/studio-12,rent.com.au
"$1,068,615",1068615.0,"240 Albert St, Bangor NSW 2698",Bangor,2,1,2,House,https://www.realestate.com.au/property/bangor/house-13,realestate.com.au
"$1,393,914 - $1,528,922",1393914.0,"695 James St, Bangor NSW 2385",Bangor,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bangor/apartment--unit--flat-14,rent.com.au
"$954,386 ONO",954386.0,"514 Edward St, Bangor NSW 2668",Bangor,2,1,3,House,https://www.rent.com.au/property/bangor/house-15,rent.com.au
"$1,924,763 - $2,172,166",1924763.0,"312 The Boulevarde, Bangor NSW 2428",Bangor,3,4,0,House,https://www.realestateview.com.au/property/bangor/house-16,realestateview.com.au
"Guide $1,150,177",1150177.0,"904 Edward St, Bangor NSW 2840",Bangor,1,1,0,House,https://www.domain.com.au/property/bangor/house-17,domain.com.au
"Guide $1,689,114",1689114.0,"291 Victoria St, Bangor NSW 2056",Bangor,6,2,4,Penthouse,https://www.realestateview.com.au/property/bangor/penthouse-18,realestateview.com.au
"$2,400,199",2400199.0,"49 Main St, Bangor NSW 2710",Bangor,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/bangor/apartment--unit--flat-19,domain.com.au
"$1,763,837 - $2,017,451",1763837.0,"977 The Boulevarde, Bangor NSW 2820",Bangor,2,3,1,House,https://www.rent.com.au/property/bangor/house-20,rent.com.au
"$2,158,161",2158161.0,"8 Main St, Bangor NSW 2119",Bangor,3,4,2,Villa,https://www.realestate.com.au/property/bangor/villa-21,realestate.com.au
"Guide $1,520,259",1520259.0,"915 George St, Bangor NSW 2521",Bangor,3,1,1,House,https://www.realestateview.com.au/property/bangor/house-22,realestateview.com.au
"From $1,243,230",1243230.0,"238 William St, Bangor NSW 2379",Bangor,3,1,2,Townhouse,https://www.realestate.com.au/property/bangor/townhouse-23,realestate.com.au
"$2,286,925",2286925.0,"344 Church St, Bangor NSW 2529",Bangor,3,2,0,Townhouse,https://www.domain.com.au/property/bangor/townhouse-24,domain.com.au
