price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,155,019",1155019.0,"799 High St, Bardwell Park NSW 2654",Bardwell Park,2,1,3,Villa,https://www.realestate.com.au/property/bardwell-park/villa-0,realestate.com.au
"From $612,263",612263.0,"451 Queen St, Bardwell Park NSW 2854",Bardwell Park,2,3,1,Townhouse,https://www.domain.com.au/property/bardwell-park/townhouse-1,domain.com.au
"$1,560,172",1560172.0,"851 Albert St, Bardwell Park NSW 2823",Bardwell Park,0,1,3,Studio,https://www.realestate.com.au/property/bardwell-park/studio-2,realestate.com.au
"From $2,497,312",2497312.0,"235 Queen St, Bardwell Park NSW 2559",Bardwell Park,5,4,1,House,https://www.domain.com.au/property/bardwell-park/house-3,domain.com.au
"Guide $1,931,190",1931190.0,"213 Pacific Highway, Bardwell Park NSW 2429",Bardwell Park,5,2,1,House,https://www.realestate.com.au/property/bardwell-park/house-4,realestate.com.au
"$1,240,175 - $1,301,885",1240175.0,"833 Park Ave, Bardwell Park NSW 2021",Bardwell Park,4,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/bardwell-park/apartment--unit--flat-5,rent.com.au
"$2,410,534 ONO",2410534.0,"140 The Boulevarde, Bardwell Park NSW 2002",Bardwell Park,4,2,3,Villa,https://www.domain.com.au/property/bardwell-park/villa-6,domain.com.au
"Guide $1,655,023",1655023.0,"872 Railway St, Bardwell Park NSW 2007",Bardwell Park,3,3,1,Townhouse,https://www.realestate.com.au/property/bardwell-park/townhouse-7,realestate.com.au
"$664,511 ONO",664511.0,"923 Albert St, Bardwell Park NSW 2037",Bardwell Park,5,2,0,Penthouse,https://www.domain.com.au/property/bardwell-park/penthouse-8,domain.com.au
"$1,721,652 - $1,891,096",1721652.0,"732 Ocean Rd, Bardwell Park NSW 2317",Bardwell Park,3,4,2,Penthouse,https://www.realestateview.com.au/property/bardwell-park/penthouse-9,realestateview.com.au
"$727,834 ONO",727834.0,"735 Church St, Bardwell Park NSW 2659",Bardwell Park,4,2,3,Townhouse,https://www.realestate.com.au/property/bardwell-park/townhouse-10,realestate.com.au
"$1,355,789 ONO",1355789.0,"733 Victoria St, Bardwell Park NSW 2763",Bardwell Park,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bardwell-park/apartment--unit--flat-12,realestateview.com.au
"$1,632,831",1632831.0,"338 Princes Highway, Bardwell Park NSW 2433",Bardwell Park,5,4,1,Villa,https://www.rent.com.au/property/bardwell-park/villa-13,rent.com.au
"$2,271,543 ONO",2271543.0,"315 Ocean Rd, Bardwell Park NSW 2374",Bardwell Park,6,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/bardwell-park/apartment--unit--flat-14,rent.com.au
"Guide $1,172,972",1172972.0,"672 Market St, Bardwell Park NSW 2163",Bardwell Park,2,1,1,Villa,https://www.rent.com.au/property/bardwell-park/villa-15,rent.com.au
"From $697,710",697710.0,"680 Princes Highway, Bardwell Park NSW 2778",Bardwell Park,3,2,0,House,https://www.domain.com.au/property/bardwell-park/house-16,domain.com.au
"$2,298,525",2298525.0,"353 Queen St, Bardwell Park NSW 2436",Bardwell Park,1,2,2,Townhouse,https://www.realestate.com.au/property/bardwell-park/townhouse-17,realestate.com.au
"Guide $1,720,174",1720174.0,"371 Queen St, Bardwell Park NSW 2008",Bardwell Park,3,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bardwell-park/apartment--unit--flat-18,realestateview.com.au
"From $962,141",962141.0,"44 Market St, Bardwell Park NSW 2330",Bardwell Park,4,2,2,House,https://www.rent.com.au/property/bardwell-park/house-19,rent.com.au
"$2,481,165 ONO",2481165.0,"295 Military Rd, Bardwell Park NSW 2297",Bardwell Park,3,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/bardwell-park/apartment--unit--flat-20,rent.com.au
"Guide $977,887",977887.0,"324 William St, Bardwell Park NSW 2303",Bardwell Park,1,2,1,House,https://www.realestate.com.au/property/bardwell-park/house-21,realestate.com.au
"$1,682,314 ONO",1682314.0,"590 Elizabeth St, Bardwell Park NSW 2370",Bardwell Park,3,4,3,Villa,https://www.realestateview.com.au/property/bardwell-park/villa-22,realestateview.com.au
"From $2,170,192",2170192.0,"334 Ocean Rd, Bardwell Park NSW 2654",Bardwell Park,0,1,0,Studio,https://www.realestate.com.au/property/bardwell-park/studio-23,realestate.com.au
"$1,162,196",1162196.0,"535 James St, Bardwell Park NSW 2139",Bardwell Park,0,1,0,Studio,https://www.rent.com.au/property/bardwell-park/studio-24,rent.com.au
