price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,190,178 ONO",1190178.0,"876 Princes Highway, Bardwell Valley NSW 2735",Bardwell Valley,2,2,0,Villa,https://www.domain.com.au/property/bardwell-valley/villa-0,domain.com.au
"$2,386,050",2386050.0,"612 Church St, Bardwell Valley NSW 2524",Bardwell Valley,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/bardwell-valley/apartment--unit--flat-1,realestate.com.au
"$1,174,465 - $1,442,613",1174465.0,"493 King St, Bardwell Valley NSW 2433",Bardwell Valley,2,1,2,Townhouse,https://www.rent.com.au/property/bardwell-valley/townhouse-2,rent.com.au
"$1,060,948 - $1,287,412",1060948.0,"169 George St, Bardwell Valley NSW 2116",Bardwell Valley,0,1,1,Studio,https://www.realestateview.com.au/property/bardwell-valley/studio-3,realestateview.com.au
"From $1,602,080",1602080.0,"246 Victoria St, Bardwell Valley NSW 2031",Bardwell Valley,2,3,2,Villa,https://www.domain.com.au/property/bardwell-valley/villa-4,domain.com.au
"$1,098,342 ONO",1098342.0,"582 Edward St, Bardwell Valley NSW 2485",Bardwell Valley,3,2,1,Villa,https://www.domain.com.au/property/bardwell-valley/villa-5,domain.com.au
"From $1,199,344",1199344.0,"128 Military Rd, Bardwell Valley NSW 2406",Bardwell Valley,6,4,1,Penthouse,https://www.realestateview.com.au/property/bardwell-valley/penthouse-6,realestateview.com.au
"Guide $2,164,721",2164721.0,"632 King St, Bardwell Valley NSW 2475",Bardwell Valley,3,2,1,Penthouse,https://www.rent.com.au/property/bardwell-valley/penthouse-7,rent.com.au
"Guide $1,450,006",1450006.0,"301 George St, Bardwell Valley NSW 2007",Bardwell Valley,6,3,2,Penthouse,https://www.domain.com.au/property/bardwell-valley/penthouse-8,domain.com.au
"$2,206,653",2206653.0,"241 Ocean Rd, Bardwell Valley NSW 2328",Bardwell Valley,4,3,2,Townhouse,https://www.realestate.com.au/property/bardwell-valley/townhouse-9,realestate.com.au
"$705,832 ONO",705832.0,"63 Victoria St, Bardwell Valley NSW 2856",Bardwell Valley,0,1,0,Studio,https://www.rent.com.au/property/bardwell-valley/studio-11,rent.com.au
