price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$868,493 ONO",868493.0,"778 The Boulevarde, Baulkham Hills NSW 2337",Baulkham Hills,4,4,1,Townhouse,https://www.realestateview.com.au/property/baulkham-hills/townhouse-0,realestateview.com.au
"$1,601,433 ONO",1601433.0,"27 The Boulevarde, Baulkham Hills NSW 2675",Baulkham Hills,3,1,3,Townhouse,https://www.realestate.com.au/property/baulkham-hills/townhouse-1,realestate.com.au
"$1,051,554 - $1,113,452",1051554.0,"937 Ocean Rd, Baulkham Hills NSW 2504",Baulkham Hills,0,1,1,Studio,https://www.rent.com.au/property/baulkham-hills/studio-2,rent.com.au
"$1,844,836 - $2,086,410",1844836.0,"522 Ocean Rd, Baulkham Hills NSW 2508",Baulkham Hills,3,2,1,Villa,https://www.realestateview.com.au/property/baulkham-hills/villa-3,realestateview.com.au
"$1,385,011 - $1,452,772",1385011.0,"135 Market St, Baulkham Hills NSW 2482",Baulkham Hills,3,1,1,House,https://www.rent.com.au/property/baulkham-hills/house-5,rent.com.au
"$1,988,856 ONO",1988856.0,"341 Church St, Baulkham Hills NSW 2545",Baulkham Hills,0,1,1,Studio,https://www.rent.com.au/property/baulkham-hills/studio-6,rent.com.au
"From $717,110",717110.0,"558 Park Ave, Baulkham Hills NSW 2345",Baulkham Hills,4,3,2,Villa,https://www.realestate.com.au/property/baulkham-hills/villa-7,realestate.com.au
"$1,517,698 - $1,671,517",1517698.0,"346 Railway St, Baulkham Hills NSW 2863",Baulkham Hills,3,4,1,House,https://www.domain.com.au/property/baulkham-hills/house-8,domain.com.au
"$1,902,009 ONO",1902009.0,"230 Queen St, Baulkham Hills NSW 2881",Baulkham Hills,3,4,2,House,https://www.domain.com.au/property/baulkham-hills/house-9,domain.com.au
"From $2,177,289",2177289.0,"126 James St, Baulkham Hills NSW 2357",Baulkham Hills,0,1,1,Studio,https://www.realestateview.com.au/property/baulkham-hills/studio-10,realestateview.com.au
"Guide $2,496,246",2496246.0,"627 Queen St, Baulkham Hills NSW 2449",Baulkham Hills,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/baulkham-hills/apartment--unit--flat-12,realestateview.com.au
"$776,558 - $899,896",776558.0,"357 Railway St, Baulkham Hills NSW 2064",Baulkham Hills,3,4,0,House,https://www.domain.com.au/property/baulkham-hills/house-13,domain.com.au
"$2,015,678 ONO",2015678.0,"452 The Boulevarde, Baulkham Hills NSW 2098",Baulkham Hills,6,2,3,Penthouse,https://www.domain.com.au/property/baulkham-hills/penthouse-14,domain.com.au
"From $1,485,402",1485402.0,"773 Pacific Highway, Baulkham Hills NSW 2021",Baulkham Hills,3,2,1,House,https://www.realestate.com.au/property/baulkham-hills/house-15,realestate.com.au
"$1,624,408 - $1,882,188",1624408.0,"465 Pacific Highway, Baulkham Hills NSW 2094",Baulkham Hills,3,2,2,Villa,https://www.realestate.com.au/property/baulkham-hills/villa-16,realestate.com.au
"Guide $2,092,768",2092768.0,"335 Market St, Baulkham Hills NSW 2772",Baulkham Hills,3,4,1,Villa,https://www.rent.com.au/property/baulkham-hills/villa-17,rent.com.au
"$873,790 ONO",873790.0,"342 Queen St, Baulkham Hills NSW 2585",Baulkham Hills,2,1,2,House,https://www.realestate.com.au/property/baulkham-hills/house-18,realestate.com.au
"$2,044,633",2044633.0,"173 Victoria St, Baulkham Hills NSW 2125",Baulkham Hills,1,1,3,Townhouse,https://www.realestateview.com.au/property/baulkham-hills/townhouse-19,realestateview.com.au
"$1,722,272 - $1,865,469",1722272.0,"5 Princes Highway, Baulkham Hills NSW 2882",Baulkham Hills,4,3,0,Penthouse,https://www.domain.com.au/property/baulkham-hills/penthouse-20,domain.com.au
"$1,895,791 ONO",1895791.0,"558 Military Rd, Baulkham Hills NSW 2468",Baulkham Hills,2,2,2,Townhouse,https://www.domain.com.au/property/baulkham-hills/townhouse-21,domain.com.au
"$1,534,174 ONO",1534174.0,"156 Queen St, Baulkham Hills NSW 2431",Baulkham Hills,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/baulkham-hills/apartment--unit--flat-23,realestateview.com.au
"From $1,772,528",1772528.0,"693 The Boulevarde, Baulkham Hills NSW 2574",Baulkham Hills,3,3,2,Penthouse,https://www.rent.com.au/property/baulkham-hills/penthouse-24,rent.com.au
