price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,379,160",1379160.0,"795 Princes Highway, Bayview NSW 2157",Bayview,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bayview/apartment--unit--flat-0,domain.com.au
"$2,278,042 ONO",2278042.0,"472 Queen St, Bayview NSW 2450",Bayview,2,2,2,Villa,https://www.realestateview.com.au/property/bayview/villa-1,realestateview.com.au
"From $2,161,482",2161482.0,"868 James St, Bayview NSW 2904",Bayview,4,3,0,House,https://www.rent.com.au/property/bayview/house-3,rent.com.au
"$1,027,613 ONO",1027613.0,"232 George St, Bayview NSW 2053",Bayview,2,3,2,Townhouse,https://www.rent.com.au/property/bayview/townhouse-4,rent.com.au
"Guide $1,344,811",1344811.0,"734 George St, Bayview NSW 2193",Bayview,1,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bayview/apartment--unit--flat-5,domain.com.au
"$1,347,312",1347312.0,"167 Albert St, Bayview NSW 2215",Bayview,4,1,2,Townhouse,https://www.domain.com.au/property/bayview/townhouse-6,domain.com.au
"Guide $1,439,146",1439146.0,"443 Park Ave, Bayview NSW 2724",Bayview,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/bayview/apartment--unit--flat-7,realestate.com.au
"From $983,214",983214.0,"278 Beach Rd, Bayview NSW 2694",Bayview,4,4,1,Villa,https://www.realestateview.com.au/property/bayview/villa-8,realestateview.com.au
"$660,995 - $885,129",660995.0,"279 Queen St, Bayview NSW 2976",Bayview,4,1,2,Townhouse,https://www.realestateview.com.au/property/bayview/townhouse-9,realestateview.com.au
"$2,347,896 ONO",2347896.0,"993 Pacific Highway, Bayview NSW 2768",Bayview,3,4,1,Villa,https://www.rent.com.au/property/bayview/villa-10,rent.com.au
"$2,463,885 - $2,591,065",2463885.0,"321 Elizabeth St, Bayview NSW 2443",Bayview,4,4,0,House,https://www.rent.com.au/property/bayview/house-11,rent.com.au
"Guide $1,867,992",1867992.0,"181 Military Rd, Bayview NSW 2109",Bayview,2,1,2,House,https://www.rent.com.au/property/bayview/house-12,rent.com.au
"From $2,346,973",2346973.0,"815 Albert St, Bayview NSW 2735",Bayview,5,3,0,House,https://www.realestate.com.au/property/bayview/house-13,realestate.com.au
"$1,614,947 ONO",1614947.0,"567 Queen St, Bayview NSW 2263",Bayview,1,2,2,Villa,https://www.realestateview.com.au/property/bayview/villa-14,realestateview.com.au
"Guide $1,960,907",1960907.0,"547 Church St, Bayview NSW 2352",Bayview,4,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bayview/apartment--unit--flat-15,realestate.com.au
"From $1,460,199",1460199.0,"583 Main St, Bayview NSW 2018",Bayview,2,2,0,Townhouse,https://www.realestateview.com.au/property/bayview/townhouse-16,realestateview.com.au
"Guide $2,182,493",2182493.0,"571 Church St, Bayview NSW 2076",Bayview,0,1,0,Studio,https://www.realestateview.com.au/property/bayview/studio-17,realestateview.com.au
"$2,064,706 - $2,163,253",2064706.0,"859 King St, Bayview NSW 2765",Bayview,4,4,1,Villa,https://www.realestateview.com.au/property/bayview/villa-18,realestateview.com.au
"$1,219,604",1219604.0,"907 King St, Bayview NSW 2135",Bayview,3,2,2,Villa,https://www.domain.com.au/property/bayview/villa-19,domain.com.au
"Guide $718,017",718017.0,"26 Elizabeth St, Bayview NSW 2084",Bayview,0,1,1,Studio,https://www.realestateview.com.au/property/bayview/studio-20,realestateview.com.au
"$2,223,452",2223452.0,"433 Market St, Bayview NSW 2762",Bayview,0,1,2,Studio,https://www.rent.com.au/property/bayview/studio-21,rent.com.au
"$1,808,930 ONO",1808930.0,"847 Main St, Bayview NSW 2585",Bayview,2,2,0,House,https://www.rent.com.au/property/bayview/house-22,rent.com.au
"Guide $890,206",890206.0,"744 Edward St, Bayview NSW 2053",Bayview,0,1,4,Studio,https://www.rent.com.au/property/bayview/studio-23,rent.com.au
"$1,923,205 - $2,167,597",1923205.0,"311 Elizabeth St, Bayview NSW 2323",Bayview,0,1,1,Studio,https://www.realestateview.com.au/property/bayview/studio-24,realestateview.com.au
