price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$684,357 ONO",684357.0,"979 Albert St, Beaconsfield NSW 2382",Beaconsfield,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beaconsfield/apartment--unit--flat-0,realestateview.com.au
"$2,247,412 ONO",2247412.0,"420 James St, Beaconsfield NSW 2533",Beaconsfield,5,4,2,Penthouse,https://www.realestate.com.au/property/beaconsfield/penthouse-1,realestate.com.au
"$1,728,925",1728925.0,"686 William St, Beaconsfield NSW 2947",Beaconsfield,6,4,0,House,https://www.rent.com.au/property/beaconsfield/house-2,rent.com.au
"Guide $853,958",853958.0,"525 William St, Beaconsfield NSW 2562",Beaconsfield,3,3,2,Penthouse,https://www.realestateview.com.au/property/beaconsfield/penthouse-4,realestateview.com.au
"From $2,156,948",2156948.0,"299 Church St, Beaconsfield NSW 2603",Beaconsfield,3,2,0,Villa,https://www.rent.com.au/property/beaconsfield/villa-5,rent.com.au
"From $2,460,955",2460955.0,"510 Elizabeth St, Beaconsfield NSW 2058",Beaconsfield,6,4,2,Penthouse,https://www.domain.com.au/property/beaconsfield/penthouse-6,domain.com.au
"From $1,789,220",1789220.0,"508 Park Ave, Beaconsfield NSW 2886",Beaconsfield,5,3,2,Penthouse,https://www.rent.com.au/property/beaconsfield/penthouse-7,rent.com.au
"From $960,033",960033.0,"771 Military Rd, Beaconsfield NSW 2629",Beaconsfield,0,1,2,Studio,https://www.realestateview.com.au/property/beaconsfield/studio-8,realestateview.com.au
"$1,354,510",1354510.0,"870 Military Rd, Beaconsfield NSW 2593",Beaconsfield,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beaconsfield/apartment--unit--flat-9,realestateview.com.au
"From $1,783,962",1783962.0,"740 Military Rd, Beaconsfield NSW 2947",Beaconsfield,4,4,3,Penthouse,https://www.rent.com.au/property/beaconsfield/penthouse-10,rent.com.au
"From $590,391",590391.0,"799 Market St, Beaconsfield NSW 2042",Beaconsfield,0,1,3,Studio,https://www.realestateview.com.au/property/beaconsfield/studio-11,realestateview.com.au
"$947,603 - $1,030,012",947603.0,"285 Pacific Highway, Beaconsfield NSW 2212",Beaconsfield,4,3,1,Penthouse,https://www.realestateview.com.au/property/beaconsfield/penthouse-12,realestateview.com.au
"From $1,630,830",1630830.0,"419 King St, Beaconsfield NSW 2143",Beaconsfield,2,3,3,Villa,https://www.realestate.com.au/property/beaconsfield/villa-13,realestate.com.au
"Guide $2,008,719",2008719.0,"320 The Boulevarde, Beaconsfield NSW 2152",Beaconsfield,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/beaconsfield/apartment--unit--flat-14,rent.com.au
"Guide $2,220,701",2220701.0,"605 James St, Beaconsfield NSW 2822",Beaconsfield,4,3,2,Penthouse,https://www.domain.com.au/property/beaconsfield/penthouse-15,domain.com.au
"Guide $1,214,868",1214868.0,"937 William St, Beaconsfield NSW 2103",Beaconsfield,0,1,0,Studio,https://www.rent.com.au/property/beaconsfield/studio-16,rent.com.au
"$1,907,698 - $2,128,821",1907698.0,"978 Pacific Highway, Beaconsfield NSW 2911",Beaconsfield,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/beaconsfield/apartment--unit--flat-18,realestate.com.au
"$2,225,138 - $2,462,773",2225138.0,"708 Victoria St, Beaconsfield NSW 2854",Beaconsfield,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/beaconsfield/apartment--unit--flat-19,rent.com.au
"$1,676,045 ONO",1676045.0,"906 Market St, Beaconsfield NSW 2415",Beaconsfield,2,1,1,Villa,https://www.rent.com.au/property/beaconsfield/villa-20,rent.com.au
"From $1,563,579",1563579.0,"97 James St, Beaconsfield NSW 2119",Beaconsfield,5,4,1,Villa,https://www.realestateview.com.au/property/beaconsfield/villa-21,realestateview.com.au
"Guide $2,191,597",2191597.0,"828 Church St, Beaconsfield NSW 2007",Beaconsfield,2,1,1,Townhouse,https://www.rent.com.au/property/beaconsfield/townhouse-22,rent.com.au
"$2,372,461 ONO",2372461.0,"916 Market St, Beaconsfield NSW 2336",Beaconsfield,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/beaconsfield/apartment--unit--flat-24,rent.com.au
