price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,259,286 - $2,535,757",2259286.0,"78 George St, Beecroft NSW 2344",Beecroft,4,4,0,Townhouse,https://www.domain.com.au/property/beecroft/townhouse-0,domain.com.au
"$1,107,547",1107547.0,"121 Edward St, Beecroft NSW 2836",Beecroft,0,1,0,Studio,https://www.rent.com.au/property/beecroft/studio-1,rent.com.au
"From $1,951,482",1951482.0,"543 Ocean Rd, Beecroft NSW 2521",Beecroft,4,4,2,Villa,https://www.domain.com.au/property/beecroft/villa-3,domain.com.au
"$1,286,732 - $1,376,253",1286732.0,"128 William St, Beecroft NSW 2127",Beecroft,3,2,1,Penthouse,https://www.realestateview.com.au/property/beecroft/penthouse-4,realestateview.com.au
"From $2,000,454",2000454.0,"593 High St, Beecroft NSW 2219",Beecroft,2,3,1,Villa,https://www.rent.com.au/property/beecroft/villa-5,rent.com.au
"From $1,623,659",1623659.0,"869 Railway St, Beecroft NSW 2883",Beecroft,4,2,2,Townhouse,https://www.realestateview.com.au/property/beecroft/townhouse-6,realestateview.com.au
"From $1,317,074",1317074.0,"280 Princes Highway, Beecroft NSW 2311",Beecroft,2,2,2,Villa,https://www.rent.com.au/property/beecroft/villa-7,rent.com.au
"$2,242,099 ONO",2242099.0,"895 Princes Highway, Beecroft NSW 2209",Beecroft,3,3,1,Penthouse,https://www.domain.com.au/property/beecroft/penthouse-8,domain.com.au
"From $2,266,090",2266090.0,"910 Main St, Beecroft NSW 2025",Beecroft,5,1,3,House,https://www.realestateview.com.au/property/beecroft/house-9,realestateview.com.au
"$1,150,870 ONO",1150870.0,"571 Albert St, Beecroft NSW 2828",Beecroft,0,1,0,Studio,https://www.realestateview.com.au/property/beecroft/studio-10,realestateview.com.au
"$2,196,876 - $2,362,683",2196876.0,"139 James St, Beecroft NSW 2686",Beecroft,0,1,1,Studio,https://www.domain.com.au/property/beecroft/studio-11,domain.com.au
"From $2,194,226",2194226.0,"458 Pacific Highway, Beecroft NSW 2480",Beecroft,0,1,0,Studio,https://www.rent.com.au/property/beecroft/studio-12,rent.com.au
"$953,929 - $1,186,076",953929.0,"267 Queen St, Beecroft NSW 2835",Beecroft,4,4,0,Penthouse,https://www.realestate.com.au/property/beecroft/penthouse-13,realestate.com.au
"$1,078,510 ONO",1078510.0,"164 Queen St, Beecroft NSW 2883",Beecroft,0,1,0,Studio,https://www.realestate.com.au/property/beecroft/studio-15,realestate.com.au
"$1,293,731",1293731.0,"709 Victoria St, Beecroft NSW 2954",Beecroft,2,3,0,Townhouse,https://www.rent.com.au/property/beecroft/townhouse-16,rent.com.au
"$2,103,192 ONO",2103192.0,"504 Church St, Beecroft NSW 2899",Beecroft,4,1,1,Villa,https://www.realestate.com.au/property/beecroft/villa-17,realestate.com.au
"$812,451",812451.0,"962 Victoria St, Beecroft NSW 2007",Beecroft,6,3,2,Penthouse,https://www.realestateview.com.au/property/beecroft/penthouse-18,realestateview.com.au
"From $2,126,745",2126745.0,"331 Elizabeth St, Beecroft NSW 2767",Beecroft,4,3,1,Penthouse,https://www.domain.com.au/property/beecroft/penthouse-19,domain.com.au
"$1,903,697 - $2,014,169",1903697.0,"532 William St, Beecroft NSW 2806",Beecroft,3,1,0,Townhouse,https://www.domain.com.au/property/beecroft/townhouse-20,domain.com.au
"From $1,264,460",1264460.0,"73 Main St, Beecroft NSW 2949",Beecroft,6,3,0,Penthouse,https://www.realestateview.com.au/property/beecroft/penthouse-21,realestateview.com.au
"Guide $2,025,636",2025636.0,"601 King St, Beecroft NSW 2010",Beecroft,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/beecroft/apartment--unit--flat-22,rent.com.au
"$1,206,166 ONO",1206166.0,"194 William St, Beecroft NSW 2505",Beecroft,4,2,1,House,https://www.rent.com.au/property/beecroft/house-23,rent.com.au
"$1,648,783 ONO",1648783.0,"95 Beach Rd, Beecroft NSW 2833",Beecroft,5,4,0,Penthouse,https://www.realestateview.com.au/property/beecroft/penthouse-24,realestateview.com.au
