price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,167,485",2167485.0,"221 Ocean Rd, Bella Vista NSW 2024",Bella Vista,5,2,3,Penthouse,https://www.domain.com.au/property/bella-vista/penthouse-0,domain.com.au
"$876,550 ONO",876550.0,"466 Beach Rd, Bella Vista NSW 2852",Bella Vista,0,1,1,Studio,https://www.domain.com.au/property/bella-vista/studio-1,domain.com.au
"$1,000,823 - $1,186,383",1000823.0,"46 Park Ave, Bella Vista NSW 2298",Bella Vista,3,4,2,Villa,https://www.realestate.com.au/property/bella-vista/villa-2,realestate.com.au
"$1,125,375 - $1,390,541",1125375.0,"715 Victoria St, Bella Vista NSW 2455",Bella Vista,4,2,2,Penthouse,https://www.realestate.com.au/property/bella-vista/penthouse-4,realestate.com.au
"$1,428,540 - $1,566,254",1428540.0,"522 Edward St, Bella Vista NSW 2593",Bella Vista,2,3,1,Villa,https://www.realestate.com.au/property/bella-vista/villa-5,realestate.com.au
"$2,239,792 ONO",2239792.0,"963 Church St, Bella Vista NSW 2928",Bella Vista,3,2,1,Villa,https://www.realestateview.com.au/property/bella-vista/villa-6,realestateview.com.au
"$1,402,904 ONO",1402904.0,"339 Ocean Rd, Bella Vista NSW 2355",Bella Vista,3,2,3,Townhouse,https://www.realestateview.com.au/property/bella-vista/townhouse-7,realestateview.com.au
"From $1,015,351",1015351.0,"523 Albert St, Bella Vista NSW 2122",Bella Vista,4,4,3,Penthouse,https://www.realestate.com.au/property/bella-vista/penthouse-8,realestate.com.au
"Guide $661,301",661301.0,"640 Princes Highway, Bella Vista NSW 2563",Bella Vista,4,4,3,House,https://www.realestateview.com.au/property/bella-vista/house-9,realestateview.com.au
"$1,704,369 ONO",1704369.0,"373 Railway St, Bella Vista NSW 2872",Bella Vista,2,3,2,House,https://www.rent.com.au/property/bella-vista/house-10,rent.com.au
"$2,062,244 - $2,288,293",2062244.0,"973 Elizabeth St, Bella Vista NSW 2364",Bella Vista,3,2,0,Penthouse,https://www.domain.com.au/property/bella-vista/penthouse-11,domain.com.au
"$1,428,999 ONO",1428999.0,"84 Victoria St, Bella Vista NSW 2536",Bella Vista,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bella-vista/apartment--unit--flat-13,realestate.com.au
"$1,494,821",1494821.0,"263 Park Ave, Bella Vista NSW 2775",Bella Vista,1,1,0,House,https://www.realestate.com.au/property/bella-vista/house-14,realestate.com.au
"$2,313,945 - $2,485,998",2313945.0,"848 King St, Bella Vista NSW 2177",Bella Vista,0,1,1,Studio,https://www.realestateview.com.au/property/bella-vista/studio-15,realestateview.com.au
"$933,827 - $1,194,361",933827.0,"944 Albert St, Bella Vista NSW 2202",Bella Vista,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/bella-vista/apartment--unit--flat-16,rent.com.au
"$2,029,180 ONO",2029180.0,"777 William St, Bella Vista NSW 2934",Bella Vista,2,2,1,Villa,https://www.rent.com.au/property/bella-vista/villa-17,rent.com.au
"$2,493,995 ONO",2493995.0,"874 Ocean Rd, Bella Vista NSW 2623",Bella Vista,4,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/bella-vista/apartment--unit--flat-18,rent.com.au
"$1,506,560",1506560.0,"908 Market St, Bella Vista NSW 2415",Bella Vista,0,1,0,Studio,https://www.realestateview.com.au/property/bella-vista/studio-19,realestateview.com.au
"$1,283,530 ONO",1283530.0,"663 Pacific Highway, Bella Vista NSW 2133",Bella Vista,0,1,3,Studio,https://www.realestateview.com.au/property/bella-vista/studio-20,realestateview.com.au
"Guide $690,669",690669.0,"339 Church St, Bella Vista NSW 2152",Bella Vista,1,2,4,House,https://www.rent.com.au/property/bella-vista/house-21,rent.com.au
"$2,025,580 ONO",2025580.0,"260 Beach Rd, Bella Vista NSW 2784",Bella Vista,3,2,1,Penthouse,https://www.realestate.com.au/property/bella-vista/penthouse-23,realestate.com.au
"Guide $1,957,670",1957670.0,"239 James St, Bella Vista NSW 2589",Bella Vista,0,1,2,Studio,https://www.realestateview.com.au/property/bella-vista/studio-24,realestateview.com.au
