price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,300,260 - $3,419,102",3300260.0,"206 Pacific Highway, Bellevue Hill NSW 2634",Bellevue Hill,2,2,1,House,https://www.realestate.com.au/property/bellevue-hill/house-1,realestate.com.au
"$4,607,000 - $4,724,620",4607000.0,"769 Queen St, Bellevue Hill NSW 2165",Bellevue Hill,4,1,1,Terrace,https://www.realestate.com.au/property/bellevue-hill/terrace-3,realestate.com.au
"$4,117,689 ONO",4117689.0,"232 Main St, Bellevue Hill NSW 2985",Bellevue Hill,0,1,1,Studio,https://www.domain.com.au/property/bellevue-hill/studio-7,domain.com.au
"Guide $1,588,669",1588669.0,"751 The Boulevarde, Bellevue Hill NSW 2828",Bellevue Hill,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/bellevue-hill/apartment--unit--flat-10,domain.com.au
"$3,492,468 ONO",3492468.0,"918 Elizabeth St, Bellevue Hill NSW 2867",Bellevue Hill,4,4,1,Penthouse,https://www.realestate.com.au/property/bellevue-hill/penthouse-12,realestate.com.au
"Guide $2,212,485",2212485.0,"151 Princes Highway, Bellevue Hill NSW 2542",Bellevue Hill,0,1,4,Studio,https://www.realestate.com.au/property/bellevue-hill/studio-13,realestate.com.au
"$2,155,334",2155334.0,"267 The Boulevarde, Bellevue Hill NSW 2134",Bellevue Hill,5,4,1,House,https://www.realestate.com.au/property/bellevue-hill/house-14,realestate.com.au
"From $5,047,229",5047229.0,"525 Victoria St, Bellevue Hill NSW 2391",Bellevue Hill,4,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bellevue-hill/apartment--unit--flat-15,realestateview.com.au
"Guide $4,465,246",4465246.0,"115 King St, Bellevue Hill NSW 2008",Bellevue Hill,0,1,3,Studio,https://www.domain.com.au/property/bellevue-hill/studio-21,domain.com.au
"Guide $3,762,895",3762895.0,"202 Park Ave, Bellevue Hill NSW 2293",Bellevue Hill,4,2,2,Penthouse,https://www.rent.com.au/property/bellevue-hill/penthouse-23,rent.com.au
"$3,428,444 ONO",3428444.0,"858 William St, Bellevue Hill NSW 2375",Bellevue Hill,3,3,2,House,https://www.domain.com.au/property/bellevue-hill/house-24,domain.com.au
