price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,091,608 - $1,381,156",1091608.0,"348 Victoria St, Berala NSW 2471",Berala,5,4,1,Penthouse,https://www.domain.com.au/property/berala/penthouse-0,domain.com.au
"Guide $655,114",655114.0,"845 Queen St, Berala NSW 2982",Berala,0,1,3,Studio,https://www.realestate.com.au/property/berala/studio-2,realestate.com.au
"$1,864,198",1864198.0,"783 Military Rd, Berala NSW 2663",Berala,3,1,0,House,https://www.domain.com.au/property/berala/house-3,domain.com.au
"$734,295 ONO",734295.0,"255 Ocean Rd, Berala NSW 2099",Berala,5,2,0,Penthouse,https://www.realestateview.com.au/property/berala/penthouse-4,realestateview.com.au
"From $1,021,500",1021500.0,"566 Church St, Berala NSW 2801",Berala,1,2,1,House,https://www.domain.com.au/property/berala/house-5,domain.com.au
"$916,825 ONO",916825.0,"796 Park Ave, Berala NSW 2925",Berala,4,3,0,Villa,https://www.realestateview.com.au/property/berala/villa-6,realestateview.com.au
"Guide $789,469",789469.0,"125 William St, Berala NSW 2610",Berala,0,1,1,Studio,https://www.realestateview.com.au/property/berala/studio-7,realestateview.com.au
"$774,293 - $922,900",774293.0,"788 Beach Rd, Berala NSW 2341",Berala,5,4,0,Penthouse,https://www.realestateview.com.au/property/berala/penthouse-8,realestateview.com.au
"$2,129,269 - $2,376,338",2129269.0,"487 Ocean Rd, Berala NSW 2418",Berala,6,2,2,Penthouse,https://www.rent.com.au/property/berala/penthouse-9,rent.com.au
"$2,102,966 - $2,237,951",2102966.0,"181 George St, Berala NSW 2749",Berala,0,1,1,Studio,https://www.rent.com.au/property/berala/studio-10,rent.com.au
"$1,083,322",1083322.0,"944 Main St, Berala NSW 2967",Berala,0,1,1,Studio,https://www.domain.com.au/property/berala/studio-11,domain.com.au
"$1,300,702",1300702.0,"42 Market St, Berala NSW 2295",Berala,3,2,0,House,https://www.realestateview.com.au/property/berala/house-13,realestateview.com.au
"Guide $1,045,890",1045890.0,"32 Market St, Berala NSW 2103",Berala,3,3,0,Villa,https://www.realestate.com.au/property/berala/villa-14,realestate.com.au
"$950,194 ONO",950194.0,"751 Ocean Rd, Berala NSW 2402",Berala,3,3,1,Townhouse,https://www.realestate.com.au/property/berala/townhouse-15,realestate.com.au
"$1,801,027 ONO",1801027.0,"780 James St, Berala NSW 2521",Berala,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/berala/apartment--unit--flat-16,realestate.com.au
"$1,267,439 - $1,377,001",1267439.0,"929 Beach Rd, Berala NSW 2162",Berala,4,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/berala/apartment--unit--flat-17,realestate.com.au
"From $1,046,957",1046957.0,"790 Railway St, Berala NSW 2671",Berala,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/berala/apartment--unit--flat-18,realestate.com.au
"$738,691",738691.0,"650 High St, Berala NSW 2957",Berala,3,3,1,Villa,https://www.realestateview.com.au/property/berala/villa-19,realestateview.com.au
"From $1,433,487",1433487.0,"645 Military Rd, Berala NSW 2701",Berala,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/berala/apartment--unit--flat-20,domain.com.au
"$761,845",761845.0,"51 Military Rd, Berala NSW 2800",Berala,3,1,1,Villa,https://www.realestate.com.au/property/berala/villa-21,realestate.com.au
"From $1,712,497",1712497.0,"759 Military Rd, Berala NSW 2532",Berala,3,1,1,Townhouse,https://www.domain.com.au/property/berala/townhouse-22,domain.com.au
"From $797,617",797617.0,"241 Pacific Highway, Berala NSW 2624",Berala,0,1,2,Studio,https://www.realestateview.com.au/property/berala/studio-23,realestateview.com.au
"$1,270,294 ONO",1270294.0,"279 King St, Berala NSW 2346",Berala,2,2,2,Villa,https://www.domain.com.au/property/berala/villa-24,domain.com.au
