price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,528,685 - $1,705,251",1528685.0,"560 Elizabeth St, Beverly Hills NSW 2613",Beverly Hills,0,1,1,Studio,https://www.realestateview.com.au/property/beverly-hills/studio-0,realestateview.com.au
"From $1,736,370",1736370.0,"200 Railway St, Beverly Hills NSW 2305",Beverly Hills,5,2,2,Penthouse,https://www.realestate.com.au/property/beverly-hills/penthouse-1,realestate.com.au
"$996,304",996304.0,"980 William St, Beverly Hills NSW 2939",Beverly Hills,0,1,1,Studio,https://www.realestate.com.au/property/beverly-hills/studio-2,realestate.com.au
"From $594,185",594185.0,"940 King St, Beverly Hills NSW 2191",Beverly Hills,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/beverly-hills/apartment--unit--flat-3,rent.com.au
"Guide $2,465,531",2465531.0,"424 Pacific Highway, Beverly Hills NSW 2993",Beverly Hills,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beverly-hills/apartment--unit--flat-4,realestateview.com.au
"Guide $2,277,445",2277445.0,"28 Railway St, Beverly Hills NSW 2444",Beverly Hills,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beverly-hills/apartment--unit--flat-5,realestateview.com.au
"Guide $1,192,710",1192710.0,"635 Ocean Rd, Beverly Hills NSW 2042",Beverly Hills,3,1,0,Townhouse,https://www.realestateview.com.au/property/beverly-hills/townhouse-6,realestateview.com.au
"$957,322",957322.0,"394 High St, Beverly Hills NSW 2223",Beverly Hills,5,4,2,Penthouse,https://www.rent.com.au/property/beverly-hills/penthouse-7,rent.com.au
"From $2,483,040",2483040.0,"288 Princes Highway, Beverly Hills NSW 2573",Beverly Hills,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/beverly-hills/apartment--unit--flat-8,rent.com.au
"$1,527,603 - $1,609,178",1527603.0,"878 Beach Rd, Beverly Hills NSW 2048",Beverly Hills,3,4,4,House,https://www.rent.com.au/property/beverly-hills/house-9,rent.com.au
"$2,402,303 - $2,614,990",2402303.0,"409 Beach Rd, Beverly Hills NSW 2550",Beverly Hills,1,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beverly-hills/apartment--unit--flat-10,realestateview.com.au
"$1,206,468",1206468.0,"540 Railway St, Beverly Hills NSW 2550",Beverly Hills,0,1,1,Studio,https://www.rent.com.au/property/beverly-hills/studio-11,rent.com.au
"$866,735 - $1,049,776",866735.0,"359 Princes Highway, Beverly Hills NSW 2251",Beverly Hills,1,1,3,House,https://www.realestate.com.au/property/beverly-hills/house-12,realestate.com.au
"From $1,661,737",1661737.0,"122 Pacific Highway, Beverly Hills NSW 2094",Beverly Hills,2,1,2,House,https://www.rent.com.au/property/beverly-hills/house-13,rent.com.au
"Guide $1,309,407",1309407.0,"787 Railway St, Beverly Hills NSW 2157",Beverly Hills,5,2,0,Penthouse,https://www.realestateview.com.au/property/beverly-hills/penthouse-14,realestateview.com.au
"Guide $2,439,758",2439758.0,"189 Elizabeth St, Beverly Hills NSW 2429",Beverly Hills,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/beverly-hills/apartment--unit--flat-15,realestateview.com.au
"Guide $1,430,022",1430022.0,"617 William St, Beverly Hills NSW 2087",Beverly Hills,0,1,0,Studio,https://www.rent.com.au/property/beverly-hills/studio-17,rent.com.au
"$1,320,525 ONO",1320525.0,"890 Beach Rd, Beverly Hills NSW 2423",Beverly Hills,2,2,2,Townhouse,https://www.realestateview.com.au/property/beverly-hills/townhouse-18,realestateview.com.au
"Guide $608,987",608987.0,"65 Edward St, Beverly Hills NSW 2936",Beverly Hills,4,3,3,Penthouse,https://www.domain.com.au/property/beverly-hills/penthouse-19,domain.com.au
"$538,385 - $705,706",538385.0,"55 High St, Beverly Hills NSW 2400",Beverly Hills,4,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/beverly-hills/apartment--unit--flat-20,domain.com.au
"$2,342,023 ONO",2342023.0,"391 Market St, Beverly Hills NSW 2026",Beverly Hills,0,1,0,Studio,https://www.domain.com.au/property/beverly-hills/studio-21,domain.com.au
"$2,353,603",2353603.0,"364 Queen St, Beverly Hills NSW 2050",Beverly Hills,2,3,2,House,https://www.domain.com.au/property/beverly-hills/house-22,domain.com.au
"Guide $816,116",816116.0,"94 Princes Highway, Beverly Hills NSW 2045",Beverly Hills,3,3,3,Penthouse,https://www.rent.com.au/property/beverly-hills/penthouse-23,rent.com.au
"From $1,852,997",1852997.0,"448 Princes Highway, Beverly Hills NSW 2839",Beverly Hills,2,3,1,House,https://www.rent.com.au/property/beverly-hills/house-24,rent.com.au
