price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,817,138",1817138.0,"889 Edward St, Bexley NSW 2184",Bexley,3,4,1,Villa,https://www.domain.com.au/property/bexley/villa-0,domain.com.au
"$585,534",585534.0,"601 Ocean Rd, Bexley NSW 2956",Bexley,0,1,3,Studio,https://www.domain.com.au/property/bexley/studio-1,domain.com.au
"$583,932 ONO",583932.0,"414 Military Rd, Bexley NSW 2427",Bexley,2,2,2,House,https://www.domain.com.au/property/bexley/house-2,domain.com.au
"From $1,709,928",1709928.0,"273 Ocean Rd, Bexley NSW 2777",Bexley,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bexley/apartment--unit--flat-3,realestate.com.au
"Guide $878,981",878981.0,"31 High St, Bexley NSW 2976",Bexley,0,1,2,Studio,https://www.rent.com.au/property/bexley/studio-4,rent.com.au
"From $585,503",585503.0,"113 Main St, Bexley NSW 2559",Bexley,3,4,1,Townhouse,https://www.domain.com.au/property/bexley/townhouse-5,domain.com.au
"Guide $1,004,788",1004788.0,"640 Pacific Highway, Bexley NSW 2743",Bexley,4,2,2,Townhouse,https://www.realestateview.com.au/property/bexley/townhouse-6,realestateview.com.au
"$1,988,124",1988124.0,"505 Beach Rd, Bexley NSW 2057",Bexley,4,3,0,Penthouse,https://www.rent.com.au/property/bexley/penthouse-7,rent.com.au
"$1,752,210",1752210.0,"718 King St, Bexley NSW 2889",Bexley,1,1,2,Townhouse,https://www.domain.com.au/property/bexley/townhouse-8,domain.com.au
"$1,481,673 ONO",1481673.0,"954 Elizabeth St, Bexley NSW 2815",Bexley,0,1,1,Studio,https://www.rent.com.au/property/bexley/studio-9,rent.com.au
"$520,570 ONO",520570.0,"331 Military Rd, Bexley NSW 2551",Bexley,4,3,0,Townhouse,https://www.realestate.com.au/property/bexley/townhouse-10,realestate.com.au
"$599,306",599306.0,"752 The Boulevarde, Bexley NSW 2294",Bexley,3,3,1,House,https://www.domain.com.au/property/bexley/house-11,domain.com.au
"$1,491,159 ONO",1491159.0,"853 Ocean Rd, Bexley NSW 2534",Bexley,5,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bexley/apartment--unit--flat-12,realestateview.com.au
"Guide $1,414,558",1414558.0,"403 Military Rd, Bexley NSW 2403",Bexley,1,1,2,Villa,https://www.realestateview.com.au/property/bexley/villa-13,realestateview.com.au
"From $2,018,013",2018013.0,"278 The Boulevarde, Bexley NSW 2011",Bexley,6,4,3,Penthouse,https://www.realestate.com.au/property/bexley/penthouse-14,realestate.com.au
"$1,494,792 - $1,616,817",1494792.0,"404 Railway St, Bexley NSW 2906",Bexley,6,4,0,Penthouse,https://www.realestateview.com.au/property/bexley/penthouse-15,realestateview.com.au
"$2,263,516 ONO",2263516.0,"401 Pacific Highway, Bexley NSW 2531",Bexley,2,3,0,Villa,https://www.domain.com.au/property/bexley/villa-16,domain.com.au
"$632,280 ONO",632280.0,"745 Albert St, Bexley NSW 2274",Bexley,2,2,0,Townhouse,https://www.realestate.com.au/property/bexley/townhouse-17,realestate.com.au
"$1,323,183",1323183.0,"217 Church St, Bexley NSW 2270",Bexley,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/bexley/apartment--unit--flat-18,realestate.com.au
"From $874,828",874828.0,"517 Victoria St, Bexley NSW 2232",Bexley,4,3,1,Townhouse,https://www.domain.com.au/property/bexley/townhouse-21,domain.com.au
"$1,495,710 ONO",1495710.0,"25 Ocean Rd, Bexley NSW 2646",Bexley,4,2,0,Villa,https://www.domain.com.au/property/bexley/villa-22,domain.com.au
"From $1,847,007",1847007.0,"656 Edward St, Bexley NSW 2355",Bexley,3,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/bexley/apartment--unit--flat-23,domain.com.au
"$1,192,310",1192310.0,"405 George St, Bexley NSW 2943",Bexley,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bexley/apartment--unit--flat-24,realestateview.com.au
