price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,118,042",1118042.0,"469 Victoria St, Bexley North NSW 2126",Bexley North,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/bexley-north/apartment--unit--flat-0,realestate.com.au
"From $902,621",902621.0,"994 Main St, Bexley North NSW 2458",Bexley North,1,1,3,Villa,https://www.rent.com.au/property/bexley-north/villa-1,rent.com.au
"Guide $2,165,871",2165871.0,"818 Pacific Highway, Bexley North NSW 2847",Bexley North,3,3,3,Penthouse,https://www.domain.com.au/property/bexley-north/penthouse-2,domain.com.au
"$1,506,981 ONO",1506981.0,"967 King St, Bexley North NSW 2524",Bexley North,2,3,2,House,https://www.domain.com.au/property/bexley-north/house-3,domain.com.au
"From $1,251,810",1251810.0,"128 Princes Highway, Bexley North NSW 2258",Bexley North,3,3,0,Penthouse,https://www.rent.com.au/property/bexley-north/penthouse-4,rent.com.au
"$2,363,145 - $2,612,646",2363145.0,"746 Princes Highway, Bexley North NSW 2208",Bexley North,1,1,1,Townhouse,https://www.realestate.com.au/property/bexley-north/townhouse-5,realestate.com.au
"From $801,365",801365.0,"389 William St, Bexley North NSW 2061",Bexley North,4,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bexley-north/apartment--unit--flat-6,realestateview.com.au
"$864,741 ONO",864741.0,"101 Elizabeth St, Bexley North NSW 2361",Bexley North,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/bexley-north/apartment--unit--flat-7,realestate.com.au
"Guide $687,578",687578.0,"496 James St, Bexley North NSW 2554",Bexley North,3,2,2,Penthouse,https://www.realestateview.com.au/property/bexley-north/penthouse-9,realestateview.com.au
"$2,161,892 - $2,288,122",2161892.0,"292 Military Rd, Bexley North NSW 2486",Bexley North,2,1,1,Villa,https://www.realestate.com.au/property/bexley-north/villa-10,realestate.com.au
"$1,766,016",1766016.0,"615 Edward St, Bexley North NSW 2622",Bexley North,5,2,0,Townhouse,https://www.realestate.com.au/property/bexley-north/townhouse-11,realestate.com.au
"From $800,701",800701.0,"506 William St, Bexley North NSW 2417",Bexley North,2,2,1,Villa,https://www.realestate.com.au/property/bexley-north/villa-12,realestate.com.au
"From $1,498,658",1498658.0,"620 Market St, Bexley North NSW 2594",Bexley North,4,2,0,Penthouse,https://www.rent.com.au/property/bexley-north/penthouse-13,rent.com.au
"$992,920 - $1,225,315",992920.0,"648 High St, Bexley North NSW 2585",Bexley North,5,3,0,Townhouse,https://www.rent.com.au/property/bexley-north/townhouse-14,rent.com.au
"From $2,267,232",2267232.0,"694 High St, Bexley North NSW 2423",Bexley North,4,2,0,Penthouse,https://www.realestateview.com.au/property/bexley-north/penthouse-15,realestateview.com.au
"$639,925 - $704,291",639925.0,"314 The Boulevarde, Bexley North NSW 2851",Bexley North,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/bexley-north/apartment--unit--flat-16,domain.com.au
"From $1,480,743",1480743.0,"874 Queen St, Bexley North NSW 2698",Bexley North,2,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/bexley-north/apartment--unit--flat-17,realestate.com.au
"Guide $2,188,324",2188324.0,"736 Market St, Bexley North NSW 2801",Bexley North,3,1,0,Villa,https://www.domain.com.au/property/bexley-north/villa-18,domain.com.au
"$2,337,998 ONO",2337998.0,"438 Military Rd, Bexley North NSW 2907",Bexley North,2,1,2,Villa,https://www.rent.com.au/property/bexley-north/villa-19,rent.com.au
"$796,777",796777.0,"641 Beach Rd, Bexley North NSW 2427",Bexley North,0,1,2,Studio,https://www.domain.com.au/property/bexley-north/studio-21,domain.com.au
"$1,985,361",1985361.0,"640 William St, Bexley North NSW 2519",Bexley North,3,2,1,Townhouse,https://www.rent.com.au/property/bexley-north/townhouse-23,rent.com.au
"$1,394,274 ONO",1394274.0,"661 Albert St, Bexley North NSW 2382",Bexley North,0,1,2,Studio,https://www.realestateview.com.au/property/bexley-north/studio-24,realestateview.com.au
