price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,683,012",1683012.0,"160 Albert St, Bidwill NSW 2594",Bidwill,3,1,0,Villa,https://www.domain.com.au/property/bidwill/villa-0,domain.com.au
"$561,606",561606.0,"6 Market St, Bidwill NSW 2931",Bidwill,3,4,2,Townhouse,https://www.domain.com.au/property/bidwill/townhouse-1,domain.com.au
"Guide $2,255,568",2255568.0,"147 Main St, Bidwill NSW 2147",Bidwill,3,3,0,Penthouse,https://www.rent.com.au/property/bidwill/penthouse-2,rent.com.au
"$1,832,336",1832336.0,"73 Railway St, Bidwill NSW 2661",Bidwill,3,3,1,Penthouse,https://www.realestateview.com.au/property/bidwill/penthouse-3,realestateview.com.au
"$529,348",529348.0,"339 Railway St, Bidwill NSW 2175",Bidwill,2,1,2,Townhouse,https://www.realestateview.com.au/property/bidwill/townhouse-4,realestateview.com.au
"$1,602,644 ONO",1602644.0,"73 Albert St, Bidwill NSW 2621",Bidwill,1,1,2,Townhouse,https://www.domain.com.au/property/bidwill/townhouse-5,domain.com.au
"From $2,449,316",2449316.0,"12 Railway St, Bidwill NSW 2058",Bidwill,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/bidwill/apartment--unit--flat-6,realestate.com.au
"$2,157,893",2157893.0,"66 King St, Bidwill NSW 2483",Bidwill,2,2,0,Villa,https://www.rent.com.au/property/bidwill/villa-7,rent.com.au
"From $541,419",541419.0,"892 Church St, Bidwill NSW 2735",Bidwill,5,3,0,Townhouse,https://www.realestateview.com.au/property/bidwill/townhouse-8,realestateview.com.au
"$1,030,209 - $1,327,464",1030209.0,"502 Edward St, Bidwill NSW 2473",Bidwill,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bidwill/apartment--unit--flat-9,domain.com.au
"From $1,461,969",1461969.0,"851 Edward St, Bidwill NSW 2778",Bidwill,4,3,0,Penthouse,https://www.realestate.com.au/property/bidwill/penthouse-10,realestate.com.au
"From $905,935",905935.0,"59 Princes Highway, Bidwill NSW 2392",Bidwill,1,2,1,House,https://www.domain.com.au/property/bidwill/house-12,domain.com.au
"$1,800,314 ONO",1800314.0,"334 Albert St, Bidwill NSW 2750",Bidwill,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bidwill/apartment--unit--flat-13,domain.com.au
"From $726,190",726190.0,"89 George St, Bidwill NSW 2631",Bidwill,4,4,3,Penthouse,https://www.realestate.com.au/property/bidwill/penthouse-14,realestate.com.au
"Guide $1,700,450",1700450.0,"780 Victoria St, Bidwill NSW 2937",Bidwill,3,3,0,Townhouse,https://www.realestateview.com.au/property/bidwill/townhouse-15,realestateview.com.au
"$1,332,418 ONO",1332418.0,"768 Market St, Bidwill NSW 2385",Bidwill,2,2,0,House,https://www.domain.com.au/property/bidwill/house-17,domain.com.au
"$764,736 - $829,678",764736.0,"492 The Boulevarde, Bidwill NSW 2511",Bidwill,4,2,3,Villa,https://www.realestateview.com.au/property/bidwill/villa-18,realestateview.com.au
"$1,268,404 ONO",1268404.0,"786 Main St, Bidwill NSW 2230",Bidwill,2,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bidwill/apartment--unit--flat-19,realestateview.com.au
"$1,408,565 ONO",1408565.0,"290 Princes Highway, Bidwill NSW 2674",Bidwill,3,4,0,Townhouse,https://www.domain.com.au/property/bidwill/townhouse-20,domain.com.au
"$1,960,234 ONO",1960234.0,"998 Ocean Rd, Bidwill NSW 2200",Bidwill,0,1,2,Studio,https://www.realestateview.com.au/property/bidwill/studio-21,realestateview.com.au
"Guide $1,240,403",1240403.0,"998 William St, Bidwill NSW 2647",Bidwill,2,1,1,Townhouse,https://www.rent.com.au/property/bidwill/townhouse-22,rent.com.au
"$2,272,013",2272013.0,"295 Market St, Bidwill NSW 2737",Bidwill,5,4,3,Villa,https://www.domain.com.au/property/bidwill/villa-24,domain.com.au
