price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$882,978",882978.0,"128 Railway St, Bilgola NSW 2371",Bilgola,0,1,0,Studio,https://www.domain.com.au/property/bilgola/studio-0,domain.com.au
"From $1,229,389",1229389.0,"9 Market St, Bilgola NSW 2007",Bilgola,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bilgola/apartment--unit--flat-1,realestateview.com.au
"$1,561,698 - $1,652,333",1561698.0,"665 Edward St, Bilgola NSW 2879",Bilgola,0,1,1,Studio,https://www.realestateview.com.au/property/bilgola/studio-2,realestateview.com.au
"Guide $640,520",640520.0,"837 William St, Bilgola NSW 2702",Bilgola,0,1,0,Studio,https://www.realestate.com.au/property/bilgola/studio-4,realestate.com.au
"From $1,245,771",1245771.0,"29 Pacific Highway, Bilgola NSW 2052",Bilgola,5,3,2,Penthouse,https://www.realestateview.com.au/property/bilgola/penthouse-5,realestateview.com.au
"Guide $2,095,286",2095286.0,"116 Queen St, Bilgola NSW 2999",Bilgola,2,3,0,Townhouse,https://www.domain.com.au/property/bilgola/townhouse-7,domain.com.au
"$1,093,996 ONO",1093996.0,"428 Ocean Rd, Bilgola NSW 2395",Bilgola,0,1,0,Studio,https://www.rent.com.au/property/bilgola/studio-8,rent.com.au
"$2,448,614 ONO",2448614.0,"135 Main St, Bilgola NSW 2184",Bilgola,2,2,3,Townhouse,https://www.domain.com.au/property/bilgola/townhouse-9,domain.com.au
"$1,681,923",1681923.0,"934 Pacific Highway, Bilgola NSW 2402",Bilgola,6,4,2,Penthouse,https://www.realestate.com.au/property/bilgola/penthouse-11,realestate.com.au
"$888,757 ONO",888757.0,"804 Edward St, Bilgola NSW 2127",Bilgola,6,4,1,Penthouse,https://www.domain.com.au/property/bilgola/penthouse-12,domain.com.au
"$2,072,564 - $2,294,852",2072564.0,"145 Albert St, Bilgola NSW 2692",Bilgola,3,3,2,Villa,https://www.domain.com.au/property/bilgola/villa-13,domain.com.au
"$2,438,175",2438175.0,"451 Albert St, Bilgola NSW 2419",Bilgola,3,4,0,Villa,https://www.domain.com.au/property/bilgola/villa-14,domain.com.au
"$2,187,600",2187600.0,"466 Edward St, Bilgola NSW 2885",Bilgola,3,4,4,House,https://www.realestateview.com.au/property/bilgola/house-15,realestateview.com.au
"$1,672,750 ONO",1672750.0,"263 Princes Highway, Bilgola NSW 2115",Bilgola,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/bilgola/apartment--unit--flat-16,rent.com.au
"Guide $919,072",919072.0,"746 Market St, Bilgola NSW 2372",Bilgola,3,3,0,House,https://www.rent.com.au/property/bilgola/house-17,rent.com.au
"$1,704,396",1704396.0,"26 James St, Bilgola NSW 2681",Bilgola,0,1,1,Studio,https://www.realestate.com.au/property/bilgola/studio-19,realestate.com.au
"From $777,922",777922.0,"312 Elizabeth St, Bilgola NSW 2339",Bilgola,2,3,2,Villa,https://www.realestateview.com.au/property/bilgola/villa-20,realestateview.com.au
"$1,308,386",1308386.0,"144 Beach Rd, Bilgola NSW 2976",Bilgola,0,1,3,Studio,https://www.realestate.com.au/property/bilgola/studio-21,realestate.com.au
"Guide $1,901,969",1901969.0,"35 William St, Bilgola NSW 2682",Bilgola,3,1,3,Townhouse,https://www.rent.com.au/property/bilgola/townhouse-22,rent.com.au
"$569,085 ONO",569085.0,"612 High St, Bilgola NSW 2243",Bilgola,4,3,0,Penthouse,https://www.realestate.com.au/property/bilgola/penthouse-23,realestate.com.au
"From $1,072,581",1072581.0,"604 Queen St, Bilgola NSW 2915",Bilgola,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bilgola/apartment--unit--flat-24,realestate.com.au
