price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,486,591",1486591.0,"575 The Boulevarde, Bilgola Plateau NSW 2865",Bilgola Plateau,1,2,2,House,https://www.realestate.com.au/property/bilgola-plateau/house-0,realestate.com.au
"$2,429,932",2429932.0,"664 Park Ave, Bilgola Plateau NSW 2755",Bilgola Plateau,2,2,0,House,https://www.rent.com.au/property/bilgola-plateau/house-2,rent.com.au
"From $1,514,528",1514528.0,"361 Military Rd, Bilgola Plateau NSW 2967",Bilgola Plateau,0,1,2,Studio,https://www.realestateview.com.au/property/bilgola-plateau/studio-3,realestateview.com.au
"$896,588 - $1,182,866",896588.0,"113 Edward St, Bilgola Plateau NSW 2910",Bilgola Plateau,2,3,0,Villa,https://www.realestateview.com.au/property/bilgola-plateau/villa-4,realestateview.com.au
"$543,238 ONO",543238.0,"361 Elizabeth St, Bilgola Plateau NSW 2777",Bilgola Plateau,1,1,1,Townhouse,https://www.rent.com.au/property/bilgola-plateau/townhouse-5,rent.com.au
"$1,467,533 - $1,758,167",1467533.0,"75 Queen St, Bilgola Plateau NSW 2447",Bilgola Plateau,4,3,2,Penthouse,https://www.realestate.com.au/property/bilgola-plateau/penthouse-6,realestate.com.au
"$1,170,043",1170043.0,"821 Edward St, Bilgola Plateau NSW 2795",Bilgola Plateau,2,2,1,Villa,https://www.rent.com.au/property/bilgola-plateau/villa-7,rent.com.au
"$884,684",884684.0,"184 Park Ave, Bilgola Plateau NSW 2819",Bilgola Plateau,0,1,2,Studio,https://www.rent.com.au/property/bilgola-plateau/studio-9,rent.com.au
"$579,901 - $835,438",579901.0,"990 The Boulevarde, Bilgola Plateau NSW 2822",Bilgola Plateau,3,4,1,House,https://www.rent.com.au/property/bilgola-plateau/house-10,rent.com.au
"$851,418",851418.0,"12 High St, Bilgola Plateau NSW 2496",Bilgola Plateau,4,2,2,Penthouse,https://www.realestate.com.au/property/bilgola-plateau/penthouse-11,realestate.com.au
"$2,004,412 - $2,290,857",2004412.0,"301 Elizabeth St, Bilgola Plateau NSW 2219",Bilgola Plateau,2,2,2,Villa,https://www.domain.com.au/property/bilgola-plateau/villa-13,domain.com.au
"From $584,461",584461.0,"657 James St, Bilgola Plateau NSW 2987",Bilgola Plateau,1,2,0,House,https://www.realestateview.com.au/property/bilgola-plateau/house-14,realestateview.com.au
"From $1,810,642",1810642.0,"129 King St, Bilgola Plateau NSW 2520",Bilgola Plateau,0,1,2,Studio,https://www.domain.com.au/property/bilgola-plateau/studio-15,domain.com.au
"From $1,588,674",1588674.0,"197 Edward St, Bilgola Plateau NSW 2485",Bilgola Plateau,2,1,2,Townhouse,https://www.realestateview.com.au/property/bilgola-plateau/townhouse-16,realestateview.com.au
"$2,244,707 - $2,467,214",2244707.0,"621 George St, Bilgola Plateau NSW 2604",Bilgola Plateau,0,1,0,Studio,https://www.rent.com.au/property/bilgola-plateau/studio-17,rent.com.au
"Guide $1,438,492",1438492.0,"284 Edward St, Bilgola Plateau NSW 2470",Bilgola Plateau,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bilgola-plateau/apartment--unit--flat-18,realestateview.com.au
"From $1,976,834",1976834.0,"818 Main St, Bilgola Plateau NSW 2027",Bilgola Plateau,2,3,1,Townhouse,https://www.realestate.com.au/property/bilgola-plateau/townhouse-19,realestate.com.au
"Guide $793,880",793880.0,"678 High St, Bilgola Plateau NSW 2932",Bilgola Plateau,0,1,1,Studio,https://www.realestate.com.au/property/bilgola-plateau/studio-20,realestate.com.au
"Guide $836,512",836512.0,"723 Elizabeth St, Bilgola Plateau NSW 2025",Bilgola Plateau,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/bilgola-plateau/apartment--unit--flat-22,rent.com.au
"$560,390 ONO",560390.0,"451 Railway St, Bilgola Plateau NSW 2141",Bilgola Plateau,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bilgola-plateau/apartment--unit--flat-23,realestate.com.au
"$1,966,282",1966282.0,"152 King St, Bilgola Plateau NSW 2687",Bilgola Plateau,4,2,3,Townhouse,https://www.realestate.com.au/property/bilgola-plateau/townhouse-24,realestate.com.au
