price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$603,152 ONO",603152.0,"778 Market St, Birchgrove NSW 2044",Birchgrove,5,4,0,Penthouse,https://www.realestate.com.au/property/birchgrove/penthouse-0,realestate.com.au
"$1,760,242 ONO",1760242.0,"759 The Boulevarde, Birchgrove NSW 2338",Birchgrove,1,2,0,House,https://www.realestate.com.au/property/birchgrove/house-1,realestate.com.au
"$1,022,209 ONO",1022209.0,"438 Albert St, Birchgrove NSW 2606",Birchgrove,3,2,1,Penthouse,https://www.rent.com.au/property/birchgrove/penthouse-2,rent.com.au
"Guide $2,432,820",2432820.0,"591 Victoria St, Birchgrove NSW 2472",Birchgrove,0,1,0,Studio,https://www.domain.com.au/property/birchgrove/studio-3,domain.com.au
"$1,234,939",1234939.0,"604 Park Ave, Birchgrove NSW 2335",Birchgrove,0,1,3,Studio,https://www.domain.com.au/property/birchgrove/studio-5,domain.com.au
"From $1,074,853",1074853.0,"808 Edward St, Birchgrove NSW 2499",Birchgrove,3,3,0,Penthouse,https://www.realestateview.com.au/property/birchgrove/penthouse-6,realestateview.com.au
"$1,285,736",1285736.0,"310 Ocean Rd, Birchgrove NSW 2395",Birchgrove,1,2,0,House,https://www.rent.com.au/property/birchgrove/house-7,rent.com.au
"$650,770 ONO",650770.0,"610 High St, Birchgrove NSW 2579",Birchgrove,1,1,2,Villa,https://www.realestate.com.au/property/birchgrove/villa-8,realestate.com.au
"$2,069,714 ONO",2069714.0,"511 Queen St, Birchgrove NSW 2030",Birchgrove,2,1,0,Villa,https://www.rent.com.au/property/birchgrove/villa-9,rent.com.au
"Guide $1,265,117",1265117.0,"916 Beach Rd, Birchgrove NSW 2697",Birchgrove,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/birchgrove/apartment--unit--flat-10,rent.com.au
"From $1,936,565",1936565.0,"698 Main St, Birchgrove NSW 2670",Birchgrove,3,4,3,Villa,https://www.domain.com.au/property/birchgrove/villa-11,domain.com.au
"Guide $2,301,231",2301231.0,"291 Beach Rd, Birchgrove NSW 2831",Birchgrove,4,2,1,House,https://www.rent.com.au/property/birchgrove/house-13,rent.com.au
"$1,990,670",1990670.0,"144 High St, Birchgrove NSW 2722",Birchgrove,4,3,2,Villa,https://www.domain.com.au/property/birchgrove/villa-14,domain.com.au
"Guide $1,712,953",1712953.0,"537 Main St, Birchgrove NSW 2573",Birchgrove,3,2,0,Townhouse,https://www.realestateview.com.au/property/birchgrove/townhouse-15,realestateview.com.au
"From $1,234,304",1234304.0,"774 Military Rd, Birchgrove NSW 2872",Birchgrove,1,1,2,House,https://www.realestateview.com.au/property/birchgrove/house-16,realestateview.com.au
"$1,795,497 ONO",1795497.0,"461 Queen St, Birchgrove NSW 2793",Birchgrove,0,1,0,Studio,https://www.domain.com.au/property/birchgrove/studio-17,domain.com.au
"$577,402",577402.0,"59 Park Ave, Birchgrove NSW 2946",Birchgrove,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/birchgrove/apartment--unit--flat-18,domain.com.au
"$1,619,810",1619810.0,"466 Edward St, Birchgrove NSW 2811",Birchgrove,5,3,1,Villa,https://www.realestateview.com.au/property/birchgrove/villa-19,realestateview.com.au
"$2,326,391 ONO",2326391.0,"225 Edward St, Birchgrove NSW 2165",Birchgrove,0,1,0,Studio,https://www.domain.com.au/property/birchgrove/studio-20,domain.com.au
"$2,327,803",2327803.0,"685 Elizabeth St, Birchgrove NSW 2747",Birchgrove,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/birchgrove/apartment--unit--flat-22,realestate.com.au
"$818,617 ONO",818617.0,"832 Pacific Highway, Birchgrove NSW 2827",Birchgrove,0,1,3,Studio,https://www.realestateview.com.au/property/birchgrove/studio-23,realestateview.com.au
"$1,731,032 - $1,956,277",1731032.0,"772 Main St, Birchgrove NSW 2972",Birchgrove,3,4,2,Villa,https://www.realestateview.com.au/property/birchgrove/villa-24,realestateview.com.au
