price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,319,236 ONO",1319236.0,"52 James St, Birrong NSW 2387",Birrong,3,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/birrong/apartment--unit--flat-0,rent.com.au
"$584,242",584242.0,"21 Elizabeth St, Birrong NSW 2012",Birrong,0,1,3,Studio,https://www.rent.com.au/property/birrong/studio-1,rent.com.au
"Guide $2,300,273",2300273.0,"908 Main St, Birrong NSW 2677",Birrong,4,3,1,Villa,https://www.rent.com.au/property/birrong/villa-2,rent.com.au
"From $622,166",622166.0,"447 Military Rd, Birrong NSW 2345",Birrong,5,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/birrong/apartment--unit--flat-3,rent.com.au
"$535,919 - $833,550",535919.0,"190 Beach Rd, Birrong NSW 2740",Birrong,5,1,0,House,https://www.rent.com.au/property/birrong/house-4,rent.com.au
"$736,981",736981.0,"455 Park Ave, Birrong NSW 2737",Birrong,4,3,1,Villa,https://www.realestateview.com.au/property/birrong/villa-6,realestateview.com.au
"From $2,492,204",2492204.0,"716 George St, Birrong NSW 2661",Birrong,3,3,2,Penthouse,https://www.domain.com.au/property/birrong/penthouse-7,domain.com.au
"$1,907,047 ONO",1907047.0,"941 Victoria St, Birrong NSW 2797",Birrong,0,1,1,Studio,https://www.realestateview.com.au/property/birrong/studio-8,realestateview.com.au
"From $1,343,963",1343963.0,"669 King St, Birrong NSW 2454",Birrong,3,3,0,Villa,https://www.rent.com.au/property/birrong/villa-9,rent.com.au
"Guide $2,018,790",2018790.0,"108 Market St, Birrong NSW 2615",Birrong,2,1,2,House,https://www.rent.com.au/property/birrong/house-10,rent.com.au
"$1,162,652",1162652.0,"908 George St, Birrong NSW 2020",Birrong,6,4,1,Penthouse,https://www.domain.com.au/property/birrong/penthouse-11,domain.com.au
"$1,091,598 ONO",1091598.0,"169 Market St, Birrong NSW 2786",Birrong,1,1,2,Villa,https://www.domain.com.au/property/birrong/villa-12,domain.com.au
"$1,158,909 - $1,213,794",1158909.0,"901 Park Ave, Birrong NSW 2571",Birrong,1,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/birrong/apartment--unit--flat-13,rent.com.au
"$2,390,346",2390346.0,"69 Main St, Birrong NSW 2985",Birrong,0,1,3,Studio,https://www.realestate.com.au/property/birrong/studio-14,realestate.com.au
"Guide $2,006,305",2006305.0,"279 Edward St, Birrong NSW 2543",Birrong,3,1,2,Townhouse,https://www.domain.com.au/property/birrong/townhouse-15,domain.com.au
"From $1,210,101",1210101.0,"788 Beach Rd, Birrong NSW 2229",Birrong,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/birrong/apartment--unit--flat-16,realestate.com.au
"$656,217 - $793,579",656217.0,"655 Park Ave, Birrong NSW 2626",Birrong,2,1,1,Townhouse,https://www.domain.com.au/property/birrong/townhouse-17,domain.com.au
"$1,051,263 - $1,264,598",1051263.0,"233 Ocean Rd, Birrong NSW 2366",Birrong,4,3,1,Townhouse,https://www.realestateview.com.au/property/birrong/townhouse-19,realestateview.com.au
"Guide $1,933,706",1933706.0,"349 Church St, Birrong NSW 2516",Birrong,1,1,2,Villa,https://www.realestate.com.au/property/birrong/villa-21,realestate.com.au
"Guide $1,295,309",1295309.0,"998 Beach Rd, Birrong NSW 2251",Birrong,2,1,1,Villa,https://www.rent.com.au/property/birrong/villa-22,rent.com.au
"From $1,470,027",1470027.0,"180 Victoria St, Birrong NSW 2507",Birrong,0,1,1,Studio,https://www.domain.com.au/property/birrong/studio-23,domain.com.au
"$2,392,156 - $2,538,067",2392156.0,"725 The Boulevarde, Birrong NSW 2331",Birrong,2,2,3,House,https://www.rent.com.au/property/birrong/house-24,rent.com.au
