price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,132,329 ONO",1132329.0,"347 James St, Blacktown NSW 2361",Blacktown,1,1,4,Villa,https://www.rent.com.au/property/blacktown/villa-2,rent.com.au
"$519,733 - $685,393",519733.0,"891 Edward St, Blacktown NSW 2622",Blacktown,0,1,0,Studio,https://www.rent.com.au/property/blacktown/studio-5,rent.com.au
"Guide $977,440",977440.0,"448 Military Rd, Blacktown NSW 2358",Blacktown,4,3,1,Townhouse,https://www.rent.com.au/property/blacktown/townhouse-7,rent.com.au
"$793,162",793162.0,"715 Church St, Blacktown NSW 2018",Blacktown,2,1,0,Townhouse,https://www.realestateview.com.au/property/blacktown/townhouse-8,realestateview.com.au
"Guide $765,796",765796.0,"99 Park Ave, Blacktown NSW 2050",Blacktown,3,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/blacktown/apartment--unit--flat-9,realestate.com.au
"$829,309 - $946,666",829309.0,"259 The Boulevarde, Blacktown NSW 2543",Blacktown,3,2,1,Penthouse,https://www.realestateview.com.au/property/blacktown/penthouse-10,realestateview.com.au
"Guide $781,474",781474.0,"569 Railway St, Blacktown NSW 2765",Blacktown,2,2,1,Townhouse,https://www.rent.com.au/property/blacktown/townhouse-11,rent.com.au
"Guide $815,042",815042.0,"815 Queen St, Blacktown NSW 2966",Blacktown,3,4,1,House,https://www.realestate.com.au/property/blacktown/house-12,realestate.com.au
"$638,181 - $777,991",638181.0,"466 Railway St, Blacktown NSW 2922",Blacktown,4,2,3,Penthouse,https://www.realestateview.com.au/property/blacktown/penthouse-13,realestateview.com.au
"$832,848 ONO",832848.0,"923 Albert St, Blacktown NSW 2014",Blacktown,2,3,2,House,https://www.domain.com.au/property/blacktown/house-15,domain.com.au
"Guide $1,178,110",1178110.0,"583 Beach Rd, Blacktown NSW 2773",Blacktown,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/blacktown/apartment--unit--flat-17,realestateview.com.au
"$636,434 - $894,575",636434.0,"238 William St, Blacktown NSW 2745",Blacktown,4,1,0,Villa,https://www.domain.com.au/property/blacktown/villa-18,domain.com.au
"$1,029,981 - $1,114,757",1029981.0,"462 Albert St, Blacktown NSW 2876",Blacktown,1,1,2,House,https://www.realestate.com.au/property/blacktown/house-20,realestate.com.au
"Guide $556,928",556928.0,"984 William St, Blacktown NSW 2795",Blacktown,0,1,0,Studio,https://www.domain.com.au/property/blacktown/studio-22,domain.com.au
"$779,446 - $841,620",779446.0,"607 Edward St, Blacktown NSW 2887",Blacktown,2,1,0,Villa,https://www.realestateview.com.au/property/blacktown/villa-23,realestateview.com.au
"Guide $1,120,064",1120064.0,"336 Albert St, Blacktown NSW 2037",Blacktown,3,1,4,House,https://www.rent.com.au/property/blacktown/house-24,rent.com.au
