price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,996,258 - $2,168,672",1996258.0,"371 Beach Rd, Blakehurst NSW 2440",Blakehurst,3,2,4,Villa,https://www.realestateview.com.au/property/blakehurst/villa-0,realestateview.com.au
"From $1,849,677",1849677.0,"6 Pacific Highway, Blakehurst NSW 2768",Blakehurst,0,1,0,Studio,https://www.domain.com.au/property/blakehurst/studio-1,domain.com.au
"$1,919,541 - $2,104,574",1919541.0,"89 Edward St, Blakehurst NSW 2544",Blakehurst,2,3,0,House,https://www.realestateview.com.au/property/blakehurst/house-2,realestateview.com.au
"Guide $2,071,010",2071010.0,"389 Military Rd, Blakehurst NSW 2773",Blakehurst,6,4,3,Penthouse,https://www.realestateview.com.au/property/blakehurst/penthouse-3,realestateview.com.au
"$949,128",949128.0,"306 Railway St, Blakehurst NSW 2189",Blakehurst,2,2,2,Townhouse,https://www.rent.com.au/property/blakehurst/townhouse-4,rent.com.au
"$813,868 ONO",813868.0,"221 Military Rd, Blakehurst NSW 2186",Blakehurst,0,1,2,Studio,https://www.rent.com.au/property/blakehurst/studio-6,rent.com.au
"Guide $1,268,837",1268837.0,"867 The Boulevarde, Blakehurst NSW 2544",Blakehurst,2,3,1,Townhouse,https://www.realestateview.com.au/property/blakehurst/townhouse-7,realestateview.com.au
"$1,235,677 ONO",1235677.0,"551 Main St, Blakehurst NSW 2226",Blakehurst,1,1,3,House,https://www.rent.com.au/property/blakehurst/house-8,rent.com.au
"Guide $2,252,676",2252676.0,"51 Queen St, Blakehurst NSW 2288",Blakehurst,2,3,1,Villa,https://www.domain.com.au/property/blakehurst/villa-9,domain.com.au
"$1,715,856 ONO",1715856.0,"687 Pacific Highway, Blakehurst NSW 2474",Blakehurst,3,3,0,Villa,https://www.realestate.com.au/property/blakehurst/villa-11,realestate.com.au
"$1,294,394",1294394.0,"500 Queen St, Blakehurst NSW 2901",Blakehurst,4,4,2,Villa,https://www.domain.com.au/property/blakehurst/villa-12,domain.com.au
"$850,252 ONO",850252.0,"161 George St, Blakehurst NSW 2022",Blakehurst,4,4,4,House,https://www.realestate.com.au/property/blakehurst/house-13,realestate.com.au
"$1,697,853 - $1,944,987",1697853.0,"236 Beach Rd, Blakehurst NSW 2550",Blakehurst,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/blakehurst/apartment--unit--flat-14,rent.com.au
"$1,212,614 ONO",1212614.0,"293 Park Ave, Blakehurst NSW 2926",Blakehurst,4,1,1,Villa,https://www.realestateview.com.au/property/blakehurst/villa-15,realestateview.com.au
"$613,176 - $703,637",613176.0,"68 Main St, Blakehurst NSW 2597",Blakehurst,0,1,0,Studio,https://www.realestate.com.au/property/blakehurst/studio-16,realestate.com.au
"$1,064,418",1064418.0,"865 Military Rd, Blakehurst NSW 2376",Blakehurst,0,1,0,Studio,https://www.domain.com.au/property/blakehurst/studio-17,domain.com.au
"$1,759,556 - $1,873,820",1759556.0,"197 The Boulevarde, Blakehurst NSW 2012",Blakehurst,3,4,2,Penthouse,https://www.domain.com.au/property/blakehurst/penthouse-18,domain.com.au
"From $1,439,048",1439048.0,"352 Victoria St, Blakehurst NSW 2419",Blakehurst,4,3,0,Townhouse,https://www.realestate.com.au/property/blakehurst/townhouse-19,realestate.com.au
"From $1,414,778",1414778.0,"415 Edward St, Blakehurst NSW 2468",Blakehurst,1,2,0,Townhouse,https://www.domain.com.au/property/blakehurst/townhouse-20,domain.com.au
"From $654,505",654505.0,"333 Edward St, Blakehurst NSW 2642",Blakehurst,5,3,3,Penthouse,https://www.realestateview.com.au/property/blakehurst/penthouse-21,realestateview.com.au
"$1,105,754",1105754.0,"138 George St, Blakehurst NSW 2478",Blakehurst,4,3,1,House,https://www.rent.com.au/property/blakehurst/house-22,rent.com.au
"Guide $1,280,892",1280892.0,"948 King St, Blakehurst NSW 2144",Blakehurst,3,3,0,Townhouse,https://www.rent.com.au/property/blakehurst/townhouse-23,rent.com.au
"$944,018",944018.0,"146 Church St, Blakehurst NSW 2691",Blakehurst,6,4,1,Penthouse,https://www.domain.com.au/property/blakehurst/penthouse-24,domain.com.au
