price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $3,910,320",3910320.0,"663 Pacific Highway, Bondi NSW 2607",Bondi,0,1,1,Studio,https://www.domain.com.au/property/bondi/studio-0,domain.com.au
"$836,512 ONO",836512.0,"695 The Boulevarde, Bondi NSW 2907",Bondi,0,1,2,Studio,https://www.realestateview.com.au/property/bondi/studio-1,realestateview.com.au
"Guide $3,462,150",3462150.0,"867 King St, Bondi NSW 2208",Bondi,6,2,0,Penthouse,https://www.rent.com.au/property/bondi/penthouse-2,rent.com.au
"Guide $2,907,686",2907686.0,"221 Pacific Highway, Bondi NSW 2848",Bondi,2,3,1,House,https://www.realestateview.com.au/property/bondi/house-3,realestateview.com.au
"$1,687,672",1687672.0,"378 Queen St, Bondi NSW 2806",Bondi,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bondi/apartment--unit--flat-6,rent.com.au
"From $1,719,852",1719852.0,"633 Main St, Bondi NSW 2354",Bondi,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bondi/apartment--unit--flat-7,realestate.com.au
"$1,157,037 ONO",1157037.0,"622 Church St, Bondi NSW 2209",Bondi,5,2,2,Penthouse,https://www.domain.com.au/property/bondi/penthouse-8,domain.com.au
"$2,783,233",2783233.0,"911 Elizabeth St, Bondi NSW 2110",Bondi,4,4,0,Penthouse,https://www.rent.com.au/property/bondi/penthouse-9,rent.com.au
"$1,839,857",1839857.0,"7 William St, Bondi NSW 2306",Bondi,1,1,2,House,https://www.realestateview.com.au/property/bondi/house-10,realestateview.com.au
"$833,544 ONO",833544.0,"632 William St, Bondi NSW 2683",Bondi,0,1,3,Studio,https://www.rent.com.au/property/bondi/studio-12,rent.com.au
"$1,035,775 - $1,311,491",1035775.0,"136 Military Rd, Bondi NSW 2003",Bondi,3,4,2,Penthouse,https://www.realestate.com.au/property/bondi/penthouse-13,realestate.com.au
"$844,594 ONO",844594.0,"237 Pacific Highway, Bondi NSW 2752",Bondi,4,3,3,House,https://www.realestateview.com.au/property/bondi/house-14,realestateview.com.au
"$2,646,831",2646831.0,"883 Main St, Bondi NSW 2271",Bondi,0,1,3,Studio,https://www.domain.com.au/property/bondi/studio-15,domain.com.au
"$3,295,264 ONO",3295264.0,"425 Military Rd, Bondi NSW 2955",Bondi,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bondi/apartment--unit--flat-16,realestateview.com.au
"$1,450,607 - $1,534,108",1450607.0,"86 Pacific Highway, Bondi NSW 2673",Bondi,3,4,2,Villa,https://www.domain.com.au/property/bondi/villa-17,domain.com.au
"From $1,890,351",1890351.0,"273 Main St, Bondi NSW 2795",Bondi,4,2,2,Penthouse,https://www.domain.com.au/property/bondi/penthouse-18,domain.com.au
"From $3,736,800",3736800.0,"734 Park Ave, Bondi NSW 2056",Bondi,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bondi/apartment--unit--flat-19,realestateview.com.au
"Guide $3,118,875",3118875.0,"348 Edward St, Bondi NSW 2762",Bondi,0,1,4,Studio,https://www.rent.com.au/property/bondi/studio-20,rent.com.au
"$2,832,752 - $3,091,825",2832752.0,"982 James St, Bondi NSW 2612",Bondi,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bondi/apartment--unit--flat-21,realestate.com.au
"$3,418,412",3418412.0,"88 Albert St, Bondi NSW 2078",Bondi,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi/apartment--unit--flat-22,domain.com.au
"Guide $3,373,718",3373718.0,"158 Pacific Highway, Bondi NSW 2262",Bondi,3,4,0,Penthouse,https://www.realestate.com.au/property/bondi/penthouse-23,realestate.com.au
"$3,077,734",3077734.0,"893 Elizabeth St, Bondi NSW 2543",Bondi,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bondi/apartment--unit--flat-24,rent.com.au
