price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,726,774 - $1,982,240",1726774.0,"665 Pacific Highway, Bondi Beach NSW 2290",Bondi Beach,5,4,1,Penthouse,https://www.realestateview.com.au/property/bondi-beach/penthouse-0,realestateview.com.au
"Guide $1,785,855",1785855.0,"465 Princes Highway, Bondi Beach NSW 2625",Bondi Beach,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi-beach/apartment--unit--flat-1,domain.com.au
"Guide $907,032",907032.0,"323 The Boulevarde, Bondi Beach NSW 2501",Bondi Beach,4,2,1,Penthouse,https://www.realestate.com.au/property/bondi-beach/penthouse-2,realestate.com.au
"$2,368,178 ONO",2368178.0,"546 Main St, Bondi Beach NSW 2513",Bondi Beach,6,1,1,Villa,https://www.rent.com.au/property/bondi-beach/villa-3,rent.com.au
"$647,843",647843.0,"416 Railway St, Bondi Beach NSW 2958",Bondi Beach,5,3,1,Penthouse,https://www.rent.com.au/property/bondi-beach/penthouse-4,rent.com.au
"$1,164,930",1164930.0,"483 Railway St, Bondi Beach NSW 2515",Bondi Beach,6,3,2,Penthouse,https://www.rent.com.au/property/bondi-beach/penthouse-5,rent.com.au
"From $1,493,022",1493022.0,"84 James St, Bondi Beach NSW 2595",Bondi Beach,4,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/bondi-beach/apartment--unit--flat-6,realestate.com.au
"Guide $896,039",896039.0,"6 Church St, Bondi Beach NSW 2178",Bondi Beach,5,1,3,Villa,https://www.realestate.com.au/property/bondi-beach/villa-7,realestate.com.au
"From $972,795",972795.0,"511 Edward St, Bondi Beach NSW 2128",Bondi Beach,2,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/bondi-beach/apartment--unit--flat-8,realestate.com.au
"$983,481 ONO",983481.0,"217 Military Rd, Bondi Beach NSW 2551",Bondi Beach,2,1,1,Villa,https://www.realestateview.com.au/property/bondi-beach/villa-9,realestateview.com.au
"From $1,453,789",1453789.0,"486 Ocean Rd, Bondi Beach NSW 2958",Bondi Beach,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bondi-beach/apartment--unit--flat-10,rent.com.au
"Guide $2,205,521",2205521.0,"823 Pacific Highway, Bondi Beach NSW 2475",Bondi Beach,4,3,2,Townhouse,https://www.domain.com.au/property/bondi-beach/townhouse-11,domain.com.au
"$1,461,320 - $1,666,430",1461320.0,"912 James St, Bondi Beach NSW 2188",Bondi Beach,1,1,2,Villa,https://www.realestateview.com.au/property/bondi-beach/villa-12,realestateview.com.au
"Guide $531,543",531543.0,"76 Elizabeth St, Bondi Beach NSW 2670",Bondi Beach,4,4,1,Townhouse,https://www.realestateview.com.au/property/bondi-beach/townhouse-13,realestateview.com.au
"From $2,282,674",2282674.0,"45 King St, Bondi Beach NSW 2346",Bondi Beach,3,3,1,Penthouse,https://www.domain.com.au/property/bondi-beach/penthouse-14,domain.com.au
"From $2,170,947",2170947.0,"482 Beach Rd, Bondi Beach NSW 2526",Bondi Beach,1,2,0,House,https://www.domain.com.au/property/bondi-beach/house-15,domain.com.au
"$1,861,212",1861212.0,"959 Albert St, Bondi Beach NSW 2521",Bondi Beach,3,4,2,Villa,https://www.rent.com.au/property/bondi-beach/villa-16,rent.com.au
"$1,466,120",1466120.0,"284 Edward St, Bondi Beach NSW 2457",Bondi Beach,5,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi-beach/apartment--unit--flat-17,domain.com.au
"$2,331,549 - $2,529,350",2331549.0,"456 Main St, Bondi Beach NSW 2608",Bondi Beach,0,1,3,Studio,https://www.rent.com.au/property/bondi-beach/studio-18,rent.com.au
"Guide $1,973,122",1973122.0,"252 King St, Bondi Beach NSW 2313",Bondi Beach,1,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bondi-beach/apartment--unit--flat-19,rent.com.au
"From $990,728",990728.0,"674 King St, Bondi Beach NSW 2269",Bondi Beach,5,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi-beach/apartment--unit--flat-20,domain.com.au
"$708,908",708908.0,"717 William St, Bondi Beach NSW 2525",Bondi Beach,1,1,0,House,https://www.realestate.com.au/property/bondi-beach/house-21,realestate.com.au
"$1,267,621 ONO",1267621.0,"246 Railway St, Bondi Beach NSW 2287",Bondi Beach,0,1,2,Studio,https://www.rent.com.au/property/bondi-beach/studio-22,rent.com.au
"From $1,668,693",1668693.0,"465 Railway St, Bondi Beach NSW 2309",Bondi Beach,3,4,3,Townhouse,https://www.realestate.com.au/property/bondi-beach/townhouse-23,realestate.com.au
