price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,012,938 - $1,126,963",1012938.0,"870 Military Rd, Bondi Junction NSW 2166",Bondi Junction,2,2,2,House,https://www.rent.com.au/property/bondi-junction/house-0,rent.com.au
"$938,696 - $1,179,756",938696.0,"874 Pacific Highway, Bondi Junction NSW 2305",Bondi Junction,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi-junction/apartment--unit--flat-1,domain.com.au
"$1,858,458",1858458.0,"181 The Boulevarde, Bondi Junction NSW 2254",Bondi Junction,5,2,0,Townhouse,https://www.realestate.com.au/property/bondi-junction/townhouse-2,realestate.com.au
"Guide $1,860,462",1860462.0,"718 Church St, Bondi Junction NSW 2692",Bondi Junction,5,2,2,Penthouse,https://www.realestate.com.au/property/bondi-junction/penthouse-4,realestate.com.au
"$873,228 ONO",873228.0,"359 James St, Bondi Junction NSW 2745",Bondi Junction,0,1,0,Studio,https://www.domain.com.au/property/bondi-junction/studio-5,domain.com.au
"$1,884,450",1884450.0,"26 King St, Bondi Junction NSW 2017",Bondi Junction,5,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bondi-junction/apartment--unit--flat-6,domain.com.au
"$1,629,312",1629312.0,"864 High St, Bondi Junction NSW 2243",Bondi Junction,0,1,0,Studio,https://www.domain.com.au/property/bondi-junction/studio-7,domain.com.au
"$1,843,411 - $2,107,202",1843411.0,"780 Market St, Bondi Junction NSW 2528",Bondi Junction,6,4,2,Penthouse,https://www.realestateview.com.au/property/bondi-junction/penthouse-8,realestateview.com.au
"$1,871,910 ONO",1871910.0,"4 Main St, Bondi Junction NSW 2317",Bondi Junction,2,1,1,Villa,https://www.rent.com.au/property/bondi-junction/villa-10,rent.com.au
"Guide $2,046,855",2046855.0,"355 Market St, Bondi Junction NSW 2157",Bondi Junction,6,2,1,Penthouse,https://www.domain.com.au/property/bondi-junction/penthouse-11,domain.com.au
"From $1,889,248",1889248.0,"339 The Boulevarde, Bondi Junction NSW 2682",Bondi Junction,0,1,2,Studio,https://www.rent.com.au/property/bondi-junction/studio-12,rent.com.au
"$964,095 - $1,054,873",964095.0,"44 Beach Rd, Bondi Junction NSW 2679",Bondi Junction,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bondi-junction/apartment--unit--flat-15,realestateview.com.au
"From $530,442",530442.0,"980 High St, Bondi Junction NSW 2558",Bondi Junction,1,2,3,Townhouse,https://www.realestate.com.au/property/bondi-junction/townhouse-16,realestate.com.au
"Guide $1,521,565",1521565.0,"211 The Boulevarde, Bondi Junction NSW 2382",Bondi Junction,5,1,0,House,https://www.domain.com.au/property/bondi-junction/house-17,domain.com.au
"$2,099,190 - $2,243,694",2099190.0,"454 The Boulevarde, Bondi Junction NSW 2997",Bondi Junction,3,1,3,Villa,https://www.domain.com.au/property/bondi-junction/villa-18,domain.com.au
"$2,081,412",2081412.0,"274 Park Ave, Bondi Junction NSW 2362",Bondi Junction,4,2,1,Townhouse,https://www.realestate.com.au/property/bondi-junction/townhouse-19,realestate.com.au
"$1,458,605 ONO",1458605.0,"220 Elizabeth St, Bondi Junction NSW 2094",Bondi Junction,0,1,0,Studio,https://www.realestateview.com.au/property/bondi-junction/studio-20,realestateview.com.au
"$1,888,842 ONO",1888842.0,"137 King St, Bondi Junction NSW 2333",Bondi Junction,0,1,1,Studio,https://www.rent.com.au/property/bondi-junction/studio-22,rent.com.au
"$700,482 ONO",700482.0,"783 Pacific Highway, Bondi Junction NSW 2985",Bondi Junction,3,4,0,House,https://www.domain.com.au/property/bondi-junction/house-23,domain.com.au
"$2,365,153",2365153.0,"762 Princes Highway, Bondi Junction NSW 2495",Bondi Junction,0,1,4,Studio,https://www.realestate.com.au/property/bondi-junction/studio-24,realestate.com.au
