price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,433,278",1433278.0,"171 Queen St, Bonnet Bay NSW 2479",Bonnet Bay,4,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/bonnet-bay/apartment--unit--flat-0,domain.com.au
"$1,027,489 - $1,137,470",1027489.0,"815 Ocean Rd, Bonnet Bay NSW 2559",Bonnet Bay,0,1,2,Studio,https://www.rent.com.au/property/bonnet-bay/studio-2,rent.com.au
"Guide $935,282",935282.0,"314 Victoria St, Bonnet Bay NSW 2689",Bonnet Bay,2,1,1,House,https://www.realestateview.com.au/property/bonnet-bay/house-3,realestateview.com.au
"$1,739,718",1739718.0,"140 Ocean Rd, Bonnet Bay NSW 2022",Bonnet Bay,4,4,4,Penthouse,https://www.domain.com.au/property/bonnet-bay/penthouse-4,domain.com.au
"From $1,179,584",1179584.0,"922 Military Rd, Bonnet Bay NSW 2519",Bonnet Bay,0,1,1,Studio,https://www.realestateview.com.au/property/bonnet-bay/studio-5,realestateview.com.au
"Guide $2,157,541",2157541.0,"181 Victoria St, Bonnet Bay NSW 2675",Bonnet Bay,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/bonnet-bay/apartment--unit--flat-6,rent.com.au
"$1,057,184 - $1,351,020",1057184.0,"994 Ocean Rd, Bonnet Bay NSW 2807",Bonnet Bay,3,2,0,Villa,https://www.realestate.com.au/property/bonnet-bay/villa-7,realestate.com.au
"$2,342,324 - $2,608,271",2342324.0,"596 The Boulevarde, Bonnet Bay NSW 2737",Bonnet Bay,0,1,0,Studio,https://www.realestate.com.au/property/bonnet-bay/studio-8,realestate.com.au
"Guide $1,583,281",1583281.0,"681 Albert St, Bonnet Bay NSW 2613",Bonnet Bay,6,4,0,Penthouse,https://www.rent.com.au/property/bonnet-bay/penthouse-9,rent.com.au
"$2,180,333 - $2,448,253",2180333.0,"735 Victoria St, Bonnet Bay NSW 2836",Bonnet Bay,6,3,1,Penthouse,https://www.realestate.com.au/property/bonnet-bay/penthouse-11,realestate.com.au
"From $566,319",566319.0,"684 Ocean Rd, Bonnet Bay NSW 2010",Bonnet Bay,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/bonnet-bay/apartment--unit--flat-13,rent.com.au
"From $895,333",895333.0,"846 Beach Rd, Bonnet Bay NSW 2040",Bonnet Bay,0,1,2,Studio,https://www.rent.com.au/property/bonnet-bay/studio-14,rent.com.au
"$2,403,837 ONO",2403837.0,"635 Ocean Rd, Bonnet Bay NSW 2203",Bonnet Bay,0,1,1,Studio,https://www.realestate.com.au/property/bonnet-bay/studio-15,realestate.com.au
"Guide $2,042,311",2042311.0,"895 Victoria St, Bonnet Bay NSW 2993",Bonnet Bay,2,3,1,Townhouse,https://www.realestateview.com.au/property/bonnet-bay/townhouse-16,realestateview.com.au
"From $653,367",653367.0,"386 Elizabeth St, Bonnet Bay NSW 2372",Bonnet Bay,3,2,2,Villa,https://www.domain.com.au/property/bonnet-bay/villa-17,domain.com.au
"$1,081,687 - $1,252,149",1081687.0,"656 The Boulevarde, Bonnet Bay NSW 2312",Bonnet Bay,2,3,1,House,https://www.realestate.com.au/property/bonnet-bay/house-19,realestate.com.au
"Guide $1,015,712",1015712.0,"501 James St, Bonnet Bay NSW 2494",Bonnet Bay,3,4,2,Villa,https://www.realestateview.com.au/property/bonnet-bay/villa-20,realestateview.com.au
"$1,749,707 - $1,807,973",1749707.0,"609 James St, Bonnet Bay NSW 2782",Bonnet Bay,2,3,0,Villa,https://www.realestate.com.au/property/bonnet-bay/villa-21,realestate.com.au
"$1,827,543 ONO",1827543.0,"398 Railway St, Bonnet Bay NSW 2112",Bonnet Bay,4,2,0,House,https://www.realestate.com.au/property/bonnet-bay/house-22,realestate.com.au
"$2,001,561 - $2,217,647",2001561.0,"181 James St, Bonnet Bay NSW 2773",Bonnet Bay,3,3,4,Townhouse,https://www.rent.com.au/property/bonnet-bay/townhouse-23,rent.com.au
"$2,099,435 ONO",2099435.0,"614 Princes Highway, Bonnet Bay NSW 2733",Bonnet Bay,3,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bonnet-bay/apartment--unit--flat-24,realestateview.com.au
