price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,290,353 ONO",2290353.0,"101 Main St, Bossley Park NSW 2202",Bossley Park,6,2,2,Penthouse,https://www.rent.com.au/property/bossley-park/penthouse-0,rent.com.au
"$2,204,608 ONO",2204608.0,"651 Park Ave, Bossley Park NSW 2055",Bossley Park,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/bossley-park/apartment--unit--flat-1,realestate.com.au
"From $1,081,176",1081176.0,"876 Market St, Bossley Park NSW 2746",Bossley Park,0,1,2,Studio,https://www.domain.com.au/property/bossley-park/studio-2,domain.com.au
"From $743,995",743995.0,"196 King St, Bossley Park NSW 2176",Bossley Park,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/bossley-park/apartment--unit--flat-3,realestate.com.au
"$684,390 - $857,718",684390.0,"160 Railway St, Bossley Park NSW 2398",Bossley Park,0,1,0,Studio,https://www.domain.com.au/property/bossley-park/studio-4,domain.com.au
"$1,468,577 - $1,661,730",1468577.0,"563 Edward St, Bossley Park NSW 2880",Bossley Park,6,4,3,Penthouse,https://www.domain.com.au/property/bossley-park/penthouse-5,domain.com.au
"$585,970 ONO",585970.0,"136 Market St, Bossley Park NSW 2492",Bossley Park,3,4,1,House,https://www.rent.com.au/property/bossley-park/house-6,rent.com.au
"$1,094,114 ONO",1094114.0,"367 The Boulevarde, Bossley Park NSW 2563",Bossley Park,2,3,1,Townhouse,https://www.realestateview.com.au/property/bossley-park/townhouse-7,realestateview.com.au
"$659,200 - $848,979",659200.0,"260 Ocean Rd, Bossley Park NSW 2981",Bossley Park,3,2,2,Penthouse,https://www.domain.com.au/property/bossley-park/penthouse-8,domain.com.au
"From $1,104,612",1104612.0,"632 Pacific Highway, Bossley Park NSW 2406",Bossley Park,4,4,2,Penthouse,https://www.realestate.com.au/property/bossley-park/penthouse-10,realestate.com.au
"$2,253,132 ONO",2253132.0,"663 Beach Rd, Bossley Park NSW 2744",Bossley Park,3,1,2,Townhouse,https://www.domain.com.au/property/bossley-park/townhouse-11,domain.com.au
"$2,152,874 ONO",2152874.0,"465 Princes Highway, Bossley Park NSW 2058",Bossley Park,1,2,2,House,https://www.realestate.com.au/property/bossley-park/house-12,realestate.com.au
"$1,411,322 ONO",1411322.0,"79 The Boulevarde, Bossley Park NSW 2109",Bossley Park,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bossley-park/apartment--unit--flat-13,realestateview.com.au
"$1,058,943",1058943.0,"884 William St, Bossley Park NSW 2614",Bossley Park,4,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bossley-park/apartment--unit--flat-14,domain.com.au
"Guide $1,081,014",1081014.0,"11 George St, Bossley Park NSW 2708",Bossley Park,3,3,4,Villa,https://www.domain.com.au/property/bossley-park/villa-15,domain.com.au
"$1,238,509",1238509.0,"53 Main St, Bossley Park NSW 2781",Bossley Park,3,2,0,Penthouse,https://www.domain.com.au/property/bossley-park/penthouse-17,domain.com.au
"Guide $2,093,637",2093637.0,"491 Princes Highway, Bossley Park NSW 2004",Bossley Park,2,2,0,Townhouse,https://www.realestateview.com.au/property/bossley-park/townhouse-19,realestateview.com.au
"Guide $1,588,044",1588044.0,"4 King St, Bossley Park NSW 2744",Bossley Park,5,1,1,Townhouse,https://www.realestateview.com.au/property/bossley-park/townhouse-20,realestateview.com.au
"From $844,484",844484.0,"595 Military Rd, Bossley Park NSW 2220",Bossley Park,6,4,4,Penthouse,https://www.domain.com.au/property/bossley-park/penthouse-21,domain.com.au
"Guide $1,569,019",1569019.0,"665 Beach Rd, Bossley Park NSW 2995",Bossley Park,5,1,0,Villa,https://www.realestate.com.au/property/bossley-park/villa-23,realestate.com.au
"$1,369,052",1369052.0,"62 Park Ave, Bossley Park NSW 2964",Bossley Park,0,1,0,Studio,https://www.realestate.com.au/property/bossley-park/studio-24,realestate.com.au
