price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,925,776 - $1,981,779",1925776.0,"821 Pacific Highway, Botany NSW 2196",Botany,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/botany/apartment--unit--flat-0,realestate.com.au
"Guide $2,368,410",2368410.0,"1 The Boulevarde, Botany NSW 2837",Botany,1,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/botany/apartment--unit--flat-1,rent.com.au
"From $721,405",721405.0,"802 The Boulevarde, Botany NSW 2427",Botany,3,4,1,Penthouse,https://www.domain.com.au/property/botany/penthouse-2,domain.com.au
"From $1,780,505",1780505.0,"534 King St, Botany NSW 2147",Botany,0,1,2,Studio,https://www.realestate.com.au/property/botany/studio-3,realestate.com.au
"Guide $1,100,464",1100464.0,"240 Church St, Botany NSW 2170",Botany,0,1,0,Studio,https://www.realestate.com.au/property/botany/studio-4,realestate.com.au
"$829,348 - $948,814",829348.0,"708 Princes Highway, Botany NSW 2375",Botany,3,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/botany/apartment--unit--flat-5,realestate.com.au
"$1,298,594",1298594.0,"875 The Boulevarde, Botany NSW 2788",Botany,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/botany/apartment--unit--flat-6,rent.com.au
"From $1,225,574",1225574.0,"217 Queen St, Botany NSW 2252",Botany,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/botany/apartment--unit--flat-7,rent.com.au
"$1,545,440 - $1,792,804",1545440.0,"215 Elizabeth St, Botany NSW 2738",Botany,0,1,3,Studio,https://www.realestateview.com.au/property/botany/studio-8,realestateview.com.au
"$1,118,450",1118450.0,"124 King St, Botany NSW 2944",Botany,3,3,1,House,https://www.realestateview.com.au/property/botany/house-9,realestateview.com.au
"Guide $556,978",556978.0,"971 Military Rd, Botany NSW 2802",Botany,4,2,1,Penthouse,https://www.domain.com.au/property/botany/penthouse-10,domain.com.au
"$907,643 - $977,516",907643.0,"257 Queen St, Botany NSW 2660",Botany,1,1,0,Townhouse,https://www.realestate.com.au/property/botany/townhouse-11,realestate.com.au
"$2,032,852",2032852.0,"212 James St, Botany NSW 2549",Botany,2,2,1,Villa,https://www.domain.com.au/property/botany/villa-13,domain.com.au
"$2,387,816",2387816.0,"29 Albert St, Botany NSW 2393",Botany,5,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/botany/apartment--unit--flat-14,domain.com.au
"$1,392,480 ONO",1392480.0,"678 Main St, Botany NSW 2650",Botany,0,1,0,Studio,https://www.domain.com.au/property/botany/studio-15,domain.com.au
"Guide $1,245,261",1245261.0,"494 George St, Botany NSW 2417",Botany,4,2,1,Penthouse,https://www.realestate.com.au/property/botany/penthouse-16,realestate.com.au
"$795,142 ONO",795142.0,"501 High St, Botany NSW 2089",Botany,3,2,0,Villa,https://www.realestateview.com.au/property/botany/villa-17,realestateview.com.au
"$760,667 ONO",760667.0,"195 Pacific Highway, Botany NSW 2616",Botany,0,1,0,Studio,https://www.rent.com.au/property/botany/studio-18,rent.com.au
"$1,016,223",1016223.0,"469 High St, Botany NSW 2044",Botany,2,1,1,Townhouse,https://www.realestateview.com.au/property/botany/townhouse-19,realestateview.com.au
"$1,540,007",1540007.0,"562 Church St, Botany NSW 2488",Botany,1,1,2,House,https://www.realestateview.com.au/property/botany/house-20,realestateview.com.au
"$2,210,898 - $2,452,803",2210898.0,"931 Elizabeth St, Botany NSW 2561",Botany,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/botany/apartment--unit--flat-21,realestate.com.au
"From $1,852,629",1852629.0,"52 William St, Botany NSW 2061",Botany,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/botany/apartment--unit--flat-22,realestateview.com.au
"$1,080,628",1080628.0,"770 Market St, Botany NSW 2117",Botany,3,4,1,Villa,https://www.rent.com.au/property/botany/villa-23,rent.com.au
"$1,376,227 - $1,482,086",1376227.0,"842 Park Ave, Botany NSW 2561",Botany,4,4,2,House,https://www.domain.com.au/property/botany/house-24,domain.com.au
