price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,875,954",1875954.0,"624 Church St, Breakfast Point NSW 2329",Breakfast Point,4,1,1,House,https://www.domain.com.au/property/breakfast-point/house-0,domain.com.au
"From $676,440",676440.0,"868 James St, Breakfast Point NSW 2976",Breakfast Point,4,2,3,Penthouse,https://www.domain.com.au/property/breakfast-point/penthouse-1,domain.com.au
"$2,056,613",2056613.0,"917 Railway St, Breakfast Point NSW 2817",Breakfast Point,4,3,2,Townhouse,https://www.realestateview.com.au/property/breakfast-point/townhouse-2,realestateview.com.au
"Guide $1,472,189",1472189.0,"813 William St, Breakfast Point NSW 2818",Breakfast Point,2,2,2,Townhouse,https://www.rent.com.au/property/breakfast-point/townhouse-3,rent.com.au
"$1,196,941 ONO",1196941.0,"280 Railway St, Breakfast Point NSW 2608",Breakfast Point,2,2,3,House,https://www.realestate.com.au/property/breakfast-point/house-4,realestate.com.au
"Guide $2,248,336",2248336.0,"419 Main St, Breakfast Point NSW 2261",Breakfast Point,4,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/breakfast-point/apartment--unit--flat-5,domain.com.au
"From $2,362,354",2362354.0,"163 Park Ave, Breakfast Point NSW 2194",Breakfast Point,5,2,2,Townhouse,https://www.realestate.com.au/property/breakfast-point/townhouse-6,realestate.com.au
"$2,284,359",2284359.0,"571 The Boulevarde, Breakfast Point NSW 2536",Breakfast Point,4,1,1,House,https://www.rent.com.au/property/breakfast-point/house-7,rent.com.au
"From $1,809,957",1809957.0,"395 Beach Rd, Breakfast Point NSW 2317",Breakfast Point,5,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/breakfast-point/apartment--unit--flat-8,domain.com.au
"Guide $2,399,827",2399827.0,"318 Ocean Rd, Breakfast Point NSW 2954",Breakfast Point,3,3,3,Penthouse,https://www.domain.com.au/property/breakfast-point/penthouse-9,domain.com.au
"$1,769,790",1769790.0,"342 Albert St, Breakfast Point NSW 2363",Breakfast Point,3,3,2,Villa,https://www.realestate.com.au/property/breakfast-point/villa-10,realestate.com.au
"$1,769,903",1769903.0,"53 The Boulevarde, Breakfast Point NSW 2082",Breakfast Point,4,2,2,Villa,https://www.rent.com.au/property/breakfast-point/villa-11,rent.com.au
"Guide $1,998,707",1998707.0,"397 Queen St, Breakfast Point NSW 2526",Breakfast Point,1,1,3,House,https://www.realestate.com.au/property/breakfast-point/house-12,realestate.com.au
"Guide $1,002,116",1002116.0,"345 George St, Breakfast Point NSW 2118",Breakfast Point,3,4,2,House,https://www.domain.com.au/property/breakfast-point/house-13,domain.com.au
"Guide $596,020",596020.0,"491 Military Rd, Breakfast Point NSW 2513",Breakfast Point,3,2,2,Villa,https://www.realestate.com.au/property/breakfast-point/villa-14,realestate.com.au
"$1,561,854",1561854.0,"193 Ocean Rd, Breakfast Point NSW 2953",Breakfast Point,2,1,1,Villa,https://www.realestate.com.au/property/breakfast-point/villa-15,realestate.com.au
"From $2,155,755",2155755.0,"921 Park Ave, Breakfast Point NSW 2461",Breakfast Point,1,1,1,Townhouse,https://www.rent.com.au/property/breakfast-point/townhouse-16,rent.com.au
"From $1,459,719",1459719.0,"140 King St, Breakfast Point NSW 2881",Breakfast Point,0,1,1,Studio,https://www.realestate.com.au/property/breakfast-point/studio-17,realestate.com.au
"$1,258,996 ONO",1258996.0,"465 Ocean Rd, Breakfast Point NSW 2908",Breakfast Point,0,1,0,Studio,https://www.domain.com.au/property/breakfast-point/studio-18,domain.com.au
"$1,156,316 - $1,250,837",1156316.0,"675 Market St, Breakfast Point NSW 2083",Breakfast Point,5,2,1,Penthouse,https://www.realestateview.com.au/property/breakfast-point/penthouse-19,realestateview.com.au
"$697,844 - $887,515",697844.0,"955 The Boulevarde, Breakfast Point NSW 2499",Breakfast Point,3,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/breakfast-point/apartment--unit--flat-20,realestateview.com.au
"$1,583,403 ONO",1583403.0,"492 Market St, Breakfast Point NSW 2917",Breakfast Point,1,1,1,Townhouse,https://www.realestateview.com.au/property/breakfast-point/townhouse-21,realestateview.com.au
"$1,642,447",1642447.0,"681 James St, Breakfast Point NSW 2225",Breakfast Point,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/breakfast-point/apartment--unit--flat-22,domain.com.au
"$1,755,212",1755212.0,"78 The Boulevarde, Breakfast Point NSW 2965",Breakfast Point,4,2,1,House,https://www.realestateview.com.au/property/breakfast-point/house-23,realestateview.com.au
"$1,347,984 ONO",1347984.0,"708 George St, Breakfast Point NSW 2116",Breakfast Point,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/breakfast-point/apartment--unit--flat-24,rent.com.au
