price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $818,943",818943.0,"168 Ocean Rd, Brighton-Le-Sands NSW 2748",Brighton-Le-Sands,1,2,2,House,https://www.domain.com.au/property/brighton-le-sands/house-0,domain.com.au
"Guide $2,043,032",2043032.0,"65 Edward St, Brighton-Le-Sands NSW 2691",Brighton-Le-Sands,6,4,1,Penthouse,https://www.rent.com.au/property/brighton-le-sands/penthouse-1,rent.com.au
"Guide $2,016,214",2016214.0,"190 Victoria St, Brighton-Le-Sands NSW 2445",Brighton-Le-Sands,2,2,4,Townhouse,https://www.domain.com.au/property/brighton-le-sands/townhouse-2,domain.com.au
"Guide $1,166,021",1166021.0,"693 Elizabeth St, Brighton-Le-Sands NSW 2440",Brighton-Le-Sands,2,3,2,Townhouse,https://www.realestateview.com.au/property/brighton-le-sands/townhouse-3,realestateview.com.au
"From $1,942,726",1942726.0,"923 Railway St, Brighton-Le-Sands NSW 2209",Brighton-Le-Sands,0,1,2,Studio,https://www.domain.com.au/property/brighton-le-sands/studio-4,domain.com.au
"$1,354,473",1354473.0,"377 William St, Brighton-Le-Sands NSW 2963",Brighton-Le-Sands,3,1,3,House,https://www.realestateview.com.au/property/brighton-le-sands/house-5,realestateview.com.au
"$1,570,673",1570673.0,"749 The Boulevarde, Brighton-Le-Sands NSW 2856",Brighton-Le-Sands,5,4,0,Penthouse,https://www.rent.com.au/property/brighton-le-sands/penthouse-7,rent.com.au
"$1,246,517",1246517.0,"352 James St, Brighton-Le-Sands NSW 2911",Brighton-Le-Sands,0,1,0,Studio,https://www.rent.com.au/property/brighton-le-sands/studio-8,rent.com.au
"From $905,280",905280.0,"1 Park Ave, Brighton-Le-Sands NSW 2892",Brighton-Le-Sands,4,3,0,Villa,https://www.rent.com.au/property/brighton-le-sands/villa-9,rent.com.au
"Guide $1,364,213",1364213.0,"970 Queen St, Brighton-Le-Sands NSW 2245",Brighton-Le-Sands,4,1,0,Townhouse,https://www.rent.com.au/property/brighton-le-sands/townhouse-10,rent.com.au
"$2,059,972 - $2,241,901",2059972.0,"640 Church St, Brighton-Le-Sands NSW 2351",Brighton-Le-Sands,5,2,2,Villa,https://www.rent.com.au/property/brighton-le-sands/villa-11,rent.com.au
"$1,300,850 - $1,557,466",1300850.0,"899 Main St, Brighton-Le-Sands NSW 2039",Brighton-Le-Sands,0,1,0,Studio,https://www.domain.com.au/property/brighton-le-sands/studio-13,domain.com.au
"$1,180,969 ONO",1180969.0,"509 Victoria St, Brighton-Le-Sands NSW 2393",Brighton-Le-Sands,5,4,0,Penthouse,https://www.realestateview.com.au/property/brighton-le-sands/penthouse-14,realestateview.com.au
"$1,320,524 - $1,401,162",1320524.0,"215 Railway St, Brighton-Le-Sands NSW 2178",Brighton-Le-Sands,2,2,4,Villa,https://www.realestate.com.au/property/brighton-le-sands/villa-15,realestate.com.au
"$2,234,341 - $2,511,209",2234341.0,"42 Edward St, Brighton-Le-Sands NSW 2716",Brighton-Le-Sands,0,1,1,Studio,https://www.domain.com.au/property/brighton-le-sands/studio-16,domain.com.au
"Guide $1,672,389",1672389.0,"396 George St, Brighton-Le-Sands NSW 2938",Brighton-Le-Sands,4,1,2,House,https://www.realestateview.com.au/property/brighton-le-sands/house-17,realestateview.com.au
"From $1,639,407",1639407.0,"216 Princes Highway, Brighton-Le-Sands NSW 2035",Brighton-Le-Sands,3,3,0,Townhouse,https://www.realestateview.com.au/property/brighton-le-sands/townhouse-18,realestateview.com.au
"$867,074 - $1,090,797",867074.0,"547 Church St, Brighton-Le-Sands NSW 2814",Brighton-Le-Sands,3,3,3,Townhouse,https://www.rent.com.au/property/brighton-le-sands/townhouse-19,rent.com.au
"$662,864 ONO",662864.0,"597 George St, Brighton-Le-Sands NSW 2668",Brighton-Le-Sands,5,1,2,Villa,https://www.realestate.com.au/property/brighton-le-sands/villa-20,realestate.com.au
"$1,432,740 ONO",1432740.0,"904 The Boulevarde, Brighton-Le-Sands NSW 2806",Brighton-Le-Sands,5,4,1,Penthouse,https://www.realestate.com.au/property/brighton-le-sands/penthouse-21,realestate.com.au
"Guide $1,458,276",1458276.0,"329 Main St, Brighton-Le-Sands NSW 2359",Brighton-Le-Sands,1,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/brighton-le-sands/apartment--unit--flat-22,realestate.com.au
"Guide $1,587,427",1587427.0,"185 Princes Highway, Brighton-Le-Sands NSW 2490",Brighton-Le-Sands,3,1,1,House,https://www.domain.com.au/property/brighton-le-sands/house-23,domain.com.au
