price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,188,439",3188439.0,"921 Market St, Bronte NSW 2403",Bronte,0,1,1,Studio,https://www.realestate.com.au/property/bronte/studio-0,realestate.com.au
"From $1,346,706",1346706.0,"874 James St, Bronte NSW 2844",Bronte,1,1,1,Villa,https://www.realestateview.com.au/property/bronte/villa-2,realestateview.com.au
"$3,767,332 ONO",3767332.0,"257 Ocean Rd, Bronte NSW 2816",Bronte,1,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/bronte/apartment--unit--flat-3,rent.com.au
"Guide $1,367,184",1367184.0,"769 Pacific Highway, Bronte NSW 2271",Bronte,0,1,2,Studio,https://www.realestateview.com.au/property/bronte/studio-4,realestateview.com.au
"From $1,299,043",1299043.0,"352 Market St, Bronte NSW 2465",Bronte,1,2,2,House,https://www.domain.com.au/property/bronte/house-5,domain.com.au
"$2,156,033",2156033.0,"717 Main St, Bronte NSW 2761",Bronte,3,3,3,Penthouse,https://www.domain.com.au/property/bronte/penthouse-6,domain.com.au
"Guide $2,818,992",2818992.0,"742 Victoria St, Bronte NSW 2627",Bronte,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bronte/apartment--unit--flat-7,rent.com.au
"$1,493,104",1493104.0,"860 Market St, Bronte NSW 2998",Bronte,0,1,0,Studio,https://www.domain.com.au/property/bronte/studio-9,domain.com.au
"$3,349,123",3349123.0,"347 Park Ave, Bronte NSW 2829",Bronte,1,2,0,Villa,https://www.rent.com.au/property/bronte/villa-10,rent.com.au
"$935,515 ONO",935515.0,"198 Beach Rd, Bronte NSW 2666",Bronte,4,4,1,Penthouse,https://www.domain.com.au/property/bronte/penthouse-11,domain.com.au
"$3,527,631 ONO",3527631.0,"563 Queen St, Bronte NSW 2763",Bronte,1,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/bronte/apartment--unit--flat-12,realestate.com.au
"$842,656 - $1,081,782",842656.0,"870 James St, Bronte NSW 2151",Bronte,5,2,2,Penthouse,https://www.rent.com.au/property/bronte/penthouse-13,rent.com.au
"$2,941,689 ONO",2941689.0,"300 Pacific Highway, Bronte NSW 2079",Bronte,5,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/bronte/apartment--unit--flat-14,realestateview.com.au
"$2,943,609",2943609.0,"691 Pacific Highway, Bronte NSW 2475",Bronte,3,2,1,Villa,https://www.realestate.com.au/property/bronte/villa-15,realestate.com.au
"$3,596,304 ONO",3596304.0,"639 Victoria St, Bronte NSW 2208",Bronte,0,1,1,Studio,https://www.realestate.com.au/property/bronte/studio-16,realestate.com.au
"$2,728,028 ONO",2728028.0,"712 William St, Bronte NSW 2498",Bronte,3,3,1,Penthouse,https://www.domain.com.au/property/bronte/penthouse-17,domain.com.au
"$2,417,375 ONO",2417375.0,"667 George St, Bronte NSW 2084",Bronte,0,1,0,Studio,https://www.domain.com.au/property/bronte/studio-18,domain.com.au
"From $2,640,140",2640140.0,"254 Beach Rd, Bronte NSW 2994",Bronte,0,1,0,Studio,https://www.rent.com.au/property/bronte/studio-19,rent.com.au
"$2,792,990 - $3,038,793",2792990.0,"711 Queen St, Bronte NSW 2723",Bronte,3,3,0,Penthouse,https://www.realestateview.com.au/property/bronte/penthouse-20,realestateview.com.au
"$2,653,959",2653959.0,"425 Ocean Rd, Bronte NSW 2880",Bronte,6,4,3,Penthouse,https://www.realestate.com.au/property/bronte/penthouse-21,realestate.com.au
"$2,495,733",2495733.0,"87 Main St, Bronte NSW 2353",Bronte,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/bronte/apartment--unit--flat-22,domain.com.au
"Guide $1,697,084",1697084.0,"427 James St, Bronte NSW 2077",Bronte,0,1,2,Studio,https://www.rent.com.au/property/bronte/studio-23,rent.com.au
"From $2,526,171",2526171.0,"739 Princes Highway, Bronte NSW 2531",Bronte,0,1,2,Studio,https://www.realestate.com.au/property/bronte/studio-24,realestate.com.au
