price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $761,644",761644.0,"528 Queen St, Bungan Beach NSW 2200",Bungan Beach,2,1,3,House,https://www.rent.com.au/property/bungan-beach/house-0,rent.com.au
"$1,933,507",1933507.0,"567 Edward St, Bungan Beach NSW 2256",Bungan Beach,1,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/bungan-beach/apartment--unit--flat-1,rent.com.au
"$693,830 - $964,467",693830.0,"139 Military Rd, Bungan Beach NSW 2144",Bungan Beach,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/bungan-beach/apartment--unit--flat-3,domain.com.au
"$727,156",727156.0,"753 Albert St, Bungan Beach NSW 2425",Bungan Beach,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/bungan-beach/apartment--unit--flat-4,realestate.com.au
"$2,004,741 ONO",2004741.0,"732 William St, Bungan Beach NSW 2042",Bungan Beach,6,2,2,Penthouse,https://www.realestateview.com.au/property/bungan-beach/penthouse-5,realestateview.com.au
"From $1,218,448",1218448.0,"986 Pacific Highway, Bungan Beach NSW 2463",Bungan Beach,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/bungan-beach/apartment--unit--flat-6,rent.com.au
"$2,136,523 - $2,291,357",2136523.0,"31 Pacific Highway, Bungan Beach NSW 2690",Bungan Beach,3,3,1,Penthouse,https://www.domain.com.au/property/bungan-beach/penthouse-7,domain.com.au
"$2,464,252 ONO",2464252.0,"875 Elizabeth St, Bungan Beach NSW 2457",Bungan Beach,4,3,0,Townhouse,https://www.realestate.com.au/property/bungan-beach/townhouse-8,realestate.com.au
"$2,335,600 - $2,527,716",2335600.0,"626 William St, Bungan Beach NSW 2974",Bungan Beach,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/bungan-beach/apartment--unit--flat-9,domain.com.au
"Guide $1,192,516",1192516.0,"784 Albert St, Bungan Beach NSW 2586",Bungan Beach,4,4,1,House,https://www.rent.com.au/property/bungan-beach/house-10,rent.com.au
"$1,319,740 - $1,387,434",1319740.0,"763 Albert St, Bungan Beach NSW 2863",Bungan Beach,0,1,1,Studio,https://www.domain.com.au/property/bungan-beach/studio-11,domain.com.au
"$2,472,494 ONO",2472494.0,"9 Elizabeth St, Bungan Beach NSW 2607",Bungan Beach,3,3,1,Penthouse,https://www.domain.com.au/property/bungan-beach/penthouse-12,domain.com.au
"$2,273,757 - $2,363,394",2273757.0,"791 Church St, Bungan Beach NSW 2676",Bungan Beach,0,1,0,Studio,https://www.realestate.com.au/property/bungan-beach/studio-13,realestate.com.au
"$857,297 - $943,999",857297.0,"201 High St, Bungan Beach NSW 2277",Bungan Beach,4,1,2,Townhouse,https://www.realestateview.com.au/property/bungan-beach/townhouse-15,realestateview.com.au
"Guide $951,597",951597.0,"43 Main St, Bungan Beach NSW 2550",Bungan Beach,6,4,2,Penthouse,https://www.realestateview.com.au/property/bungan-beach/penthouse-16,realestateview.com.au
"$2,022,792 ONO",2022792.0,"428 King St, Bungan Beach NSW 2866",Bungan Beach,2,1,1,Townhouse,https://www.realestate.com.au/property/bungan-beach/townhouse-17,realestate.com.au
"$2,158,743",2158743.0,"389 King St, Bungan Beach NSW 2828",Bungan Beach,0,1,0,Studio,https://www.rent.com.au/property/bungan-beach/studio-18,rent.com.au
"From $1,063,073",1063073.0,"886 Railway St, Bungan Beach NSW 2896",Bungan Beach,3,1,0,Villa,https://www.realestate.com.au/property/bungan-beach/villa-19,realestate.com.au
"$1,379,461 ONO",1379461.0,"353 Church St, Bungan Beach NSW 2222",Bungan Beach,0,1,1,Studio,https://www.domain.com.au/property/bungan-beach/studio-20,domain.com.au
"From $2,162,161",2162161.0,"67 George St, Bungan Beach NSW 2037",Bungan Beach,2,2,4,Townhouse,https://www.rent.com.au/property/bungan-beach/townhouse-21,rent.com.au
"$2,490,145 ONO",2490145.0,"235 George St, Bungan Beach NSW 2500",Bungan Beach,1,1,2,House,https://www.realestate.com.au/property/bungan-beach/house-22,realestate.com.au
"$804,822 - $963,007",804822.0,"927 The Boulevarde, Bungan Beach NSW 2303",Bungan Beach,2,3,1,House,https://www.rent.com.au/property/bungan-beach/house-23,rent.com.au
"$2,244,423 - $2,371,205",2244423.0,"298 Ocean Rd, Bungan Beach NSW 2814",Bungan Beach,3,1,2,Villa,https://www.domain.com.au/property/bungan-beach/villa-24,domain.com.au
