price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,443,008",1443008.0,"582 Railway St, Burraneer NSW 2342",Burraneer,0,1,1,Studio,https://www.rent.com.au/property/burraneer/studio-0,rent.com.au
"$2,033,469 ONO",2033469.0,"795 Princes Highway, Burraneer NSW 2355",Burraneer,3,1,2,Townhouse,https://www.domain.com.au/property/burraneer/townhouse-2,domain.com.au
"$1,961,542 ONO",1961542.0,"846 James St, Burraneer NSW 2074",Burraneer,4,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/burraneer/apartment--unit--flat-4,domain.com.au
"$1,304,658 ONO",1304658.0,"625 Victoria St, Burraneer NSW 2706",Burraneer,3,3,1,Villa,https://www.rent.com.au/property/burraneer/villa-5,rent.com.au
"$2,099,454 - $2,285,398",2099454.0,"924 High St, Burraneer NSW 2625",Burraneer,1,1,2,Townhouse,https://www.rent.com.au/property/burraneer/townhouse-6,rent.com.au
"$788,971 ONO",788971.0,"607 Market St, Burraneer NSW 2982",Burraneer,0,1,2,Studio,https://www.rent.com.au/property/burraneer/studio-7,rent.com.au
"$2,108,879 - $2,339,128",2108879.0,"44 Albert St, Burraneer NSW 2010",Burraneer,3,1,3,Townhouse,https://www.realestateview.com.au/property/burraneer/townhouse-8,realestateview.com.au
"$1,112,281",1112281.0,"336 Victoria St, Burraneer NSW 2305",Burraneer,4,3,0,Townhouse,https://www.realestate.com.au/property/burraneer/townhouse-9,realestate.com.au
"$2,346,728",2346728.0,"17 Ocean Rd, Burraneer NSW 2121",Burraneer,5,3,0,Penthouse,https://www.realestate.com.au/property/burraneer/penthouse-10,realestate.com.au
"Guide $1,717,151",1717151.0,"639 Edward St, Burraneer NSW 2632",Burraneer,2,2,1,Villa,https://www.rent.com.au/property/burraneer/villa-11,rent.com.au
"$906,289",906289.0,"296 Market St, Burraneer NSW 2067",Burraneer,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/burraneer/apartment--unit--flat-12,realestate.com.au
"$2,220,119",2220119.0,"213 Ocean Rd, Burraneer NSW 2449",Burraneer,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/burraneer/apartment--unit--flat-13,realestateview.com.au
"Guide $1,199,343",1199343.0,"518 William St, Burraneer NSW 2457",Burraneer,2,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/burraneer/apartment--unit--flat-14,realestateview.com.au
"$1,578,957 ONO",1578957.0,"789 Main St, Burraneer NSW 2553",Burraneer,3,4,3,House,https://www.realestateview.com.au/property/burraneer/house-15,realestateview.com.au
"Guide $1,579,508",1579508.0,"948 Queen St, Burraneer NSW 2992",Burraneer,0,1,0,Studio,https://www.realestateview.com.au/property/burraneer/studio-16,realestateview.com.au
"Guide $2,413,429",2413429.0,"158 Pacific Highway, Burraneer NSW 2879",Burraneer,6,2,0,Villa,https://www.domain.com.au/property/burraneer/villa-17,domain.com.au
"Guide $735,020",735020.0,"265 Military Rd, Burraneer NSW 2435",Burraneer,3,3,0,Penthouse,https://www.realestate.com.au/property/burraneer/penthouse-18,realestate.com.au
"Guide $2,475,827",2475827.0,"465 James St, Burraneer NSW 2286",Burraneer,3,1,0,House,https://www.domain.com.au/property/burraneer/house-19,domain.com.au
"Guide $1,075,157",1075157.0,"970 William St, Burraneer NSW 2968",Burraneer,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/burraneer/apartment--unit--flat-20,rent.com.au
"$1,292,406",1292406.0,"632 Princes Highway, Burraneer NSW 2061",Burraneer,3,4,4,Apartment / Unit / Flat,https://www.domain.com.au/property/burraneer/apartment--unit--flat-21,domain.com.au
"$1,106,108 - $1,247,361",1106108.0,"622 Elizabeth St, Burraneer NSW 2603",Burraneer,1,1,0,House,https://www.realestate.com.au/property/burraneer/house-22,realestate.com.au
"Guide $2,466,472",2466472.0,"259 Edward St, Burraneer NSW 2546",Burraneer,2,1,2,Townhouse,https://www.domain.com.au/property/burraneer/townhouse-23,domain.com.au
