price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,630,623 ONO",1630623.0,"459 Railway St, Cambridge Park NSW 2097",Cambridge Park,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/cambridge-park/apartment--unit--flat-0,realestate.com.au
"$2,462,088",2462088.0,"643 George St, Cambridge Park NSW 2728",Cambridge Park,4,2,2,Penthouse,https://www.realestateview.com.au/property/cambridge-park/penthouse-1,realestateview.com.au
"$538,712 ONO",538712.0,"606 George St, Cambridge Park NSW 2698",Cambridge Park,2,1,3,Villa,https://www.realestateview.com.au/property/cambridge-park/villa-2,realestateview.com.au
"$1,564,873",1564873.0,"760 Princes Highway, Cambridge Park NSW 2072",Cambridge Park,1,1,1,Townhouse,https://www.rent.com.au/property/cambridge-park/townhouse-3,rent.com.au
"$1,788,371",1788371.0,"865 Military Rd, Cambridge Park NSW 2450",Cambridge Park,1,2,0,House,https://www.domain.com.au/property/cambridge-park/house-4,domain.com.au
"$1,099,919",1099919.0,"403 Albert St, Cambridge Park NSW 2997",Cambridge Park,3,1,0,Villa,https://www.realestate.com.au/property/cambridge-park/villa-5,realestate.com.au
"$945,567 - $1,156,700",945567.0,"961 Railway St, Cambridge Park NSW 2239",Cambridge Park,3,2,2,Townhouse,https://www.realestate.com.au/property/cambridge-park/townhouse-6,realestate.com.au
"$1,638,797",1638797.0,"582 The Boulevarde, Cambridge Park NSW 2204",Cambridge Park,0,1,0,Studio,https://www.realestateview.com.au/property/cambridge-park/studio-7,realestateview.com.au
"$1,463,586 - $1,696,984",1463586.0,"606 Elizabeth St, Cambridge Park NSW 2737",Cambridge Park,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/cambridge-park/apartment--unit--flat-8,realestateview.com.au
"$1,180,360 ONO",1180360.0,"369 James St, Cambridge Park NSW 2155",Cambridge Park,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/cambridge-park/apartment--unit--flat-9,realestate.com.au
"$1,477,594 ONO",1477594.0,"39 George St, Cambridge Park NSW 2884",Cambridge Park,0,1,2,Studio,https://www.domain.com.au/property/cambridge-park/studio-10,domain.com.au
"From $1,619,959",1619959.0,"391 William St, Cambridge Park NSW 2529",Cambridge Park,3,4,0,House,https://www.rent.com.au/property/cambridge-park/house-11,rent.com.au
"$747,019 - $970,027",747019.0,"554 Elizabeth St, Cambridge Park NSW 2365",Cambridge Park,2,2,1,Villa,https://www.realestate.com.au/property/cambridge-park/villa-12,realestate.com.au
"$766,558",766558.0,"209 High St, Cambridge Park NSW 2731",Cambridge Park,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/cambridge-park/apartment--unit--flat-13,domain.com.au
"From $2,492,713",2492713.0,"758 Railway St, Cambridge Park NSW 2111",Cambridge Park,2,3,2,Villa,https://www.domain.com.au/property/cambridge-park/villa-14,domain.com.au
"$1,850,070 ONO",1850070.0,"388 Military Rd, Cambridge Park NSW 2678",Cambridge Park,1,2,4,Villa,https://www.realestateview.com.au/property/cambridge-park/villa-15,realestateview.com.au
"$1,339,197",1339197.0,"476 Church St, Cambridge Park NSW 2324",Cambridge Park,0,1,0,Studio,https://www.domain.com.au/property/cambridge-park/studio-16,domain.com.au
"Guide $1,430,062",1430062.0,"831 Church St, Cambridge Park NSW 2976",Cambridge Park,5,3,2,Penthouse,https://www.realestate.com.au/property/cambridge-park/penthouse-17,realestate.com.au
"$1,762,573",1762573.0,"743 Albert St, Cambridge Park NSW 2298",Cambridge Park,4,1,0,Villa,https://www.realestate.com.au/property/cambridge-park/villa-18,realestate.com.au
"$2,447,556 - $2,646,548",2447556.0,"274 High St, Cambridge Park NSW 2051",Cambridge Park,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/cambridge-park/apartment--unit--flat-19,rent.com.au
"$1,731,262",1731262.0,"670 Railway St, Cambridge Park NSW 2848",Cambridge Park,4,4,1,House,https://www.realestate.com.au/property/cambridge-park/house-20,realestate.com.au
"Guide $2,047,467",2047467.0,"244 Beach Rd, Cambridge Park NSW 2736",Cambridge Park,0,1,3,Studio,https://www.domain.com.au/property/cambridge-park/studio-21,domain.com.au
"$1,385,018 - $1,440,192",1385018.0,"701 The Boulevarde, Cambridge Park NSW 2827",Cambridge Park,4,1,3,Townhouse,https://www.domain.com.au/property/cambridge-park/townhouse-22,domain.com.au
"$2,155,939",2155939.0,"629 Beach Rd, Cambridge Park NSW 2136",Cambridge Park,3,1,1,House,https://www.domain.com.au/property/cambridge-park/house-23,domain.com.au
"Guide $2,287,518",2287518.0,"41 Market St, Cambridge Park NSW 2796",Cambridge Park,4,3,1,Townhouse,https://www.realestate.com.au/property/cambridge-park/townhouse-24,realestate.com.au
