price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,606,690",1606690.0,"87 Princes Highway, Camellia NSW 2555",Camellia,1,2,0,Villa,https://www.domain.com.au/property/camellia/villa-0,domain.com.au
"Guide $1,049,040",1049040.0,"656 William St, Camellia NSW 2964",Camellia,0,1,0,Studio,https://www.domain.com.au/property/camellia/studio-1,domain.com.au
"From $2,054,721",2054721.0,"906 Queen St, Camellia NSW 2460",Camellia,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/camellia/apartment--unit--flat-2,realestate.com.au
"$1,106,857",1106857.0,"629 King St, Camellia NSW 2097",Camellia,6,4,2,Penthouse,https://www.realestateview.com.au/property/camellia/penthouse-3,realestateview.com.au
"Guide $2,136,991",2136991.0,"54 Queen St, Camellia NSW 2921",Camellia,0,1,1,Studio,https://www.rent.com.au/property/camellia/studio-4,rent.com.au
"$2,416,128 ONO",2416128.0,"711 Beach Rd, Camellia NSW 2548",Camellia,3,4,2,Villa,https://www.realestate.com.au/property/camellia/villa-5,realestate.com.au
"From $1,806,848",1806848.0,"659 Military Rd, Camellia NSW 2280",Camellia,2,1,3,House,https://www.domain.com.au/property/camellia/house-6,domain.com.au
"$1,917,122",1917122.0,"737 Church St, Camellia NSW 2719",Camellia,0,1,2,Studio,https://www.realestate.com.au/property/camellia/studio-7,realestate.com.au
"$675,646",675646.0,"532 Elizabeth St, Camellia NSW 2890",Camellia,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/camellia/apartment--unit--flat-8,realestate.com.au
"$2,086,505",2086505.0,"375 Albert St, Camellia NSW 2516",Camellia,2,1,3,Townhouse,https://www.rent.com.au/property/camellia/townhouse-9,rent.com.au
"$758,563 - $948,261",758563.0,"331 Princes Highway, Camellia NSW 2582",Camellia,4,4,2,Villa,https://www.realestateview.com.au/property/camellia/villa-10,realestateview.com.au
"$2,476,173",2476173.0,"310 The Boulevarde, Camellia NSW 2314",Camellia,3,4,0,Villa,https://www.domain.com.au/property/camellia/villa-11,domain.com.au
"$2,457,706",2457706.0,"549 Edward St, Camellia NSW 2959",Camellia,1,1,2,Townhouse,https://www.realestate.com.au/property/camellia/townhouse-12,realestate.com.au
"Guide $551,605",551605.0,"294 Main St, Camellia NSW 2195",Camellia,3,2,4,House,https://www.realestateview.com.au/property/camellia/house-13,realestateview.com.au
"From $2,467,230",2467230.0,"401 High St, Camellia NSW 2909",Camellia,1,1,3,Townhouse,https://www.domain.com.au/property/camellia/townhouse-14,domain.com.au
"$2,282,547",2282547.0,"658 Victoria St, Camellia NSW 2414",Camellia,0,1,1,Studio,https://www.domain.com.au/property/camellia/studio-15,domain.com.au
"$609,677",609677.0,"16 Edward St, Camellia NSW 2920",Camellia,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/camellia/apartment--unit--flat-16,domain.com.au
"Guide $2,200,118",2200118.0,"392 James St, Camellia NSW 2284",Camellia,3,1,2,Townhouse,https://www.rent.com.au/property/camellia/townhouse-17,rent.com.au
"From $1,860,657",1860657.0,"637 Railway St, Camellia NSW 2672",Camellia,3,4,1,House,https://www.realestateview.com.au/property/camellia/house-18,realestateview.com.au
"From $938,741",938741.0,"725 James St, Camellia NSW 2740",Camellia,4,1,0,Townhouse,https://www.rent.com.au/property/camellia/townhouse-19,rent.com.au
"$1,604,034 ONO",1604034.0,"695 Beach Rd, Camellia NSW 2484",Camellia,1,2,0,Townhouse,https://www.realestate.com.au/property/camellia/townhouse-20,realestate.com.au
"From $747,293",747293.0,"878 Main St, Camellia NSW 2174",Camellia,3,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/camellia/apartment--unit--flat-21,realestate.com.au
"$1,973,932 ONO",1973932.0,"832 Princes Highway, Camellia NSW 2763",Camellia,5,4,0,Villa,https://www.domain.com.au/property/camellia/villa-22,domain.com.au
"$572,849",572849.0,"483 Albert St, Camellia NSW 2467",Camellia,4,3,0,Townhouse,https://www.realestateview.com.au/property/camellia/townhouse-24,realestateview.com.au
