price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,372,850",2372850.0,"106 Albert St, Cammeray NSW 2893",Cammeray,3,4,0,Townhouse,https://www.realestate.com.au/property/cammeray/townhouse-0,realestate.com.au
"Guide $1,963,907",1963907.0,"565 William St, Cammeray NSW 2677",Cammeray,3,4,2,House,https://www.realestate.com.au/property/cammeray/house-1,realestate.com.au
"$734,754",734754.0,"211 The Boulevarde, Cammeray NSW 2660",Cammeray,1,1,2,House,https://www.domain.com.au/property/cammeray/house-2,domain.com.au
"Guide $973,479",973479.0,"312 Beach Rd, Cammeray NSW 2895",Cammeray,4,4,4,House,https://www.realestateview.com.au/property/cammeray/house-3,realestateview.com.au
"$2,132,730 ONO",2132730.0,"552 Military Rd, Cammeray NSW 2265",Cammeray,1,2,0,Villa,https://www.domain.com.au/property/cammeray/villa-4,domain.com.au
"$1,430,205 ONO",1430205.0,"460 Queen St, Cammeray NSW 2304",Cammeray,3,2,1,House,https://www.domain.com.au/property/cammeray/house-5,domain.com.au
"$2,124,658 - $2,194,176",2124658.0,"206 The Boulevarde, Cammeray NSW 2253",Cammeray,3,2,2,Villa,https://www.rent.com.au/property/cammeray/villa-6,rent.com.au
"Guide $1,912,084",1912084.0,"453 Albert St, Cammeray NSW 2737",Cammeray,2,3,0,House,https://www.rent.com.au/property/cammeray/house-7,rent.com.au
"$1,021,792",1021792.0,"850 Edward St, Cammeray NSW 2144",Cammeray,0,1,0,Studio,https://www.realestate.com.au/property/cammeray/studio-8,realestate.com.au
"$1,890,943 - $2,027,159",1890943.0,"974 Elizabeth St, Cammeray NSW 2523",Cammeray,3,1,2,Townhouse,https://www.domain.com.au/property/cammeray/townhouse-11,domain.com.au
"$2,261,200 - $2,376,461",2261200.0,"521 Pacific Highway, Cammeray NSW 2334",Cammeray,2,2,3,Villa,https://www.realestate.com.au/property/cammeray/villa-13,realestate.com.au
"$1,789,967 ONO",1789967.0,"908 High St, Cammeray NSW 2554",Cammeray,3,2,1,House,https://www.realestateview.com.au/property/cammeray/house-14,realestateview.com.au
"$789,132 - $1,042,497",789132.0,"187 High St, Cammeray NSW 2877",Cammeray,0,1,0,Studio,https://www.domain.com.au/property/cammeray/studio-15,domain.com.au
"$2,206,702 ONO",2206702.0,"733 High St, Cammeray NSW 2802",Cammeray,3,4,3,Townhouse,https://www.realestateview.com.au/property/cammeray/townhouse-16,realestateview.com.au
"$2,219,018",2219018.0,"75 Railway St, Cammeray NSW 2252",Cammeray,2,2,1,Townhouse,https://www.realestateview.com.au/property/cammeray/townhouse-17,realestateview.com.au
"$2,333,946 ONO",2333946.0,"839 Queen St, Cammeray NSW 2361",Cammeray,1,2,2,House,https://www.realestateview.com.au/property/cammeray/house-18,realestateview.com.au
"$1,424,026",1424026.0,"21 James St, Cammeray NSW 2796",Cammeray,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/cammeray/apartment--unit--flat-20,domain.com.au
"$1,461,422",1461422.0,"140 Victoria St, Cammeray NSW 2210",Cammeray,3,2,0,Penthouse,https://www.realestateview.com.au/property/cammeray/penthouse-22,realestateview.com.au
"From $2,284,917",2284917.0,"805 George St, Cammeray NSW 2227",Cammeray,1,2,1,Townhouse,https://www.rent.com.au/property/cammeray/townhouse-23,rent.com.au
"From $521,392",521392.0,"157 Ocean Rd, Cammeray NSW 2905",Cammeray,2,1,0,Villa,https://www.domain.com.au/property/cammeray/villa-24,domain.com.au
