price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,321,887 - $1,447,959",1321887.0,"284 Queen St, Campsie NSW 2978",Campsie,0,1,0,Studio,https://www.realestateview.com.au/property/campsie/studio-0,realestateview.com.au
"From $1,860,988",1860988.0,"850 Elizabeth St, Campsie NSW 2650",Campsie,3,2,2,House,https://www.domain.com.au/property/campsie/house-1,domain.com.au
"$758,051",758051.0,"236 Pacific Highway, Campsie NSW 2396",Campsie,3,1,0,Villa,https://www.realestate.com.au/property/campsie/villa-2,realestate.com.au
"$1,286,407 ONO",1286407.0,"577 The Boulevarde, Campsie NSW 2892",Campsie,3,4,1,Penthouse,https://www.domain.com.au/property/campsie/penthouse-3,domain.com.au
"Guide $606,368",606368.0,"400 High St, Campsie NSW 2710",Campsie,4,4,3,Villa,https://www.rent.com.au/property/campsie/villa-4,rent.com.au
"$1,613,758 - $1,722,383",1613758.0,"425 Market St, Campsie NSW 2016",Campsie,3,4,0,Villa,https://www.realestate.com.au/property/campsie/villa-5,realestate.com.au
"$1,304,661",1304661.0,"575 Military Rd, Campsie NSW 2048",Campsie,6,3,3,Penthouse,https://www.realestateview.com.au/property/campsie/penthouse-6,realestateview.com.au
"$2,316,701",2316701.0,"285 Market St, Campsie NSW 2311",Campsie,5,4,3,Villa,https://www.realestateview.com.au/property/campsie/villa-7,realestateview.com.au
"$956,457",956457.0,"375 Victoria St, Campsie NSW 2763",Campsie,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/campsie/apartment--unit--flat-8,realestate.com.au
"$1,632,014 - $1,823,780",1632014.0,"39 Church St, Campsie NSW 2289",Campsie,3,3,1,Penthouse,https://www.domain.com.au/property/campsie/penthouse-9,domain.com.au
"From $526,106",526106.0,"874 Princes Highway, Campsie NSW 2341",Campsie,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/campsie/apartment--unit--flat-11,realestate.com.au
"$1,120,084",1120084.0,"138 Park Ave, Campsie NSW 2103",Campsie,0,1,1,Studio,https://www.realestateview.com.au/property/campsie/studio-12,realestateview.com.au
"$1,475,453 ONO",1475453.0,"426 Military Rd, Campsie NSW 2651",Campsie,3,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/campsie/apartment--unit--flat-13,domain.com.au
"$1,819,421",1819421.0,"773 High St, Campsie NSW 2071",Campsie,0,1,3,Studio,https://www.realestateview.com.au/property/campsie/studio-14,realestateview.com.au
"Guide $1,507,280",1507280.0,"801 Albert St, Campsie NSW 2812",Campsie,3,2,2,Townhouse,https://www.realestate.com.au/property/campsie/townhouse-15,realestate.com.au
"$1,300,058 - $1,364,859",1300058.0,"943 Railway St, Campsie NSW 2649",Campsie,2,1,2,Townhouse,https://www.realestateview.com.au/property/campsie/townhouse-18,realestateview.com.au
"$1,979,449",1979449.0,"351 Ocean Rd, Campsie NSW 2466",Campsie,3,3,1,Townhouse,https://www.realestate.com.au/property/campsie/townhouse-20,realestate.com.au
"$549,047 ONO",549047.0,"737 The Boulevarde, Campsie NSW 2475",Campsie,3,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/campsie/apartment--unit--flat-21,domain.com.au
"Guide $759,897",759897.0,"762 The Boulevarde, Campsie NSW 2064",Campsie,4,2,0,Penthouse,https://www.domain.com.au/property/campsie/penthouse-22,domain.com.au
"Guide $2,022,938",2022938.0,"455 Albert St, Campsie NSW 2766",Campsie,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/campsie/apartment--unit--flat-23,domain.com.au
"Guide $2,488,132",2488132.0,"186 Main St, Campsie NSW 2374",Campsie,2,3,2,Villa,https://www.domain.com.au/property/campsie/villa-24,domain.com.au
