price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$928,261",928261.0,"960 William St, Canada Bay NSW 2915",Canada Bay,6,1,2,Townhouse,https://www.realestate.com.au/property/canada-bay/townhouse-0,realestate.com.au
"$2,204,039",2204039.0,"96 George St, Canada Bay NSW 2995",Canada Bay,0,1,0,Studio,https://www.domain.com.au/property/canada-bay/studio-1,domain.com.au
"$1,878,110 - $2,129,925",1878110.0,"661 Beach Rd, Canada Bay NSW 2408",Canada Bay,6,3,1,Penthouse,https://www.rent.com.au/property/canada-bay/penthouse-2,rent.com.au
"From $2,067,670",2067670.0,"389 Queen St, Canada Bay NSW 2176",Canada Bay,6,2,0,Townhouse,https://www.realestateview.com.au/property/canada-bay/townhouse-3,realestateview.com.au
"From $544,416",544416.0,"263 Elizabeth St, Canada Bay NSW 2048",Canada Bay,5,4,3,House,https://www.rent.com.au/property/canada-bay/house-4,rent.com.au
"From $2,141,755",2141755.0,"782 Main St, Canada Bay NSW 2465",Canada Bay,0,1,2,Studio,https://www.realestate.com.au/property/canada-bay/studio-5,realestate.com.au
"$1,326,573 - $1,477,587",1326573.0,"284 Market St, Canada Bay NSW 2303",Canada Bay,2,2,2,House,https://www.realestate.com.au/property/canada-bay/house-6,realestate.com.au
"From $2,202,082",2202082.0,"606 William St, Canada Bay NSW 2476",Canada Bay,6,3,0,Townhouse,https://www.realestateview.com.au/property/canada-bay/townhouse-8,realestateview.com.au
"$2,076,515",2076515.0,"169 Edward St, Canada Bay NSW 2540",Canada Bay,1,1,0,Townhouse,https://www.realestateview.com.au/property/canada-bay/townhouse-9,realestateview.com.au
"$1,053,270",1053270.0,"602 William St, Canada Bay NSW 2518",Canada Bay,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/canada-bay/apartment--unit--flat-10,rent.com.au
"$2,010,824",2010824.0,"119 Queen St, Canada Bay NSW 2968",Canada Bay,3,3,2,Penthouse,https://www.domain.com.au/property/canada-bay/penthouse-11,domain.com.au
"From $2,278,655",2278655.0,"301 King St, Canada Bay NSW 2684",Canada Bay,0,1,3,Studio,https://www.rent.com.au/property/canada-bay/studio-12,rent.com.au
"Guide $1,548,879",1548879.0,"387 Market St, Canada Bay NSW 2534",Canada Bay,3,3,1,Townhouse,https://www.rent.com.au/property/canada-bay/townhouse-13,rent.com.au
"$1,586,793 - $1,659,405",1586793.0,"264 Railway St, Canada Bay NSW 2850",Canada Bay,3,4,2,Villa,https://www.rent.com.au/property/canada-bay/villa-14,rent.com.au
"From $1,383,667",1383667.0,"999 Edward St, Canada Bay NSW 2788",Canada Bay,5,3,0,Penthouse,https://www.realestateview.com.au/property/canada-bay/penthouse-15,realestateview.com.au
"$2,480,893 - $2,775,481",2480893.0,"436 Queen St, Canada Bay NSW 2479",Canada Bay,0,1,0,Studio,https://www.realestate.com.au/property/canada-bay/studio-17,realestate.com.au
"Guide $2,051,892",2051892.0,"55 Elizabeth St, Canada Bay NSW 2214",Canada Bay,4,2,2,House,https://www.domain.com.au/property/canada-bay/house-18,domain.com.au
"Guide $1,557,782",1557782.0,"428 Elizabeth St, Canada Bay NSW 2325",Canada Bay,4,2,2,Penthouse,https://www.domain.com.au/property/canada-bay/penthouse-19,domain.com.au
"$995,692",995692.0,"385 Main St, Canada Bay NSW 2196",Canada Bay,6,3,2,Penthouse,https://www.realestateview.com.au/property/canada-bay/penthouse-20,realestateview.com.au
"From $812,824",812824.0,"417 George St, Canada Bay NSW 2938",Canada Bay,4,2,0,Townhouse,https://www.realestateview.com.au/property/canada-bay/townhouse-21,realestateview.com.au
"$1,080,555 ONO",1080555.0,"872 Pacific Highway, Canada Bay NSW 2501",Canada Bay,3,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/canada-bay/apartment--unit--flat-22,realestate.com.au
"$1,726,006 - $1,900,564",1726006.0,"246 Beach Rd, Canada Bay NSW 2941",Canada Bay,4,4,4,Apartment / Unit / Flat,https://www.domain.com.au/property/canada-bay/apartment--unit--flat-23,domain.com.au
"$2,049,338",2049338.0,"996 Main St, Canada Bay NSW 2860",Canada Bay,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/canada-bay/apartment--unit--flat-24,domain.com.au
