price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,133,075 - $1,380,362",1133075.0,"125 King St, Caringbah NSW 2966",Caringbah,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/caringbah/apartment--unit--flat-0,domain.com.au
"$1,475,041 ONO",1475041.0,"907 James St, Caringbah NSW 2533",Caringbah,3,1,1,House,https://www.domain.com.au/property/caringbah/house-1,domain.com.au
"Guide $992,460",992460.0,"315 Church St, Caringbah NSW 2059",Caringbah,5,3,0,Penthouse,https://www.rent.com.au/property/caringbah/penthouse-2,rent.com.au
"From $1,212,682",1212682.0,"165 George St, Caringbah NSW 2464",Caringbah,4,3,1,Villa,https://www.realestateview.com.au/property/caringbah/villa-3,realestateview.com.au
"Guide $1,743,093",1743093.0,"343 Elizabeth St, Caringbah NSW 2113",Caringbah,2,2,1,Villa,https://www.domain.com.au/property/caringbah/villa-4,domain.com.au
"$1,518,491",1518491.0,"908 Market St, Caringbah NSW 2742",Caringbah,1,2,0,House,https://www.realestate.com.au/property/caringbah/house-5,realestate.com.au
"$634,851 - $933,251",634851.0,"68 Albert St, Caringbah NSW 2559",Caringbah,4,1,1,Villa,https://www.rent.com.au/property/caringbah/villa-6,rent.com.au
"From $822,396",822396.0,"117 Pacific Highway, Caringbah NSW 2442",Caringbah,5,4,0,Penthouse,https://www.realestateview.com.au/property/caringbah/penthouse-7,realestateview.com.au
"From $2,291,357",2291357.0,"448 Market St, Caringbah NSW 2359",Caringbah,3,3,3,Townhouse,https://www.domain.com.au/property/caringbah/townhouse-8,domain.com.au
"$2,054,683",2054683.0,"321 Victoria St, Caringbah NSW 2679",Caringbah,2,2,0,Townhouse,https://www.realestateview.com.au/property/caringbah/townhouse-9,realestateview.com.au
"$2,199,110 - $2,269,957",2199110.0,"162 Beach Rd, Caringbah NSW 2733",Caringbah,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/caringbah/apartment--unit--flat-10,realestateview.com.au
"From $1,604,596",1604596.0,"624 King St, Caringbah NSW 2494",Caringbah,2,1,0,Villa,https://www.realestateview.com.au/property/caringbah/villa-11,realestateview.com.au
"Guide $1,470,233",1470233.0,"116 Railway St, Caringbah NSW 2092",Caringbah,0,1,2,Studio,https://www.realestateview.com.au/property/caringbah/studio-12,realestateview.com.au
"$948,120 - $1,203,172",948120.0,"193 High St, Caringbah NSW 2777",Caringbah,1,1,0,Villa,https://www.realestateview.com.au/property/caringbah/villa-13,realestateview.com.au
"$1,314,143 ONO",1314143.0,"3 Main St, Caringbah NSW 2102",Caringbah,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/caringbah/apartment--unit--flat-14,domain.com.au
"$2,383,992",2383992.0,"737 High St, Caringbah NSW 2717",Caringbah,3,1,1,Villa,https://www.rent.com.au/property/caringbah/villa-15,rent.com.au
"$1,538,997",1538997.0,"677 Ocean Rd, Caringbah NSW 2518",Caringbah,0,1,2,Studio,https://www.realestateview.com.au/property/caringbah/studio-16,realestateview.com.au
"Guide $2,044,779",2044779.0,"983 Victoria St, Caringbah NSW 2448",Caringbah,4,2,3,Penthouse,https://www.rent.com.au/property/caringbah/penthouse-17,rent.com.au
"$918,539 ONO",918539.0,"522 Edward St, Caringbah NSW 2020",Caringbah,2,3,3,Townhouse,https://www.realestateview.com.au/property/caringbah/townhouse-18,realestateview.com.au
"From $1,783,144",1783144.0,"588 Victoria St, Caringbah NSW 2361",Caringbah,2,3,1,House,https://www.realestate.com.au/property/caringbah/house-19,realestate.com.au
"$1,489,749",1489749.0,"606 Park Ave, Caringbah NSW 2413",Caringbah,2,2,0,Townhouse,https://www.realestateview.com.au/property/caringbah/townhouse-20,realestateview.com.au
"Guide $1,712,384",1712384.0,"910 High St, Caringbah NSW 2440",Caringbah,3,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/caringbah/apartment--unit--flat-21,realestateview.com.au
"From $768,820",768820.0,"235 George St, Caringbah NSW 2418",Caringbah,5,4,4,Penthouse,https://www.realestate.com.au/property/caringbah/penthouse-22,realestate.com.au
"$1,089,731 - $1,162,673",1089731.0,"246 Ocean Rd, Caringbah NSW 2032",Caringbah,3,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/caringbah/apartment--unit--flat-23,rent.com.au
