price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,262,296 ONO",2262296.0,"90 Pacific Highway, Caringbah South NSW 2296",Caringbah South,3,2,2,Penthouse,https://www.domain.com.au/property/caringbah-south/penthouse-0,domain.com.au
"$1,420,891",1420891.0,"269 Princes Highway, Caringbah South NSW 2686",Caringbah South,2,1,4,Townhouse,https://www.realestateview.com.au/property/caringbah-south/townhouse-1,realestateview.com.au
"From $2,027,617",2027617.0,"794 Market St, Caringbah South NSW 2985",Caringbah South,4,1,1,House,https://www.rent.com.au/property/caringbah-south/house-2,rent.com.au
"$2,156,530 - $2,392,104",2156530.0,"371 King St, Caringbah South NSW 2209",Caringbah South,3,2,2,Villa,https://www.realestate.com.au/property/caringbah-south/villa-4,realestate.com.au
"$2,242,866 - $2,492,626",2242866.0,"632 Elizabeth St, Caringbah South NSW 2664",Caringbah South,4,3,2,Townhouse,https://www.rent.com.au/property/caringbah-south/townhouse-5,rent.com.au
"$1,994,084",1994084.0,"767 Church St, Caringbah South NSW 2017",Caringbah South,4,4,2,Penthouse,https://www.rent.com.au/property/caringbah-south/penthouse-6,rent.com.au
"From $1,316,788",1316788.0,"67 Park Ave, Caringbah South NSW 2826",Caringbah South,3,4,2,House,https://www.realestateview.com.au/property/caringbah-south/house-7,realestateview.com.au
"$2,296,192 - $2,492,165",2296192.0,"607 Queen St, Caringbah South NSW 2021",Caringbah South,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/caringbah-south/apartment--unit--flat-8,realestateview.com.au
"$646,331",646331.0,"801 Market St, Caringbah South NSW 2156",Caringbah South,2,2,3,Townhouse,https://www.realestate.com.au/property/caringbah-south/townhouse-9,realestate.com.au
"$2,353,689 ONO",2353689.0,"608 High St, Caringbah South NSW 2488",Caringbah South,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/caringbah-south/apartment--unit--flat-10,realestateview.com.au
"Guide $2,329,185",2329185.0,"288 Edward St, Caringbah South NSW 2847",Caringbah South,1,2,2,Villa,https://www.domain.com.au/property/caringbah-south/villa-11,domain.com.au
"From $1,735,689",1735689.0,"910 George St, Caringbah South NSW 2631",Caringbah South,3,2,2,Penthouse,https://www.domain.com.au/property/caringbah-south/penthouse-12,domain.com.au
"$1,778,247",1778247.0,"757 James St, Caringbah South NSW 2809",Caringbah South,3,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/caringbah-south/apartment--unit--flat-13,realestateview.com.au
"$1,479,316 ONO",1479316.0,"773 Railway St, Caringbah South NSW 2671",Caringbah South,4,3,2,Penthouse,https://www.realestate.com.au/property/caringbah-south/penthouse-14,realestate.com.au
"Guide $549,550",549550.0,"670 Victoria St, Caringbah South NSW 2190",Caringbah South,5,1,1,House,https://www.rent.com.au/property/caringbah-south/house-15,rent.com.au
"$1,188,980 ONO",1188980.0,"942 Edward St, Caringbah South NSW 2178",Caringbah South,5,2,2,Penthouse,https://www.realestate.com.au/property/caringbah-south/penthouse-16,realestate.com.au
"$1,471,648",1471648.0,"433 King St, Caringbah South NSW 2131",Caringbah South,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/caringbah-south/apartment--unit--flat-17,rent.com.au
"From $2,398,846",2398846.0,"149 Railway St, Caringbah South NSW 2291",Caringbah South,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/caringbah-south/apartment--unit--flat-18,realestate.com.au
"$1,101,813 - $1,293,671",1101813.0,"972 Edward St, Caringbah South NSW 2022",Caringbah South,2,3,2,House,https://www.rent.com.au/property/caringbah-south/house-19,rent.com.au
"$2,493,702 ONO",2493702.0,"380 James St, Caringbah South NSW 2145",Caringbah South,2,3,0,Villa,https://www.rent.com.au/property/caringbah-south/villa-21,rent.com.au
"$1,938,581",1938581.0,"157 Park Ave, Caringbah South NSW 2134",Caringbah South,4,4,1,Townhouse,https://www.realestate.com.au/property/caringbah-south/townhouse-22,realestate.com.au
"$2,268,529 - $2,407,953",2268529.0,"3 The Boulevarde, Caringbah South NSW 2835",Caringbah South,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/caringbah-south/apartment--unit--flat-23,rent.com.au
"$1,509,115 ONO",1509115.0,"986 Elizabeth St, Caringbah South NSW 2148",Caringbah South,0,1,0,Studio,https://www.realestate.com.au/property/caringbah-south/studio-24,realestate.com.au
