price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,227,783 ONO",2227783.0,"760 The Boulevarde, Carss Park NSW 2531",Carss Park,0,1,1,Studio,https://www.realestate.com.au/property/carss-park/studio-0,realestate.com.au
"$622,066",622066.0,"61 Beach Rd, Carss Park NSW 2242",Carss Park,4,3,1,Villa,https://www.domain.com.au/property/carss-park/villa-1,domain.com.au
"$1,990,669 - $2,183,259",1990669.0,"340 Main St, Carss Park NSW 2426",Carss Park,2,3,0,House,https://www.domain.com.au/property/carss-park/house-3,domain.com.au
"$797,330",797330.0,"673 Victoria St, Carss Park NSW 2824",Carss Park,3,3,0,House,https://www.realestate.com.au/property/carss-park/house-4,realestate.com.au
"$984,090 - $1,177,318",984090.0,"218 Ocean Rd, Carss Park NSW 2976",Carss Park,2,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/carss-park/apartment--unit--flat-5,domain.com.au
"$897,694 ONO",897694.0,"583 Albert St, Carss Park NSW 2086",Carss Park,1,2,3,Villa,https://www.realestate.com.au/property/carss-park/villa-6,realestate.com.au
"$990,190",990190.0,"621 Market St, Carss Park NSW 2178",Carss Park,1,2,0,Townhouse,https://www.domain.com.au/property/carss-park/townhouse-7,domain.com.au
"$1,835,004",1835004.0,"7 Princes Highway, Carss Park NSW 2909",Carss Park,3,3,1,Townhouse,https://www.rent.com.au/property/carss-park/townhouse-8,rent.com.au
"$2,006,848 ONO",2006848.0,"627 George St, Carss Park NSW 2266",Carss Park,2,3,2,Villa,https://www.rent.com.au/property/carss-park/villa-9,rent.com.au
"$784,766",784766.0,"177 Albert St, Carss Park NSW 2900",Carss Park,5,3,2,Villa,https://www.rent.com.au/property/carss-park/villa-11,rent.com.au
"$1,774,215",1774215.0,"368 King St, Carss Park NSW 2553",Carss Park,4,1,3,House,https://www.realestateview.com.au/property/carss-park/house-12,realestateview.com.au
"From $2,412,179",2412179.0,"648 Ocean Rd, Carss Park NSW 2001",Carss Park,2,1,1,Villa,https://www.realestateview.com.au/property/carss-park/villa-14,realestateview.com.au
"$1,224,202",1224202.0,"755 Victoria St, Carss Park NSW 2328",Carss Park,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/carss-park/apartment--unit--flat-15,rent.com.au
"$693,775 - $863,663",693775.0,"199 High St, Carss Park NSW 2181",Carss Park,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/carss-park/apartment--unit--flat-16,realestate.com.au
"$1,807,325 - $1,889,220",1807325.0,"9 Church St, Carss Park NSW 2245",Carss Park,1,1,2,Villa,https://www.domain.com.au/property/carss-park/villa-17,domain.com.au
"$1,367,585 - $1,523,959",1367585.0,"60 Albert St, Carss Park NSW 2002",Carss Park,2,1,2,House,https://www.realestate.com.au/property/carss-park/house-18,realestate.com.au
"$1,346,627",1346627.0,"599 George St, Carss Park NSW 2494",Carss Park,4,3,0,House,https://www.domain.com.au/property/carss-park/house-19,domain.com.au
"$2,051,380",2051380.0,"912 William St, Carss Park NSW 2958",Carss Park,0,1,4,Studio,https://www.rent.com.au/property/carss-park/studio-20,rent.com.au
"$1,819,510 ONO",1819510.0,"827 Pacific Highway, Carss Park NSW 2504",Carss Park,3,3,1,Townhouse,https://www.rent.com.au/property/carss-park/townhouse-21,rent.com.au
"$2,339,368 ONO",2339368.0,"98 George St, Carss Park NSW 2006",Carss Park,3,3,0,Penthouse,https://www.rent.com.au/property/carss-park/penthouse-22,rent.com.au
"$1,467,321",1467321.0,"865 Railway St, Carss Park NSW 2101",Carss Park,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/carss-park/apartment--unit--flat-23,domain.com.au
"From $1,227,248",1227248.0,"192 Beach Rd, Carss Park NSW 2577",Carss Park,2,3,3,Villa,https://www.realestateview.com.au/property/carss-park/villa-24,realestateview.com.au
