price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $608,871",608871.0,"113 Pacific Highway, Castle Cove NSW 2943",Castle Cove,1,2,0,House,https://www.realestateview.com.au/property/castle-cove/house-0,realestateview.com.au
"$2,438,511 - $2,667,571",2438511.0,"321 Beach Rd, Castle Cove NSW 2251",Castle Cove,4,3,0,Townhouse,https://www.domain.com.au/property/castle-cove/townhouse-1,domain.com.au
"$1,877,568 ONO",1877568.0,"906 Albert St, Castle Cove NSW 2300",Castle Cove,0,1,3,Studio,https://www.realestate.com.au/property/castle-cove/studio-3,realestate.com.au
"$2,267,889",2267889.0,"68 Church St, Castle Cove NSW 2834",Castle Cove,4,3,1,Villa,https://www.rent.com.au/property/castle-cove/villa-4,rent.com.au
"From $1,189,583",1189583.0,"353 William St, Castle Cove NSW 2280",Castle Cove,2,3,0,House,https://www.domain.com.au/property/castle-cove/house-5,domain.com.au
"$968,913 - $1,264,248",968913.0,"328 Park Ave, Castle Cove NSW 2115",Castle Cove,0,1,1,Studio,https://www.realestateview.com.au/property/castle-cove/studio-6,realestateview.com.au
"$1,671,104",1671104.0,"599 Main St, Castle Cove NSW 2049",Castle Cove,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/castle-cove/apartment--unit--flat-7,realestate.com.au
"$1,642,852 - $1,789,175",1642852.0,"868 Victoria St, Castle Cove NSW 2682",Castle Cove,0,1,2,Studio,https://www.realestate.com.au/property/castle-cove/studio-8,realestate.com.au
"$841,180 ONO",841180.0,"443 William St, Castle Cove NSW 2381",Castle Cove,4,4,1,Penthouse,https://www.rent.com.au/property/castle-cove/penthouse-9,rent.com.au
"$1,566,100 - $1,617,202",1566100.0,"291 Park Ave, Castle Cove NSW 2028",Castle Cove,2,1,2,Villa,https://www.realestateview.com.au/property/castle-cove/villa-11,realestateview.com.au
"From $781,270",781270.0,"249 Princes Highway, Castle Cove NSW 2358",Castle Cove,1,2,1,House,https://www.rent.com.au/property/castle-cove/house-13,rent.com.au
"$1,947,870 - $2,069,148",1947870.0,"740 Ocean Rd, Castle Cove NSW 2438",Castle Cove,6,4,3,Penthouse,https://www.realestateview.com.au/property/castle-cove/penthouse-14,realestateview.com.au
"Guide $1,484,130",1484130.0,"535 Ocean Rd, Castle Cove NSW 2364",Castle Cove,2,1,1,House,https://www.rent.com.au/property/castle-cove/house-15,rent.com.au
"$518,091",518091.0,"364 Military Rd, Castle Cove NSW 2987",Castle Cove,2,3,1,Townhouse,https://www.rent.com.au/property/castle-cove/townhouse-16,rent.com.au
"Guide $2,368,211",2368211.0,"219 William St, Castle Cove NSW 2486",Castle Cove,5,2,2,Penthouse,https://www.realestateview.com.au/property/castle-cove/penthouse-17,realestateview.com.au
"Guide $1,950,303",1950303.0,"884 Ocean Rd, Castle Cove NSW 2537",Castle Cove,3,2,1,Townhouse,https://www.domain.com.au/property/castle-cove/townhouse-18,domain.com.au
"$1,849,667 - $1,943,281",1849667.0,"371 King St, Castle Cove NSW 2393",Castle Cove,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/castle-cove/apartment--unit--flat-19,realestate.com.au
"$1,170,055",1170055.0,"602 Albert St, Castle Cove NSW 2931",Castle Cove,4,4,0,Penthouse,https://www.rent.com.au/property/castle-cove/penthouse-20,rent.com.au
"$1,786,665",1786665.0,"880 James St, Castle Cove NSW 2673",Castle Cove,1,1,2,Villa,https://www.domain.com.au/property/castle-cove/villa-21,domain.com.au
"$1,161,449 ONO",1161449.0,"784 Church St, Castle Cove NSW 2529",Castle Cove,2,3,0,Townhouse,https://www.realestate.com.au/property/castle-cove/townhouse-22,realestate.com.au
"Guide $1,692,880",1692880.0,"726 Military Rd, Castle Cove NSW 2066",Castle Cove,0,1,0,Studio,https://www.rent.com.au/property/castle-cove/studio-23,rent.com.au
"$2,491,131 ONO",2491131.0,"860 Ocean Rd, Castle Cove NSW 2280",Castle Cove,2,3,0,Villa,https://www.rent.com.au/property/castle-cove/villa-24,rent.com.au
