price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,090,355",1090355.0,"597 King St, Castle Hill NSW 2371",Castle Hill,3,2,0,Penthouse,https://www.rent.com.au/property/castle-hill/penthouse-0,rent.com.au
"$1,369,513 - $1,460,417",1369513.0,"741 The Boulevarde, Castle Hill NSW 2628",Castle Hill,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/castle-hill/apartment--unit--flat-1,domain.com.au
"Guide $2,476,441",2476441.0,"851 Ocean Rd, Castle Hill NSW 2406",Castle Hill,5,2,0,Penthouse,https://www.rent.com.au/property/castle-hill/penthouse-2,rent.com.au
"$2,144,833 - $2,336,305",2144833.0,"213 High St, Castle Hill NSW 2559",Castle Hill,2,2,1,House,https://www.realestateview.com.au/property/castle-hill/house-3,realestateview.com.au
"Guide $1,824,365",1824365.0,"764 Queen St, Castle Hill NSW 2138",Castle Hill,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/castle-hill/apartment--unit--flat-4,realestateview.com.au
"From $2,186,820",2186820.0,"988 Railway St, Castle Hill NSW 2606",Castle Hill,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/castle-hill/apartment--unit--flat-5,realestateview.com.au
"$1,503,639",1503639.0,"832 Pacific Highway, Castle Hill NSW 2709",Castle Hill,1,2,1,Townhouse,https://www.realestate.com.au/property/castle-hill/townhouse-6,realestate.com.au
"$1,444,826 ONO",1444826.0,"651 Victoria St, Castle Hill NSW 2117",Castle Hill,4,4,3,House,https://www.realestateview.com.au/property/castle-hill/house-7,realestateview.com.au
"$1,291,506",1291506.0,"177 Princes Highway, Castle Hill NSW 2271",Castle Hill,0,1,2,Studio,https://www.rent.com.au/property/castle-hill/studio-8,rent.com.au
"Guide $832,039",832039.0,"721 Railway St, Castle Hill NSW 2497",Castle Hill,2,1,0,Townhouse,https://www.domain.com.au/property/castle-hill/townhouse-9,domain.com.au
"$2,018,210 ONO",2018210.0,"953 Princes Highway, Castle Hill NSW 2018",Castle Hill,0,1,2,Studio,https://www.realestateview.com.au/property/castle-hill/studio-10,realestateview.com.au
"From $2,001,438",2001438.0,"148 Main St, Castle Hill NSW 2550",Castle Hill,1,1,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/castle-hill/apartment--unit--flat-11,realestate.com.au
"$1,289,035 - $1,368,845",1289035.0,"985 Military Rd, Castle Hill NSW 2304",Castle Hill,0,1,2,Studio,https://www.domain.com.au/property/castle-hill/studio-12,domain.com.au
"Guide $2,380,974",2380974.0,"106 The Boulevarde, Castle Hill NSW 2634",Castle Hill,3,4,0,Townhouse,https://www.realestate.com.au/property/castle-hill/townhouse-13,realestate.com.au
"$1,202,530 ONO",1202530.0,"516 Main St, Castle Hill NSW 2709",Castle Hill,6,4,4,Penthouse,https://www.realestateview.com.au/property/castle-hill/penthouse-14,realestateview.com.au
"From $822,814",822814.0,"276 Church St, Castle Hill NSW 2552",Castle Hill,3,4,1,Villa,https://www.realestateview.com.au/property/castle-hill/villa-15,realestateview.com.au
"$1,176,023 - $1,254,454",1176023.0,"601 King St, Castle Hill NSW 2517",Castle Hill,4,2,1,Penthouse,https://www.domain.com.au/property/castle-hill/penthouse-16,domain.com.au
"From $575,441",575441.0,"774 Victoria St, Castle Hill NSW 2822",Castle Hill,0,1,2,Studio,https://www.realestateview.com.au/property/castle-hill/studio-17,realestateview.com.au
"Guide $795,760",795760.0,"271 Ocean Rd, Castle Hill NSW 2759",Castle Hill,0,1,1,Studio,https://www.realestateview.com.au/property/castle-hill/studio-18,realestateview.com.au
"Guide $1,137,746",1137746.0,"146 George St, Castle Hill NSW 2094",Castle Hill,2,2,2,House,https://www.rent.com.au/property/castle-hill/house-19,rent.com.au
"$954,300 - $1,178,382",954300.0,"396 Princes Highway, Castle Hill NSW 2590",Castle Hill,0,1,0,Studio,https://www.rent.com.au/property/castle-hill/studio-20,rent.com.au
"$687,284 ONO",687284.0,"612 Elizabeth St, Castle Hill NSW 2844",Castle Hill,3,1,2,House,https://www.domain.com.au/property/castle-hill/house-21,domain.com.au
"Guide $2,027,055",2027055.0,"805 Beach Rd, Castle Hill NSW 2190",Castle Hill,3,2,0,Villa,https://www.realestate.com.au/property/castle-hill/villa-22,realestate.com.au
"$1,928,785",1928785.0,"594 Military Rd, Castle Hill NSW 2617",Castle Hill,3,2,0,House,https://www.rent.com.au/property/castle-hill/house-23,rent.com.au
"Guide $1,605,023",1605023.0,"433 Park Ave, Castle Hill NSW 2094",Castle Hill,3,3,1,Townhouse,https://www.rent.com.au/property/castle-hill/townhouse-24,rent.com.au
