price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,195,204",1195204.0,"345 Queen St, Castlecrag NSW 2410",Castlecrag,3,1,0,House,https://www.realestate.com.au/property/castlecrag/house-0,realestate.com.au
"$1,946,988 ONO",1946988.0,"833 William St, Castlecrag NSW 2186",Castlecrag,1,1,1,House,https://www.realestate.com.au/property/castlecrag/house-2,realestate.com.au
"$1,344,449 - $1,419,454",1344449.0,"699 Albert St, Castlecrag NSW 2751",Castlecrag,2,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/castlecrag/apartment--unit--flat-3,domain.com.au
"$1,629,803 - $1,837,675",1629803.0,"509 Ocean Rd, Castlecrag NSW 2865",Castlecrag,5,4,0,Townhouse,https://www.domain.com.au/property/castlecrag/townhouse-4,domain.com.au
"From $1,763,588",1763588.0,"340 Princes Highway, Castlecrag NSW 2853",Castlecrag,3,3,0,Townhouse,https://www.rent.com.au/property/castlecrag/townhouse-5,rent.com.au
"$1,805,111 - $2,075,036",1805111.0,"457 Pacific Highway, Castlecrag NSW 2547",Castlecrag,3,3,1,House,https://www.realestateview.com.au/property/castlecrag/house-6,realestateview.com.au
"Guide $1,973,726",1973726.0,"589 Princes Highway, Castlecrag NSW 2585",Castlecrag,3,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/castlecrag/apartment--unit--flat-7,domain.com.au
"$2,351,264 - $2,457,195",2351264.0,"2 Ocean Rd, Castlecrag NSW 2386",Castlecrag,3,3,1,Penthouse,https://www.domain.com.au/property/castlecrag/penthouse-8,domain.com.au
"$2,332,490",2332490.0,"399 Market St, Castlecrag NSW 2104",Castlecrag,0,1,3,Studio,https://www.domain.com.au/property/castlecrag/studio-9,domain.com.au
"Guide $2,198,689",2198689.0,"726 Military Rd, Castlecrag NSW 2900",Castlecrag,4,2,1,Penthouse,https://www.rent.com.au/property/castlecrag/penthouse-10,rent.com.au
"Guide $937,926",937926.0,"695 Market St, Castlecrag NSW 2343",Castlecrag,2,1,2,House,https://www.realestate.com.au/property/castlecrag/house-11,realestate.com.au
"$1,524,446 - $1,581,380",1524446.0,"714 William St, Castlecrag NSW 2348",Castlecrag,2,1,1,Villa,https://www.domain.com.au/property/castlecrag/villa-12,domain.com.au
"$2,332,529",2332529.0,"175 King St, Castlecrag NSW 2448",Castlecrag,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/castlecrag/apartment--unit--flat-13,realestate.com.au
"$1,252,909",1252909.0,"81 Beach Rd, Castlecrag NSW 2610",Castlecrag,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/castlecrag/apartment--unit--flat-14,rent.com.au
"Guide $1,642,739",1642739.0,"593 Albert St, Castlecrag NSW 2451",Castlecrag,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/castlecrag/apartment--unit--flat-16,rent.com.au
"$2,288,780 ONO",2288780.0,"348 Church St, Castlecrag NSW 2430",Castlecrag,2,3,3,House,https://www.realestateview.com.au/property/castlecrag/house-17,realestateview.com.au
"$1,533,416 ONO",1533416.0,"794 James St, Castlecrag NSW 2724",Castlecrag,2,3,0,Villa,https://www.domain.com.au/property/castlecrag/villa-18,domain.com.au
"$835,110 ONO",835110.0,"797 King St, Castlecrag NSW 2174",Castlecrag,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/castlecrag/apartment--unit--flat-20,rent.com.au
"$2,270,626",2270626.0,"968 William St, Castlecrag NSW 2836",Castlecrag,4,1,2,Townhouse,https://www.realestateview.com.au/property/castlecrag/townhouse-21,realestateview.com.au
"Guide $927,057",927057.0,"256 Market St, Castlecrag NSW 2876",Castlecrag,0,1,4,Studio,https://www.domain.com.au/property/castlecrag/studio-22,domain.com.au
"$2,330,973",2330973.0,"761 Albert St, Castlecrag NSW 2908",Castlecrag,2,3,1,Townhouse,https://www.domain.com.au/property/castlecrag/townhouse-23,domain.com.au
"$1,963,782",1963782.0,"652 Elizabeth St, Castlecrag NSW 2863",Castlecrag,2,2,3,Townhouse,https://www.domain.com.au/property/castlecrag/townhouse-24,domain.com.au
