price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,238,002 - $2,537,959",2238002.0,"411 Victoria St, Chatswood NSW 2281",Chatswood,5,2,1,Penthouse,https://www.domain.com.au/property/chatswood/penthouse-0,domain.com.au
"Guide $843,310",843310.0,"667 Church St, Chatswood NSW 2540",Chatswood,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/chatswood/apartment--unit--flat-1,domain.com.au
"From $987,877",987877.0,"842 Main St, Chatswood NSW 2349",Chatswood,3,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chatswood/apartment--unit--flat-2,realestateview.com.au
"From $1,160,631",1160631.0,"515 Market St, Chatswood NSW 2203",Chatswood,0,1,0,Studio,https://www.realestate.com.au/property/chatswood/studio-3,realestate.com.au
"$1,162,408 ONO",1162408.0,"834 Market St, Chatswood NSW 2324",Chatswood,4,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/chatswood/apartment--unit--flat-4,rent.com.au
"Guide $1,114,000",1114000.0,"486 Elizabeth St, Chatswood NSW 2804",Chatswood,3,2,0,House,https://www.rent.com.au/property/chatswood/house-5,rent.com.au
"From $905,708",905708.0,"574 Main St, Chatswood NSW 2551",Chatswood,2,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/chatswood/apartment--unit--flat-6,realestate.com.au
"$1,358,456",1358456.0,"981 Elizabeth St, Chatswood NSW 2984",Chatswood,3,4,1,House,https://www.domain.com.au/property/chatswood/house-7,domain.com.au
"From $988,635",988635.0,"257 Pacific Highway, Chatswood NSW 2353",Chatswood,2,2,3,House,https://www.realestateview.com.au/property/chatswood/house-8,realestateview.com.au
"$1,970,197",1970197.0,"871 Main St, Chatswood NSW 2466",Chatswood,0,1,1,Studio,https://www.rent.com.au/property/chatswood/studio-9,rent.com.au
"$1,811,925 ONO",1811925.0,"578 High St, Chatswood NSW 2345",Chatswood,0,1,4,Studio,https://www.rent.com.au/property/chatswood/studio-10,rent.com.au
"$679,445 ONO",679445.0,"911 Pacific Highway, Chatswood NSW 2149",Chatswood,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/chatswood/apartment--unit--flat-11,rent.com.au
"Guide $1,196,814",1196814.0,"753 The Boulevarde, Chatswood NSW 2698",Chatswood,0,1,2,Studio,https://www.realestateview.com.au/property/chatswood/studio-12,realestateview.com.au
"$1,757,121 ONO",1757121.0,"892 Edward St, Chatswood NSW 2928",Chatswood,2,1,0,House,https://www.realestateview.com.au/property/chatswood/house-13,realestateview.com.au
"$2,381,590 - $2,569,221",2381590.0,"899 King St, Chatswood NSW 2204",Chatswood,3,1,0,Townhouse,https://www.domain.com.au/property/chatswood/townhouse-14,domain.com.au
"$975,860 ONO",975860.0,"705 Park Ave, Chatswood NSW 2453",Chatswood,6,4,4,Penthouse,https://www.realestateview.com.au/property/chatswood/penthouse-16,realestateview.com.au
"Guide $1,151,706",1151706.0,"140 The Boulevarde, Chatswood NSW 2671",Chatswood,3,4,1,Penthouse,https://www.rent.com.au/property/chatswood/penthouse-17,rent.com.au
"$2,019,452 - $2,231,097",2019452.0,"415 Pacific Highway, Chatswood NSW 2946",Chatswood,3,3,0,Townhouse,https://www.realestateview.com.au/property/chatswood/townhouse-18,realestateview.com.au
"$1,479,072",1479072.0,"553 King St, Chatswood NSW 2144",Chatswood,3,2,1,House,https://www.realestate.com.au/property/chatswood/house-19,realestate.com.au
"$1,309,436 ONO",1309436.0,"736 Market St, Chatswood NSW 2790",Chatswood,0,1,2,Studio,https://www.domain.com.au/property/chatswood/studio-20,domain.com.au
"$1,402,799",1402799.0,"387 Military Rd, Chatswood NSW 2251",Chatswood,3,1,0,Villa,https://www.rent.com.au/property/chatswood/villa-22,rent.com.au
"$1,834,483 ONO",1834483.0,"624 Victoria St, Chatswood NSW 2115",Chatswood,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chatswood/apartment--unit--flat-23,realestateview.com.au
"$1,163,607 - $1,259,871",1163607.0,"486 Pacific Highway, Chatswood NSW 2930",Chatswood,4,2,2,Penthouse,https://www.rent.com.au/property/chatswood/penthouse-24,rent.com.au
