price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,786,592 ONO",1786592.0,"457 Queen St, Cheltenham NSW 2374",Cheltenham,3,2,0,Villa,https://www.domain.com.au/property/cheltenham/villa-1,domain.com.au
"$1,166,218 - $1,306,619",1166218.0,"6 The Boulevarde, Cheltenham NSW 2113",Cheltenham,3,2,0,Villa,https://www.realestateview.com.au/property/cheltenham/villa-3,realestateview.com.au
"$2,433,139",2433139.0,"75 Pacific Highway, Cheltenham NSW 2681",Cheltenham,3,2,3,House,https://www.rent.com.au/property/cheltenham/house-4,rent.com.au
"From $2,368,367",2368367.0,"969 Park Ave, Cheltenham NSW 2092",Cheltenham,1,2,0,House,https://www.domain.com.au/property/cheltenham/house-5,domain.com.au
"$760,169 ONO",760169.0,"542 Victoria St, Cheltenham NSW 2019",Cheltenham,3,3,1,Villa,https://www.rent.com.au/property/cheltenham/villa-6,rent.com.au
"$933,680 ONO",933680.0,"193 Princes Highway, Cheltenham NSW 2202",Cheltenham,3,2,1,Townhouse,https://www.rent.com.au/property/cheltenham/townhouse-7,rent.com.au
"Guide $1,963,243",1963243.0,"364 Ocean Rd, Cheltenham NSW 2946",Cheltenham,1,2,1,Villa,https://www.rent.com.au/property/cheltenham/villa-8,rent.com.au
"$2,206,515 - $2,320,471",2206515.0,"930 Church St, Cheltenham NSW 2185",Cheltenham,1,2,1,House,https://www.realestateview.com.au/property/cheltenham/house-9,realestateview.com.au
"$1,451,816",1451816.0,"312 George St, Cheltenham NSW 2130",Cheltenham,2,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/cheltenham/apartment--unit--flat-10,domain.com.au
"$1,450,311 - $1,688,319",1450311.0,"623 Church St, Cheltenham NSW 2357",Cheltenham,5,2,1,Penthouse,https://www.realestateview.com.au/property/cheltenham/penthouse-11,realestateview.com.au
"$1,565,827",1565827.0,"692 George St, Cheltenham NSW 2201",Cheltenham,0,1,2,Studio,https://www.domain.com.au/property/cheltenham/studio-12,domain.com.au
"From $2,464,262",2464262.0,"8 Park Ave, Cheltenham NSW 2677",Cheltenham,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/cheltenham/apartment--unit--flat-13,realestate.com.au
"$783,533 ONO",783533.0,"358 Pacific Highway, Cheltenham NSW 2261",Cheltenham,3,1,3,House,https://www.realestate.com.au/property/cheltenham/house-14,realestate.com.au
"$2,227,938 - $2,282,630",2227938.0,"952 High St, Cheltenham NSW 2244",Cheltenham,6,3,0,Penthouse,https://www.realestateview.com.au/property/cheltenham/penthouse-15,realestateview.com.au
"From $568,330",568330.0,"847 James St, Cheltenham NSW 2595",Cheltenham,0,1,2,Studio,https://www.realestate.com.au/property/cheltenham/studio-16,realestate.com.au
"Guide $1,212,466",1212466.0,"886 Market St, Cheltenham NSW 2954",Cheltenham,4,3,4,House,https://www.realestateview.com.au/property/cheltenham/house-17,realestateview.com.au
"$2,245,218 ONO",2245218.0,"166 King St, Cheltenham NSW 2841",Cheltenham,4,2,1,Penthouse,https://www.domain.com.au/property/cheltenham/penthouse-19,domain.com.au
"Guide $2,217,621",2217621.0,"345 King St, Cheltenham NSW 2580",Cheltenham,4,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/cheltenham/apartment--unit--flat-20,realestateview.com.au
"Guide $1,110,585",1110585.0,"15 James St, Cheltenham NSW 2729",Cheltenham,0,1,2,Studio,https://www.realestate.com.au/property/cheltenham/studio-21,realestate.com.au
"$1,782,371 - $2,045,666",1782371.0,"162 Railway St, Cheltenham NSW 2015",Cheltenham,0,1,3,Studio,https://www.realestateview.com.au/property/cheltenham/studio-22,realestateview.com.au
"$858,273",858273.0,"140 Military Rd, Cheltenham NSW 2865",Cheltenham,3,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/cheltenham/apartment--unit--flat-23,domain.com.au
"$2,292,823 ONO",2292823.0,"879 Queen St, Cheltenham NSW 2102",Cheltenham,3,2,1,Villa,https://www.rent.com.au/property/cheltenham/villa-24,rent.com.au
