price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,376,662",2376662.0,"80 Albert St, Chippendale NSW 2939",Chippendale,1,1,3,Townhouse,https://www.realestate.com.au/property/chippendale/townhouse-0,realestate.com.au
"From $546,720",546720.0,"606 George St, Chippendale NSW 2565",Chippendale,3,4,4,Villa,https://www.rent.com.au/property/chippendale/villa-1,rent.com.au
"$1,478,552",1478552.0,"527 Main St, Chippendale NSW 2811",Chippendale,1,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chippendale/apartment--unit--flat-2,realestateview.com.au
"$1,424,449",1424449.0,"688 Beach Rd, Chippendale NSW 2477",Chippendale,5,4,0,Penthouse,https://www.domain.com.au/property/chippendale/penthouse-3,domain.com.au
"Guide $2,041,576",2041576.0,"694 Railway St, Chippendale NSW 2370",Chippendale,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chippendale/apartment--unit--flat-4,realestateview.com.au
"From $2,331,027",2331027.0,"255 Princes Highway, Chippendale NSW 2074",Chippendale,0,1,2,Studio,https://www.realestate.com.au/property/chippendale/studio-5,realestate.com.au
"From $2,095,296",2095296.0,"802 Main St, Chippendale NSW 2570",Chippendale,6,4,0,Penthouse,https://www.rent.com.au/property/chippendale/penthouse-6,rent.com.au
"From $1,647,217",1647217.0,"395 Ocean Rd, Chippendale NSW 2272",Chippendale,2,1,2,Townhouse,https://www.rent.com.au/property/chippendale/townhouse-7,rent.com.au
"$1,412,647 - $1,683,983",1412647.0,"263 Beach Rd, Chippendale NSW 2340",Chippendale,0,1,1,Studio,https://www.realestate.com.au/property/chippendale/studio-8,realestate.com.au
"Guide $1,695,475",1695475.0,"231 Elizabeth St, Chippendale NSW 2469",Chippendale,0,1,0,Studio,https://www.realestateview.com.au/property/chippendale/studio-10,realestateview.com.au
"Guide $1,923,366",1923366.0,"912 Main St, Chippendale NSW 2972",Chippendale,0,1,1,Studio,https://www.realestateview.com.au/property/chippendale/studio-11,realestateview.com.au
"From $2,168,627",2168627.0,"684 High St, Chippendale NSW 2439",Chippendale,5,4,2,Villa,https://www.realestateview.com.au/property/chippendale/villa-12,realestateview.com.au
"$813,268 ONO",813268.0,"651 Beach Rd, Chippendale NSW 2477",Chippendale,3,1,1,House,https://www.domain.com.au/property/chippendale/house-13,domain.com.au
"$1,757,372 - $1,835,429",1757372.0,"389 Queen St, Chippendale NSW 2755",Chippendale,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chippendale/apartment--unit--flat-14,realestateview.com.au
"$2,421,906 - $2,584,000",2421906.0,"310 Victoria St, Chippendale NSW 2157",Chippendale,5,3,1,Penthouse,https://www.realestate.com.au/property/chippendale/penthouse-15,realestate.com.au
"$1,527,128 - $1,682,292",1527128.0,"859 High St, Chippendale NSW 2350",Chippendale,4,4,0,Penthouse,https://www.rent.com.au/property/chippendale/penthouse-16,rent.com.au
"Guide $1,387,932",1387932.0,"635 Military Rd, Chippendale NSW 2580",Chippendale,4,2,1,Penthouse,https://www.realestateview.com.au/property/chippendale/penthouse-17,realestateview.com.au
"Guide $1,734,481",1734481.0,"203 Market St, Chippendale NSW 2314",Chippendale,1,1,1,Townhouse,https://www.domain.com.au/property/chippendale/townhouse-18,domain.com.au
"$2,205,693 ONO",2205693.0,"694 Elizabeth St, Chippendale NSW 2345",Chippendale,4,4,4,Penthouse,https://www.realestateview.com.au/property/chippendale/penthouse-19,realestateview.com.au
"$2,016,735",2016735.0,"725 William St, Chippendale NSW 2712",Chippendale,3,4,2,House,https://www.rent.com.au/property/chippendale/house-20,rent.com.au
"Guide $1,012,671",1012671.0,"44 Church St, Chippendale NSW 2765",Chippendale,3,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/chippendale/apartment--unit--flat-21,rent.com.au
"Guide $2,209,585",2209585.0,"277 Edward St, Chippendale NSW 2446",Chippendale,2,3,0,House,https://www.domain.com.au/property/chippendale/house-22,domain.com.au
"From $1,165,031",1165031.0,"394 Market St, Chippendale NSW 2180",Chippendale,3,1,2,Villa,https://www.domain.com.au/property/chippendale/villa-23,domain.com.au
