price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,501,703",1501703.0,"565 James St, Chipping Norton NSW 2764",Chipping Norton,4,2,0,Villa,https://www.rent.com.au/property/chipping-norton/villa-0,rent.com.au
"$2,466,742 ONO",2466742.0,"355 Beach Rd, Chipping Norton NSW 2907",Chipping Norton,0,1,1,Studio,https://www.rent.com.au/property/chipping-norton/studio-1,rent.com.au
"$990,060",990060.0,"177 Elizabeth St, Chipping Norton NSW 2054",Chipping Norton,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/chipping-norton/apartment--unit--flat-2,rent.com.au
"$2,328,788 - $2,476,491",2328788.0,"16 Elizabeth St, Chipping Norton NSW 2195",Chipping Norton,4,3,3,Penthouse,https://www.realestateview.com.au/property/chipping-norton/penthouse-4,realestateview.com.au
"$1,899,576 - $2,000,703",1899576.0,"566 High St, Chipping Norton NSW 2255",Chipping Norton,4,3,3,Townhouse,https://www.realestate.com.au/property/chipping-norton/townhouse-5,realestate.com.au
"From $1,841,810",1841810.0,"810 High St, Chipping Norton NSW 2259",Chipping Norton,4,3,1,Townhouse,https://www.realestateview.com.au/property/chipping-norton/townhouse-6,realestateview.com.au
"$1,789,889 - $2,023,855",1789889.0,"951 Elizabeth St, Chipping Norton NSW 2073",Chipping Norton,3,4,0,Villa,https://www.domain.com.au/property/chipping-norton/villa-7,domain.com.au
"$950,077 - $1,233,649",950077.0,"992 Main St, Chipping Norton NSW 2859",Chipping Norton,4,4,0,Villa,https://www.domain.com.au/property/chipping-norton/villa-9,domain.com.au
"$891,023",891023.0,"715 High St, Chipping Norton NSW 2643",Chipping Norton,4,1,0,Villa,https://www.realestateview.com.au/property/chipping-norton/villa-10,realestateview.com.au
"From $721,402",721402.0,"922 Victoria St, Chipping Norton NSW 2257",Chipping Norton,1,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/chipping-norton/apartment--unit--flat-11,rent.com.au
"$596,306 - $772,693",596306.0,"610 The Boulevarde, Chipping Norton NSW 2327",Chipping Norton,2,3,2,Villa,https://www.domain.com.au/property/chipping-norton/villa-12,domain.com.au
"Guide $876,407",876407.0,"519 King St, Chipping Norton NSW 2540",Chipping Norton,3,2,0,Townhouse,https://www.rent.com.au/property/chipping-norton/townhouse-13,rent.com.au
"From $1,502,562",1502562.0,"837 King St, Chipping Norton NSW 2138",Chipping Norton,0,1,0,Studio,https://www.realestateview.com.au/property/chipping-norton/studio-15,realestateview.com.au
"$1,143,148",1143148.0,"490 High St, Chipping Norton NSW 2327",Chipping Norton,5,3,1,Penthouse,https://www.domain.com.au/property/chipping-norton/penthouse-16,domain.com.au
"Guide $2,467,597",2467597.0,"629 Albert St, Chipping Norton NSW 2524",Chipping Norton,0,1,2,Studio,https://www.realestate.com.au/property/chipping-norton/studio-17,realestate.com.au
"From $1,619,866",1619866.0,"398 Ocean Rd, Chipping Norton NSW 2867",Chipping Norton,6,4,1,Penthouse,https://www.rent.com.au/property/chipping-norton/penthouse-19,rent.com.au
"$2,145,981 - $2,321,819",2145981.0,"727 Main St, Chipping Norton NSW 2823",Chipping Norton,0,1,2,Studio,https://www.realestate.com.au/property/chipping-norton/studio-20,realestate.com.au
"Guide $1,895,649",1895649.0,"202 Edward St, Chipping Norton NSW 2507",Chipping Norton,6,3,1,Villa,https://www.rent.com.au/property/chipping-norton/villa-21,rent.com.au
"From $730,785",730785.0,"807 William St, Chipping Norton NSW 2273",Chipping Norton,5,4,2,Townhouse,https://www.domain.com.au/property/chipping-norton/townhouse-22,domain.com.au
"$1,055,355 ONO",1055355.0,"509 Park Ave, Chipping Norton NSW 2197",Chipping Norton,2,1,0,Villa,https://www.rent.com.au/property/chipping-norton/villa-23,rent.com.au
"Guide $2,055,453",2055453.0,"100 Edward St, Chipping Norton NSW 2711",Chipping Norton,2,2,0,House,https://www.rent.com.au/property/chipping-norton/house-24,rent.com.au
