price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,708,805",1708805.0,"673 Market St, Chiswick NSW 2985",Chiswick,4,3,1,Villa,https://www.realestate.com.au/property/chiswick/villa-0,realestate.com.au
"Guide $1,258,574",1258574.0,"496 Princes Highway, Chiswick NSW 2723",Chiswick,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/chiswick/apartment--unit--flat-1,rent.com.au
"$608,889",608889.0,"843 Market St, Chiswick NSW 2183",Chiswick,6,3,1,Penthouse,https://www.rent.com.au/property/chiswick/penthouse-2,rent.com.au
"Guide $1,956,125",1956125.0,"356 Market St, Chiswick NSW 2287",Chiswick,2,3,2,House,https://www.realestate.com.au/property/chiswick/house-4,realestate.com.au
"Guide $1,849,234",1849234.0,"723 Albert St, Chiswick NSW 2990",Chiswick,3,2,2,Townhouse,https://www.domain.com.au/property/chiswick/townhouse-5,domain.com.au
"$1,609,598 ONO",1609598.0,"647 Queen St, Chiswick NSW 2814",Chiswick,0,1,0,Studio,https://www.rent.com.au/property/chiswick/studio-6,rent.com.au
"$1,332,726 ONO",1332726.0,"270 Elizabeth St, Chiswick NSW 2802",Chiswick,1,1,2,House,https://www.realestateview.com.au/property/chiswick/house-8,realestateview.com.au
"$2,204,889 ONO",2204889.0,"562 Ocean Rd, Chiswick NSW 2302",Chiswick,0,1,3,Studio,https://www.rent.com.au/property/chiswick/studio-9,rent.com.au
"$2,084,998 ONO",2084998.0,"983 George St, Chiswick NSW 2936",Chiswick,4,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/chiswick/apartment--unit--flat-10,realestateview.com.au
"$1,816,597",1816597.0,"33 Railway St, Chiswick NSW 2639",Chiswick,0,1,3,Studio,https://www.domain.com.au/property/chiswick/studio-11,domain.com.au
"Guide $2,151,064",2151064.0,"207 King St, Chiswick NSW 2316",Chiswick,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/chiswick/apartment--unit--flat-12,realestate.com.au
"$1,790,780",1790780.0,"612 Ocean Rd, Chiswick NSW 2467",Chiswick,1,2,0,Villa,https://www.realestate.com.au/property/chiswick/villa-13,realestate.com.au
"Guide $946,910",946910.0,"277 James St, Chiswick NSW 2269",Chiswick,3,4,3,Townhouse,https://www.rent.com.au/property/chiswick/townhouse-14,rent.com.au
"$857,269",857269.0,"200 Edward St, Chiswick NSW 2564",Chiswick,6,3,0,Townhouse,https://www.domain.com.au/property/chiswick/townhouse-15,domain.com.au
"From $1,651,312",1651312.0,"360 Main St, Chiswick NSW 2711",Chiswick,1,2,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/chiswick/apartment--unit--flat-16,realestate.com.au
"$585,466 - $738,756",585466.0,"638 Queen St, Chiswick NSW 2037",Chiswick,2,3,2,House,https://www.rent.com.au/property/chiswick/house-17,rent.com.au
"$1,579,913",1579913.0,"210 Park Ave, Chiswick NSW 2673",Chiswick,0,1,3,Studio,https://www.domain.com.au/property/chiswick/studio-19,domain.com.au
"Guide $660,160",660160.0,"641 Beach Rd, Chiswick NSW 2005",Chiswick,2,3,0,Villa,https://www.rent.com.au/property/chiswick/villa-20,rent.com.au
"$842,881 - $1,087,281",842881.0,"998 Market St, Chiswick NSW 2666",Chiswick,4,2,0,Penthouse,https://www.domain.com.au/property/chiswick/penthouse-21,domain.com.au
"$2,378,071",2378071.0,"364 Edward St, Chiswick NSW 2300",Chiswick,3,2,2,Penthouse,https://www.realestate.com.au/property/chiswick/penthouse-24,realestate.com.au
