price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,119,111 - $2,391,164",2119111.0,"567 Market St, Church Point NSW 2205",Church Point,3,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/church-point/apartment--unit--flat-0,realestateview.com.au
"$597,521 ONO",597521.0,"755 Main St, Church Point NSW 2640",Church Point,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/church-point/apartment--unit--flat-1,realestate.com.au
"From $1,206,739",1206739.0,"286 William St, Church Point NSW 2629",Church Point,1,2,4,Townhouse,https://www.rent.com.au/property/church-point/townhouse-2,rent.com.au
"Guide $655,627",655627.0,"26 Princes Highway, Church Point NSW 2463",Church Point,6,4,0,Villa,https://www.realestateview.com.au/property/church-point/villa-3,realestateview.com.au
"Guide $912,643",912643.0,"299 Victoria St, Church Point NSW 2790",Church Point,3,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/church-point/apartment--unit--flat-4,realestateview.com.au
"From $1,250,784",1250784.0,"368 The Boulevarde, Church Point NSW 2853",Church Point,4,2,1,Villa,https://www.domain.com.au/property/church-point/villa-5,domain.com.au
"$682,639 ONO",682639.0,"847 Victoria St, Church Point NSW 2175",Church Point,4,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/church-point/apartment--unit--flat-6,realestateview.com.au
"Guide $1,904,012",1904012.0,"703 James St, Church Point NSW 2147",Church Point,4,3,0,Penthouse,https://www.realestateview.com.au/property/church-point/penthouse-7,realestateview.com.au
"$1,457,664 - $1,624,885",1457664.0,"550 Railway St, Church Point NSW 2589",Church Point,2,2,1,House,https://www.realestate.com.au/property/church-point/house-8,realestate.com.au
"$1,662,125",1662125.0,"240 Ocean Rd, Church Point NSW 2373",Church Point,5,1,4,Villa,https://www.rent.com.au/property/church-point/villa-9,rent.com.au
"$1,783,972",1783972.0,"732 Military Rd, Church Point NSW 2733",Church Point,0,1,2,Studio,https://www.domain.com.au/property/church-point/studio-10,domain.com.au
"Guide $652,825",652825.0,"534 Railway St, Church Point NSW 2727",Church Point,5,2,2,Townhouse,https://www.realestate.com.au/property/church-point/townhouse-14,realestate.com.au
"Guide $2,229,532",2229532.0,"467 King St, Church Point NSW 2845",Church Point,3,2,1,Villa,https://www.domain.com.au/property/church-point/villa-15,domain.com.au
"Guide $1,594,419",1594419.0,"288 Albert St, Church Point NSW 2211",Church Point,1,2,0,Villa,https://www.realestateview.com.au/property/church-point/villa-16,realestateview.com.au
"From $1,939,891",1939891.0,"405 Edward St, Church Point NSW 2896",Church Point,0,1,1,Studio,https://www.realestate.com.au/property/church-point/studio-17,realestate.com.au
"Guide $1,070,437",1070437.0,"889 Market St, Church Point NSW 2753",Church Point,4,2,2,Townhouse,https://www.realestateview.com.au/property/church-point/townhouse-18,realestateview.com.au
"Guide $2,395,616",2395616.0,"954 Princes Highway, Church Point NSW 2030",Church Point,3,3,0,House,https://www.domain.com.au/property/church-point/house-19,domain.com.au
"From $810,154",810154.0,"21 Market St, Church Point NSW 2670",Church Point,0,1,0,Studio,https://www.realestateview.com.au/property/church-point/studio-20,realestateview.com.au
"$2,372,102",2372102.0,"210 King St, Church Point NSW 2329",Church Point,4,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/church-point/apartment--unit--flat-22,rent.com.au
"$1,701,953",1701953.0,"524 Victoria St, Church Point NSW 2634",Church Point,0,1,0,Studio,https://www.rent.com.au/property/church-point/studio-23,rent.com.au
"$2,493,292",2493292.0,"310 Edward St, Church Point NSW 2591",Church Point,5,3,0,Villa,https://www.realestate.com.au/property/church-point/villa-24,realestate.com.au
