price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,592,483",1592483.0,"491 Edward St, Clemton Park NSW 2930",Clemton Park,6,2,1,Penthouse,https://www.realestate.com.au/property/clemton-park/penthouse-0,realestate.com.au
"From $1,156,526",1156526.0,"575 Victoria St, Clemton Park NSW 2298",Clemton Park,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/clemton-park/apartment--unit--flat-1,rent.com.au
"Guide $2,052,296",2052296.0,"771 Railway St, Clemton Park NSW 2127",Clemton Park,3,3,3,Penthouse,https://www.rent.com.au/property/clemton-park/penthouse-2,rent.com.au
"From $2,333,664",2333664.0,"91 The Boulevarde, Clemton Park NSW 2430",Clemton Park,2,3,2,Villa,https://www.realestate.com.au/property/clemton-park/villa-4,realestate.com.au
"Guide $735,737",735737.0,"200 Albert St, Clemton Park NSW 2076",Clemton Park,3,2,4,Villa,https://www.domain.com.au/property/clemton-park/villa-5,domain.com.au
"$1,628,982 ONO",1628982.0,"281 Queen St, Clemton Park NSW 2106",Clemton Park,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/clemton-park/apartment--unit--flat-6,domain.com.au
"From $841,687",841687.0,"511 King St, Clemton Park NSW 2630",Clemton Park,4,3,0,Penthouse,https://www.realestate.com.au/property/clemton-park/penthouse-7,realestate.com.au
"From $2,213,330",2213330.0,"730 Edward St, Clemton Park NSW 2868",Clemton Park,3,4,2,Penthouse,https://www.realestateview.com.au/property/clemton-park/penthouse-8,realestateview.com.au
"Guide $1,166,892",1166892.0,"481 High St, Clemton Park NSW 2150",Clemton Park,0,1,0,Studio,https://www.realestate.com.au/property/clemton-park/studio-9,realestate.com.au
"From $631,280",631280.0,"212 Edward St, Clemton Park NSW 2546",Clemton Park,3,3,1,Townhouse,https://www.realestate.com.au/property/clemton-park/townhouse-10,realestate.com.au
"$2,194,022",2194022.0,"968 Ocean Rd, Clemton Park NSW 2135",Clemton Park,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clemton-park/apartment--unit--flat-11,realestateview.com.au
"$1,471,686 - $1,574,239",1471686.0,"191 King St, Clemton Park NSW 2453",Clemton Park,3,2,0,Penthouse,https://www.realestateview.com.au/property/clemton-park/penthouse-12,realestateview.com.au
"$1,124,717",1124717.0,"986 Main St, Clemton Park NSW 2327",Clemton Park,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/clemton-park/apartment--unit--flat-13,domain.com.au
"$1,897,066 - $2,063,733",1897066.0,"908 Military Rd, Clemton Park NSW 2584",Clemton Park,3,4,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/clemton-park/apartment--unit--flat-14,realestateview.com.au
"From $2,419,128",2419128.0,"56 Main St, Clemton Park NSW 2500",Clemton Park,4,3,2,Penthouse,https://www.realestate.com.au/property/clemton-park/penthouse-15,realestate.com.au
"$1,312,252",1312252.0,"128 Edward St, Clemton Park NSW 2335",Clemton Park,5,2,3,Penthouse,https://www.realestate.com.au/property/clemton-park/penthouse-17,realestate.com.au
"$1,465,240",1465240.0,"452 Victoria St, Clemton Park NSW 2406",Clemton Park,2,1,0,Villa,https://www.realestate.com.au/property/clemton-park/villa-19,realestate.com.au
"$1,896,618 ONO",1896618.0,"43 Railway St, Clemton Park NSW 2363",Clemton Park,5,3,3,Penthouse,https://www.realestateview.com.au/property/clemton-park/penthouse-20,realestateview.com.au
"From $1,239,886",1239886.0,"347 Military Rd, Clemton Park NSW 2037",Clemton Park,3,3,0,House,https://www.realestate.com.au/property/clemton-park/house-21,realestate.com.au
"$1,041,028 - $1,112,459",1041028.0,"737 Beach Rd, Clemton Park NSW 2373",Clemton Park,2,1,2,Villa,https://www.realestate.com.au/property/clemton-park/villa-22,realestate.com.au
"$943,339 - $1,134,689",943339.0,"590 Military Rd, Clemton Park NSW 2652",Clemton Park,1,1,0,Townhouse,https://www.realestate.com.au/property/clemton-park/townhouse-23,realestate.com.au
"From $648,949",648949.0,"45 Elizabeth St, Clemton Park NSW 2571",Clemton Park,3,4,0,Villa,https://www.domain.com.au/property/clemton-park/villa-24,domain.com.au
